OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70667;516711;2014;VIAJEROS;48.8125;A
A;70667;516712;2019;VIAJEROS;17.106481481;A
A;70667;55571;2020;VIAJEROS;74.587128381;A
A;70667;55571;2019;VIAJEROS;551.433333333;A
A;70667;55571;2018;VIAJEROS;568.48333333;A
A;70667;55571;2017;VIAJEROS;539.70416667;A
A;70667;55571;2016;VIAJEROS;310.42083333;A
A;70667;55571;2015;VIAJEROS;99.4875;A
A;70667;55571;2014;VIAJEROS;199.55833333;A
A;70667;516713;2020;VIAJEROS;24.047331691;A
A;70667;516713;2019;VIAJEROS;162.628395062;A
A;70667;516713;2018;VIAJEROS;170.64583333;A
A;70667;516713;2017;VIAJEROS;139.75;A
A;70667;516713;2016;VIAJEROS;76.758333333;A
A;70667;516713;2015;VIAJEROS;18.335273574;A
A;70667;516713;2014;VIAJEROS;43.883333333;A
A;70667;516715;2020;VIAJEROS;135.870833333;A
A;70667;516715;2019;VIAJEROS;614.783950617;A
A;70667;516715;2018;VIAJEROS;617.67916667;A
A;70667;516715;2017;VIAJEROS;485.15833333;A
A;70667;516715;2016;VIAJEROS;231.62083333;A
A;70667;516715;2015;VIAJEROS;278.45479239;A
A;70667;516715;2014;VIAJEROS;147.69583333;A
A;70667;55574;2020;VIAJEROS;209.109282906;A
A;70667;55574;2019;VIAJEROS;1232.750925926;A
A;70667;55574;2018;VIAJEROS;1036.7166667;A
A;70667;55574;2017;VIAJEROS;1561.1;A
A;70667;55574;2016;VIAJEROS;948.92797619;A
A;70667;55574;2015;VIAJEROS;393.16906286;A
A;70667;55574;2014;VIAJEROS;425.34583333;A
A;70667;516716;2019;VIAJEROS;39.904938272;A
A;70667;516716;2018;VIAJEROS;26.883333333;A
A;70667;516716;2017;VIAJEROS;22.266666667;A
A;70667;516716;2016;VIAJEROS;14.0;A
A;70667;516716;2015;VIAJEROS;12.0;A
A;70667;516717;2020;VIAJEROS;29.832894737;A
A;70667;516717;2019;VIAJEROS;111.121759259;A
A;70667;516717;2018;VIAJEROS;280.78333333;A
A;70667;516717;2017;VIAJEROS;455.0375;A
