OBS_STATUS;RESITUR;TEMPORAL;PARQUES_TURISMO;INDICATOR;OBS_VALUE;FREQ
A;516709;2019;55538;VIAJEROS;66.454467622;A
A;516709;2019;55539;VIAJEROS;12.4;A
A;516709;2019;55540;VIAJEROS;39.0;A
A;516709;2019;55541;VIAJEROS;1104.050701534;A
A;516709;2020;55538;VIAJEROS;17.796568236;A
A;516709;2020;55540;VIAJEROS;20.0;A
A;516709;2020;55541;VIAJEROS;170.90190219;A
A;516710;2014;55537;VIAJEROS;174.0005005;A
A;516710;2014;55538;VIAJEROS;445.11007858;A
A;516710;2014;55539;VIAJEROS;31.633591731;A
A;516710;2014;55540;VIAJEROS;49.37019774;A
A;516710;2014;55541;VIAJEROS;43885.82345;A
A;516710;2015;55537;VIAJEROS;255.01663095;A
A;516710;2015;55538;VIAJEROS;518.93333766;A
A;516710;2015;55539;VIAJEROS;116.16692506;A
A;516710;2015;55540;VIAJEROS;35.733333333;A
A;516710;2015;55541;VIAJEROS;55979.315616;A
A;516710;2016;55537;VIAJEROS;466.93601021;A
A;516710;2016;55538;VIAJEROS;323.69580852;A
A;516710;2016;55539;VIAJEROS;47.333333333;A
A;516710;2016;55540;VIAJEROS;91.863911565;A
A;516710;2016;55541;VIAJEROS;67126.607227;A
A;516710;2017;55537;VIAJEROS;541.21463098;A
A;516710;2017;55538;VIAJEROS;835.58603023;A
A;516710;2017;55539;VIAJEROS;184.4079932;A
A;516710;2017;55540;VIAJEROS;83.151168239;A
A;516710;2017;55541;VIAJEROS;77737.151551;A
A;516710;2018;55537;VIAJEROS;821.67026116;A
A;516710;2018;55538;VIAJEROS;608.87855384;A
A;516710;2018;55539;VIAJEROS;108.2;A
A;516710;2018;55540;VIAJEROS;101.09244539;A
A;516710;2018;55541;VIAJEROS;72808.28464;A
A;516710;2019;55537;VIAJEROS;1017.663859139;A
A;516710;2019;55538;VIAJEROS;552.575139895;A
A;516710;2019;55539;VIAJEROS;35.133333333;A
A;516710;2019;55540;VIAJEROS;88.042177869;A
A;516710;2019;55541;VIAJEROS;84643.068463945;A
A;516710;2020;55537;VIAJEROS;254.171635895;A
A;516710;2020;55538;VIAJEROS;30.868158284;A
A;516710;2020;55540;VIAJEROS;23.857142857;A
A;516710;2020;55541;VIAJEROS;5708.275849671;A
A;516711;2014;55537;VIAJEROS;388.15006174;A
A;516711;2014;55538;VIAJEROS;1514.7453488;A
A;516711;2014;55539;VIAJEROS;81.183462532;A
A;516711;2014;55540;VIAJEROS;120.61868044;A
A;516711;2014;55541;VIAJEROS;14248.589248;A
A;516711;2015;55537;VIAJEROS;552.00513145;A
A;516711;2015;55538;VIAJEROS;2220.895189;A
A;516711;2015;55539;VIAJEROS;128.0;A
A;516711;2015;55540;VIAJEROS;194.70747416;A
A;516711;2015;55541;VIAJEROS;13646.451113;A
A;516711;2016;55537;VIAJEROS;739.60087886;A
A;516711;2016;55538;VIAJEROS;2311.6061959;A
A;516711;2016;55539;VIAJEROS;194.91829268;A
A;516711;2016;55540;VIAJEROS;140.44284432;A
A;516711;2016;55541;VIAJEROS;18300.040099;A
A;516711;2017;55537;VIAJEROS;793.30696211;A
A;516711;2017;55538;VIAJEROS;2452.200659;A
A;516711;2017;55539;VIAJEROS;94.6;A
A;516711;2017;55540;VIAJEROS;124.52441608;A
A;516711;2017;55541;VIAJEROS;33252.324701;A
A;516711;2018;55537;VIAJEROS;828.32108411;A
A;516711;2018;55538;VIAJEROS;3183.5739432;A
A;516711;2018;55539;VIAJEROS;167.93333333;A
A;516711;2018;55540;VIAJEROS;206.43615765;A
A;516711;2018;55541;VIAJEROS;24790.922757;A
A;516711;2019;55537;VIAJEROS;1154.662070762;A
A;516711;2019;55538;VIAJEROS;4772.186982116;A
A;516711;2019;55539;VIAJEROS;112.751851852;A
A;516711;2019;55540;VIAJEROS;239.393346226;A
A;516711;2019;55541;VIAJEROS;36391.39859531;A
A;516711;2020;55537;VIAJEROS;270.704966856;A
A;516711;2020;55538;VIAJEROS;599.296308885;A
A;516711;2020;55539;VIAJEROS;16.333333333;A
A;516711;2020;55540;VIAJEROS;173.584153726;A
A;516711;2020;55541;VIAJEROS;5333.264032312;A
A;516712;2014;55538;VIAJEROS;10.0;A
A;516712;2014;55541;VIAJEROS;372.40729583;A
A;516712;2015;55538;VIAJEROS;11.625;A
A;516712;2015;55540;VIAJEROS;10.722844828;A
A;516712;2015;55541;VIAJEROS;550.80279782;A
A;516712;2016;55538;VIAJEROS;49.718849788;A
A;516712;2016;55541;VIAJEROS;1033.6292588;A
A;516712;2017;55537;VIAJEROS;20.330717489;A
A;516712;2017;55538;VIAJEROS;47.772291298;A
A;516712;2017;55539;VIAJEROS;65.479591837;A
A;516712;2017;55540;VIAJEROS;24.567056205;A
A;516712;2017;55541;VIAJEROS;1014.1951759;A
A;516712;2018;55538;VIAJEROS;87.709306278;A
A;516712;2018;55539;VIAJEROS;14.466666667;A
A;516712;2018;55541;VIAJEROS;669.89951467;A
A;516712;2019;55537;VIAJEROS;29.946295319;A
A;516712;2019;55538;VIAJEROS;52.930848824;A
A;516712;2019;55540;VIAJEROS;17.286676647;A
A;516712;2019;55541;VIAJEROS;1001.445617446;A
A;516712;2020;55538;VIAJEROS;27.621252104;A
A;516712;2020;55541;VIAJEROS;329.827734128;A
A;55571;2014;55537;VIAJEROS;664.0313747;A
A;55571;2014;55538;VIAJEROS;1175.5511815;A
A;55571;2014;55539;VIAJEROS;234.61966408;A
A;55571;2014;55540;VIAJEROS;63.651802845;A
A;55571;2014;55541;VIAJEROS;36832.904402;A
A;55571;2015;55537;VIAJEROS;658.66178854;A
A;55571;2015;55538;VIAJEROS;1780.8971218;A
A;55571;2015;55539;VIAJEROS;307.40745636;A
A;55571;2015;55540;VIAJEROS;201.50785098;A
A;55571;2015;55541;VIAJEROS;50854.786905;A
A;55571;2016;55537;VIAJEROS;1463.4801287;A
A;55571;2016;55538;VIAJEROS;1518.6366489;A
A;55571;2016;55539;VIAJEROS;251.22856837;A
A;55571;2016;55540;VIAJEROS;181.64989326;A
A;55571;2016;55541;VIAJEROS;58931.263414;A
A;55571;2017;55537;VIAJEROS;1739.1792021;A
A;55571;2017;55538;VIAJEROS;2822.1201478;A
A;55571;2017;55539;VIAJEROS;384.04722914;A
A;55571;2017;55540;VIAJEROS;212.90246156;A
A;55571;2017;55541;VIAJEROS;78878.927442;A
A;55571;2018;55537;VIAJEROS;1538.2436978;A
A;55571;2018;55538;VIAJEROS;2299.4789546;A
A;55571;2018;55539;VIAJEROS;360.34545455;A
A;55571;2018;55540;VIAJEROS;276.84656122;A
A;55571;2018;55541;VIAJEROS;70301.084239;A
A;55571;2019;55537;VIAJEROS;1732.639331208;A
A;55571;2019;55538;VIAJEROS;1864.887912815;A
A;55571;2019;55539;VIAJEROS;106.342592593;A
A;55571;2019;55540;VIAJEROS;281.15327006;A
A;55571;2019;55541;VIAJEROS;51410.133311107;A
A;55571;2020;55537;VIAJEROS;416.831499192;A
A;55571;2020;55538;VIAJEROS;332.541500389;A
A;55571;2020;55539;VIAJEROS;32.400269542;A
A;55571;2020;55540;VIAJEROS;647.600046246;A
A;55571;2020;55541;VIAJEROS;11785.586446902;A
A;516713;2014;55537;VIAJEROS;127.61458333;A
A;516713;2014;55538;VIAJEROS;495.19528165;A
A;516713;2014;55539;VIAJEROS;52.884237726;A
A;516713;2014;55540;VIAJEROS;28.827486188;A
A;516713;2014;55541;VIAJEROS;5267.3244729;A
A;516713;2015;55537;VIAJEROS;261.95191523;A
A;516713;2015;55538;VIAJEROS;581.18674361;A
A;516713;2015;55539;VIAJEROS;85.866666667;A
A;516713;2015;55540;VIAJEROS;59.602919438;A
A;516713;2015;55541;VIAJEROS;4368.3401185;A
A;516713;2016;55537;VIAJEROS;558.41713337;A
A;516713;2016;55538;VIAJEROS;496.50345155;A
A;516713;2016;55539;VIAJEROS;184.57619048;A
A;516713;2016;55540;VIAJEROS;66.702848566;A
A;516713;2016;55541;VIAJEROS;5309.7323557;A
A;516713;2017;55537;VIAJEROS;1411.8939585;A
A;516713;2017;55538;VIAJEROS;526.36782241;A
A;516713;2017;55539;VIAJEROS;59.0;A
A;516713;2017;55540;VIAJEROS;163.38389932;A
A;516713;2017;55541;VIAJEROS;7985.5476198;A
A;516713;2018;55537;VIAJEROS;1659.1578519;A
A;516713;2018;55538;VIAJEROS;757.03858347;A
A;516713;2018;55539;VIAJEROS;73.6;A
A;516713;2018;55540;VIAJEROS;125.58179612;A
A;516713;2018;55541;VIAJEROS;8519.4608193;A
A;516713;2019;55537;VIAJEROS;1060.417529183;A
A;516713;2019;55538;VIAJEROS;769.121372026;A
A;516713;2019;55539;VIAJEROS;138.933333333;A
A;516713;2019;55540;VIAJEROS;235.124685245;A
A;516713;2019;55541;VIAJEROS;10496.895819164;A
A;516713;2020;55537;VIAJEROS;140.579183081;A
A;516713;2020;55538;VIAJEROS;249.387022393;A
A;516713;2020;55540;VIAJEROS;46.092002516;A
A;516713;2020;55541;VIAJEROS;2009.764132351;A
A;516715;2014;55537;VIAJEROS;453.62624958;A
A;516715;2014;55538;VIAJEROS;933.7036431;A
A;516715;2014;55539;VIAJEROS;114.30416667;A
A;516715;2014;55540;VIAJEROS;2324.2038478;A
A;516715;2014;55541;VIAJEROS;5886.3893245;A
