OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES611;55558;2016;VIAJEROS;1865.8444082;A
A;ES611;55558;2017;VIAJEROS;2729.9408174;A
A;ES611;55558;2018;VIAJEROS;3100.4981317;A
A;ES611;55558;2019;VIAJEROS;3603.501671946;A
A;ES611;55558;2020;VIAJEROS;1449.22151605;A
A;ES611;55559;2014;VIAJEROS;261.78333333;A
A;ES611;55559;2015;VIAJEROS;233.36665403;A
A;ES611;55559;2016;VIAJEROS;282.14580103;A
A;ES611;55559;2017;VIAJEROS;245.14657318;A
A;ES611;55559;2018;VIAJEROS;222.87361111;A
A;ES611;55559;2019;VIAJEROS;434.492180766;A
A;ES611;55559;2020;VIAJEROS;152.404962039;A
A;ES611;55544;2014;VIAJEROS;889.71673881;A
A;ES611;55544;2015;VIAJEROS;2059.9933491;A
A;ES611;55544;2016;VIAJEROS;1223.9333525;A
A;ES611;55544;2017;VIAJEROS;784.18144824;A
A;ES611;55544;2018;VIAJEROS;1242.8341502;A
A;ES611;55544;2019;VIAJEROS;1394.341798079;A
A;ES611;55544;2020;VIAJEROS;708.789309989;A
A;ES611;55561;2014;VIAJEROS;57.525;A
A;ES611;55561;2015;VIAJEROS;52.186832205;A
A;ES611;55561;2016;VIAJEROS;133.15306682;A
A;ES611;55561;2017;VIAJEROS;102.02910569;A
A;ES611;55561;2018;VIAJEROS;99.769452899;A
A;ES611;55561;2019;VIAJEROS;157.588738424;A
A;ES611;55561;2020;VIAJEROS;33.670010965;A
A;ES611;55562;2014;VIAJEROS;129.63163039;A
A;ES611;55562;2015;VIAJEROS;239.70317136;A
A;ES611;55562;2016;VIAJEROS;179.77014157;A
A;ES611;55562;2017;VIAJEROS;179.34049707;A
A;ES611;55562;2018;VIAJEROS;200.17285575;A
A;ES611;55562;2019;VIAJEROS;323.011941597;A
A;ES611;55562;2020;VIAJEROS;270.596200284;A
A;ES612;55564;2014;VIAJEROS;80942.60879773;A
A;ES612;55564;2015;VIAJEROS;81110.47038909;A
A;ES612;55564;2016;VIAJEROS;89890.889628882;A
A;ES612;55564;2017;VIAJEROS;100845.48170529;A
A;ES612;55564;2018;VIAJEROS;110468.516318538;A
A;ES612;55564;2019;VIAJEROS;120739.97646934;A
A;ES612;55564;2020;VIAJEROS;74957.775195725;A
A;ES612;55543;2014;VIAJEROS;44355.515702;A
