D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;0.49081001384506984;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;1.6729303933364816;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);30.980853926183787;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);29.142984014659035;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);30.76873138947953;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);29.63225592709054;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);28.238809289381255;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);39.0567500387939;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);29.737882724758734;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software de seguridad, plataformas de aprendizaje, servidores de correo electrónico (b);31.556055234193515;A
