D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2020;7627;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7663;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7716;24097;3143;38435;% de empresas que utilizan robots industriales (a);70.46737496298704;A
2020;7859;24097;3143;38435;% de empresas que utilizan robots industriales (a);82.05300304069524;A
2020;7958;24097;3143;38435;% de empresas que utilizan robots industriales (a);55.58468796737657;A
2020;7888;24097;3143;38435;% de empresas que utilizan robots industriales (a);92.80575539568345;A
2020;8031;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8094;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8165;24097;3143;38435;% de empresas que utilizan robots industriales (a);54.761759900954324;A
2020;8255;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;6949;38221;3143;38435;% de empresas que utilizan robots industriales (a);92.8086824921402;A
2018;7058;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7605;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838683;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838684;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838685;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7627;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7663;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;7716;38221;3143;38435;% de empresas que utilizan robots industriales (a);82.66820700872175;A
2018;7859;38221;3143;38435;% de empresas que utilizan robots industriales (a);94.29192715442827;A
2018;7958;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7888;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;8094;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;8165;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;8255;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;6949;38221;3143;38435;% de empresas que utilizan robots industriales (a);85.99495042259403;A
2020;7058;38221;3143;38435;% de empresas que utilizan robots industriales (a);93.72126209173258;A
2020;7605;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838683;38221;3143;38435;% de empresas que utilizan robots industriales (a);76.47058823529412;A
2020;838684;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838685;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;7627;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7663;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7716;38221;3143;38435;% de empresas que utilizan robots industriales (a);80.45013238516104;A
2020;7859;38221;3143;38435;% de empresas que utilizan robots industriales (a);86.12956810631229;A
2020;7958;38221;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;7888;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8031;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8094;38221;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8165;38221;3143;38435;% de empresas que utilizan robots industriales (a);50.0;A
2020;8255;38221;3143;38435;% de empresas que utilizan robots industriales (a);50.0;A
2018;6949;38282;3143;38435;% de empresas que utilizan robots de servicio (a);49.65481849477719;A
2018;7058;38282;3143;38435;% de empresas que utilizan robots de servicio (a);30.89042805260613;A
2018;7605;38282;3143;38435;% de empresas que utilizan robots de servicio (a);54.114885814625346;A
2018;838683;38282;3143;38435;% de empresas que utilizan robots de servicio (a);31.22320211104371;A
2018;838684;38282;3143;38435;% de empresas que utilizan robots de servicio (a);2.3535564841731462;A
2018;838685;38282;3143;38435;% de empresas que utilizan robots de servicio (a);23.525116104863596;A
2018;7627;38282;3143;38435;% de empresas que utilizan robots de servicio (a);81.4967794901848;A
2018;7663;38282;3143;38435;% de empresas que utilizan robots de servicio (a);30.357471602208552;A
2018;7716;38282;3143;38435;% de empresas que utilizan robots de servicio (a);80.19373032151262;A
2018;7859;38282;3143;38435;% de empresas que utilizan robots de servicio (a);65.98974675315569;A
