REF_AREA;TIME_PERIOD;CNAE_09_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ;MACROECO
ES61;2001;273215;A;CON_INTER_PREC_ADQ;253174.0;A;_Z
ES61;2001;273216;A;CON_INTER_PREC_ADQ;459413.0;A;_Z
ES61;2001;273150;A;CON_INTER_PREC_ADQ;1039181.0;A;_Z
ES61;2001;273217;A;CON_INTER_PREC_ADQ;1039181.0;A;_Z
ES61;2001;273151;A;CON_INTER_PREC_ADQ;201315.0;A;_Z
ES61;2001;273218;A;CON_INTER_PREC_ADQ;201315.0;A;_Z
ES61;2001;273254;A;CON_INTER_PREC_ADQ;2095256.0;A;_Z
ES61;2001;273152;A;CON_INTER_PREC_ADQ;2095256.0;A;_Z
ES61;2001;273219;A;CON_INTER_PREC_ADQ;1058371.0;A;_Z
ES61;2001;273220;A;CON_INTER_PREC_ADQ;744300.0;A;_Z
ES61;2001;273221;A;CON_INTER_PREC_ADQ;292585.0;A;_Z
ES61;2001;273255;A;CON_INTER_PREC_ADQ;1498885.0;A;_Z
ES61;2001;273153;A;CON_INTER_PREC_ADQ;1498885.0;A;_Z
ES61;2001;273222;A;CON_INTER_PREC_ADQ;1498885.0;A;_Z
ES61;2001;273256;A;CON_INTER_PREC_ADQ;3732168.0;A;_Z
ES61;2001;273154;A;CON_INTER_PREC_ADQ;1466377.0;A;_Z
ES61;2001;273223;A;CON_INTER_PREC_ADQ;696673.0;A;_Z
ES61;2001;273224;A;CON_INTER_PREC_ADQ;769704.0;A;_Z
ES61;2001;273155;A;CON_INTER_PREC_ADQ;85306.0;A;_Z
ES61;2001;273225;A;CON_INTER_PREC_ADQ;85306.0;A;_Z
ES61;2001;273156;A;CON_INTER_PREC_ADQ;734735.0;A;_Z
ES61;2001;273226;A;CON_INTER_PREC_ADQ;330386.0;A;_Z
ES61;2001;273227;A;CON_INTER_PREC_ADQ;383353.0;A;_Z
ES61;2001;273228;A;CON_INTER_PREC_ADQ;20996.0;A;_Z
ES61;2001;273157;A;CON_INTER_PREC_ADQ;1445750.0;A;_Z
ES61;2001;273229;A;CON_INTER_PREC_ADQ;268526.0;A;_Z
ES61;2001;273230;A;CON_INTER_PREC_ADQ;180254.0;A;_Z
ES61;2001;273231;A;CON_INTER_PREC_ADQ;224226.0;A;_Z
ES61;2001;273232;A;CON_INTER_PREC_ADQ;91403.0;A;_Z
ES61;2001;273233;A;CON_INTER_PREC_ADQ;320141.0;A;_Z
ES61;2001;273234;A;CON_INTER_PREC_ADQ;361200.0;A;_Z
ES61;2001;273257;A;CON_INTER_PREC_ADQ;5335050.0;A;_Z
ES61;2001;273158;A;CON_INTER_PREC_ADQ;2048180.0;A;_Z
ES61;2001;273235;A;CON_INTER_PREC_ADQ;2048180.0;A;_Z
ES61;2001;273159;A;CON_INTER_PREC_ADQ;803549.0;A;_Z
ES61;2001;273236;A;CON_INTER_PREC_ADQ;510262.0;A;_Z
ES61;2001;273237;A;CON_INTER_PREC_ADQ;293287.0;A;_Z
ES61;2001;273160;A;CON_INTER_PREC_ADQ;2094412.0;A;_Z
ES61;2001;273238;A;CON_INTER_PREC_ADQ;964655.0;A;_Z
ES61;2001;273239;A;CON_INTER_PREC_ADQ;1129757.0;A;_Z
ES61;2001;273161;A;CON_INTER_PREC_ADQ;388909.0;A;_Z
