D_SEXO_0;D_EPD_RELACTIVIDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;5869;2016;5732;3143;Porcentaje;21.479214005928394;A
3691;5869;2016;5733;3143;Porcentaje;11.439583043354826;A
3691;5869;2015;5732;3143;Porcentaje;23.7612019181482;A
3691;5869;2015;5733;3143;Porcentaje;11.55335123542078;A
3691;5869;2014;5732;3143;Porcentaje;26.123208502499008;A
3691;5869;2014;5733;3143;Porcentaje;12.448952351476263;A
3691;5882;2020;5732;3143;Porcentaje;27.839300557273212;A
3691;5882;2020;5733;3143;Porcentaje;71.44360087752844;A
3691;5882;2019;5732;3143;Porcentaje;26.094018431911927;A
3691;5882;2019;5733;3143;Porcentaje;69.77472676801277;A
3691;5882;2018;5732;3143;Porcentaje;26.047663855179508;A
3691;5882;2018;5733;3143;Porcentaje;70.25808330010314;A
3691;5882;2017;5732;3143;Porcentaje;25.738500110968303;A
3691;5882;2017;5733;3143;Porcentaje;69.6487352376989;A
3691;5882;2016;5732;3143;Porcentaje;25.341671873130412;A
3691;5882;2016;5733;3143;Porcentaje;69.51467240069785;A
3691;5882;2015;5732;3143;Porcentaje;24.599185199255448;A
3691;5882;2015;5733;3143;Porcentaje;69.38823459785877;A
3691;5882;2014;5732;3143;Porcentaje;24.73420431327015;A
3691;5882;2014;5733;3143;Porcentaje;71.30549730717021;A
3691;5883;2020;5732;3143;Porcentaje;100.0;A
3691;5883;2020;5733;3143;Porcentaje;100.0;A
3691;5883;2019;5732;3143;Porcentaje;100.0;A
3691;5883;2019;5733;3143;Porcentaje;100.0;A
3691;5883;2018;5732;3143;Porcentaje;100.0;A
3691;5883;2018;5733;3143;Porcentaje;100.0;A
3691;5883;2017;5732;3143;Porcentaje;100.0;A
3691;5883;2017;5733;3143;Porcentaje;100.0;A
3691;5883;2016;5732;3143;Porcentaje;100.0;A
3691;5883;2016;5733;3143;Porcentaje;100.0;A
3691;5883;2015;5732;3143;Porcentaje;100.0;A
3691;5883;2015;5733;3143;Porcentaje;100.0;A
3691;5883;2014;5732;3143;Porcentaje;100.0;A
3691;5883;2014;5733;3143;Porcentaje;100.0;A
