D_SEXO_0;D_EPD_NIVELESTUDIOSTER_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3690;38324;2015;5732;3143;Porcentaje;1.001452119600623;A
3690;38324;2015;5733;3143;Porcentaje;9.069772405122736;A
3690;38324;2014;5732;3143;Porcentaje;1.016455829463838;A
3690;38324;2014;5733;3143;Porcentaje;8.120860640999403;A
3690;38325;2020;5732;3143;Porcentaje;56.49419478241747;A
3690;38325;2020;5733;3143;Porcentaje;48.78819927111452;A
3690;38325;2019;5732;3143;Porcentaje;10.437695609689435;A
3690;38325;2019;5733;3143;Porcentaje;26.61356417588312;A
3690;38325;2018;5732;3143;Porcentaje;11.376825437937898;A
3690;38325;2018;5733;3143;Porcentaje;27.707094823791;A
3690;38325;2017;5732;3143;Porcentaje;11.626961379235489;A
3690;38325;2017;5733;3143;Porcentaje;25.506833290973447;A
3690;38325;2016;5732;3143;Porcentaje;12.43191586361273;A
3690;38325;2016;5733;3143;Porcentaje;25.02001973831005;A
3690;38325;2015;5732;3143;Porcentaje;13.719143727118569;A
3690;38325;2015;5733;3143;Porcentaje;29.479527051344718;A
3690;38325;2014;5732;3143;Porcentaje;14.278230462863092;A
3690;38325;2014;5733;3143;Porcentaje;31.53670280776517;A
3690;38332;2020;5732;3143;Porcentaje;33.06337920846179;A
3690;38332;2020;5733;3143;Porcentaje;18.1998543755756;A
3690;38332;2019;5732;3143;Porcentaje;88.80814681022335;A
3690;38332;2019;5733;3143;Porcentaje;67.56635980449316;A
3690;38332;2018;5732;3143;Porcentaje;87.9788732464579;A
3690;38332;2018;5733;3143;Porcentaje;66.56164094405653;A
3690;38332;2017;5732;3143;Porcentaje;87.57901676294124;A
3690;38332;2017;5733;3143;Porcentaje;67.50732121287591;A
3690;38332;2016;5732;3143;Porcentaje;86.60804528213757;A
3690;38332;2016;5733;3143;Porcentaje;67.69121505833368;A
3690;38332;2015;5732;3143;Porcentaje;85.27940415328081;A
3690;38332;2015;5733;3143;Porcentaje;61.450700543532534;A
3690;38332;2014;5732;3143;Porcentaje;84.70531370767307;A
3690;38332;2014;5733;3143;Porcentaje;60.34243655123544;A
3690;38328;2020;5732;3143;Porcentaje;33.06337920846179;A
3690;38328;2020;5733;3143;Porcentaje;18.1998543755756;A
3690;38328;2019;5732;3143;Porcentaje;57.29966025684443;A
3690;38328;2019;5733;3143;Porcentaje;51.95792907612156;A
3690;38328;2018;5732;3143;Porcentaje;57.36638918321441;A
3690;38328;2018;5733;3143;Porcentaje;50.765235323530156;A
3690;38328;2017;5732;3143;Porcentaje;57.46193727880217;A
3690;38328;2017;5733;3143;Porcentaje;50.830642455487364;A
3690;38328;2016;5732;3143;Porcentaje;56.916891394508305;A
3690;38328;2016;5733;3143;Porcentaje;53.92746113821519;A
3690;38328;2015;5732;3143;Porcentaje;56.580220317484766;A
3690;38328;2015;5733;3143;Porcentaje;50.44754564819929;A
3690;38328;2014;5732;3143;Porcentaje;56.71803440324703;A
3690;38328;2014;5733;3143;Porcentaje;50.8812982156097;A
3690;38330;2019;5732;3143;Porcentaje;31.50848655337893;A
3690;38330;2019;5733;3143;Porcentaje;15.60843072837161;A
3690;38330;2018;5732;3143;Porcentaje;30.61248406324348;A
3690;38330;2018;5733;3143;Porcentaje;15.79640562052638;A
3690;38330;2017;5732;3143;Porcentaje;30.11707948413907;A
3690;38330;2017;5733;3143;Porcentaje;16.67667875738855;A
3690;38330;2016;5732;3143;Porcentaje;29.691153887629255;A
3690;38330;2016;5733;3143;Porcentaje;13.763753920118488;A
3690;38330;2015;5732;3143;Porcentaje;28.699183835796045;A
3690;38330;2015;5733;3143;Porcentaje;11.003154895333257;A
3690;38330;2014;5732;3143;Porcentaje;27.98727930442605;A
3690;38330;2014;5733;3143;Porcentaje;9.461138335625744;A
3690;38333;2020;5732;3143;Porcentaje;100.0;A
3690;38333;2020;5733;3143;Porcentaje;100.0;A
3690;38333;2019;5732;3143;Porcentaje;100.0;A
3690;38333;2019;5733;3143;Porcentaje;100.0;A
3690;38333;2018;5732;3143;Porcentaje;100.0;A
3690;38333;2018;5733;3143;Porcentaje;100.0;A
3690;38333;2017;5732;3143;Porcentaje;100.0;A
