D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2007;3691;4210;48939;46593;3143;Población;108.2182125;M
2007;3691;4210;48940;46593;3143;Población;1028.612305;M
2007;3691;4210;48946;46593;3143;Población;286.69986;M
2007;3691;272251;48952;46593;3143;Población;1037.163285;M
2007;3691;272251;48934;46593;3143;Población;36.1756975;M
2007;3691;272251;48936;46593;3143;Población;662.3353725;M
2007;3691;272251;48937;46593;3143;Población;2.6768325;M
2007;3691;272251;48939;46593;3143;Población;77.7407475;M
2007;3691;272251;48940;46593;3143;Población;740.07612;M
2007;3691;272251;48946;46593;3143;Población;297.087165;M
2007;3691;4235;48952;46593;3143;Población;790.91165;M
2007;3691;4235;48934;46593;3143;Población;9.3210175;M
2007;3691;4235;48936;46593;3143;Población;282.475255;M
2007;3691;4235;48937;46593;3143;Población;0.66578;M
2007;3691;4235;48939;46593;3143;Población;34.5143175;M
2007;3691;4235;48940;46593;3143;Población;316.9895725;M
2007;3691;4235;48946;46593;3143;Población;473.9220775;M
2007;3691;4305;48952;46593;3143;Población;1140.03704;M
2007;3691;4305;48934;46593;3143;Población;0.418355;M
2007;3691;4305;48936;46593;3143;Población;16.9513175;M
2007;3691;4305;48937;46593;3143;Población;;M
2007;3691;4305;48939;46593;3143;Población;0.3958725;M
2007;3691;4305;48940;46593;3143;Población;17.34719;M
2007;3691;4305;48946;46593;3143;Población;1122.68985;M
2007;3691;4306;48952;46593;3143;Población;6582.318135;M
2007;3691;4306;48934;46593;3143;Población;251.281775;M
2007;3691;4306;48936;46593;3143;Población;3238.621595;M
2007;3691;4306;48937;46593;3143;Población;50.457465;M
2007;3691;4306;48939;46593;3143;Población;473.53892;M
2007;3691;4306;48940;46593;3143;Población;3712.160515;M
2007;3691;4306;48946;46593;3143;Población;2870.15762;M
2008;3689;4191;48952;46593;3143;Población;478.06624;M
2008;3689;4191;48934;46593;3143;Población;21.177915;M
2008;3689;4191;48936;46593;3143;Población;193.41887;M
2008;3689;4191;48937;46593;3143;Población;16.9056075;M
2008;3689;4191;48939;46593;3143;Población;83.39095;M
2008;3689;4191;48940;46593;3143;Población;276.80982;M
2008;3689;4191;48946;46593;3143;Población;201.25642;M
2008;3689;272250;48952;46593;3143;Población;694.402175;M
2008;3689;272250;48934;46593;3143;Población;39.1258775;M
2008;3689;272250;48936;46593;3143;Población;529.6762175;M
2008;3689;272250;48937;46593;3143;Población;4.9170525;M
2008;3689;272250;48939;46593;3143;Población;100.7456325;M
2008;3689;272250;48940;46593;3143;Población;630.42185;M
2008;3689;272250;48946;46593;3143;Población;63.980325;M
2008;3689;4210;48952;46593;3143;Población;678.2101;M
2008;3689;4210;48934;46593;3143;Población;35.2063125;M
2008;3689;4210;48936;46593;3143;Población;549.6929475;M
2008;3689;4210;48937;46593;3143;Población;0.289505;M
2008;3689;4210;48939;46593;3143;Población;74.9590325;M
2008;3689;4210;48940;46593;3143;Población;624.65198;M
2008;3689;4210;48946;46593;3143;Población;53.55812;M
2008;3689;272251;48952;46593;3143;Población;537.128245;M
2008;3689;272251;48934;46593;3143;Población;18.97834;M
2008;3689;272251;48936;46593;3143;Población;415.003885;M
2008;3689;272251;48937;46593;3143;Población;;M
2008;3689;272251;48939;46593;3143;Población;55.868675;M
2008;3689;272251;48940;46593;3143;Población;470.87256;M
2008;3689;272251;48946;46593;3143;Población;66.255685;M
2008;3689;4235;48952;46593;3143;Población;396.368055;M
2008;3689;4235;48934;46593;3143;Población;4.1858;M
2008;3689;4235;48936;46593;3143;Población;202.2307525;M
2008;3689;4235;48937;46593;3143;Población;;M
2008;3689;4235;48939;46593;3143;Población;27.20097;M
2008;3689;4235;48940;46593;3143;Población;229.4317225;M
