D_TEMPORAL_0;D_CNO11_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2021;6203;3690;3143;Parados;14.3367875;M
2021;6203;3691;3143;Parados;21.9222975;M
2021;6333;3689;3143;Parados;10.5678825;M
2021;6333;3690;3143;Parados;10.6362225;M
2021;6333;3691;3143;Parados;21.204105;M
2021;6375;3689;3143;Parados;7.7735325;M
2021;6375;3690;3143;Parados;12.221325;M
2021;6375;3691;3143;Parados;19.9948575;M
2021;6463;3689;3143;Parados;31.9190625;M
2021;6463;3690;3143;Parados;57.421985;M
2021;6463;3691;3143;Parados;89.3410475;M
2021;6489;3689;3143;Parados;8.07732;M
2021;6489;3690;3143;Parados;1.5723875;M
2021;6489;3691;3143;Parados;9.6497075;M
2021;6601;3689;3143;Parados;44.1993;M
2021;6601;3690;3143;Parados;5.75316;M
2021;6601;3691;3143;Parados;49.95246;M
2021;6667;3689;3143;Parados;17.7271075;M
2021;6667;3690;3143;Parados;3.1225175;M
2021;6667;3691;3143;Parados;20.849625;M
2021;6726;3689;3143;Parados;97.02535;M
2021;6726;3690;3143;Parados;100.62962;M
2021;6726;3691;3143;Parados;197.65497;M
2021;5989;3689;3143;Parados;0.79425;M
2021;5989;3690;3143;Parados;;M
2021;5989;3691;3143;Parados;0.79425;M
2021;6728;3689;3143;Parados;40.0128875;M
2021;6728;3690;3143;Parados;42.3686475;M
2021;6728;3691;3143;Parados;82.381535;M
2021;6744;3689;3143;Parados;136.88609;M
2021;6744;3690;3143;Parados;218.5432825;M
2021;6744;3691;3143;Parados;355.4293725;M
2021;6727;3689;3143;Parados;404.68601;M
2021;6727;3690;3143;Parados;467.0975175;M
2021;6727;3691;3143;Parados;871.7835275;M
