D_TEMPORAL_0;D_SEXO_0;D_CNO11_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2011;3691;6489;4210;3143;Ocupados;26.2156175;M
2011;3691;6489;4235;3143;Ocupados;37.8097475;M
2011;3691;6489;4305;3143;Ocupados;0.859095;M
2011;3691;6489;4306;3143;Ocupados;73.9198425;M
2011;3691;6601;4191;3143;Ocupados;60.4334;M
2011;3691;6601;4210;3143;Ocupados;164.85866;M
2011;3691;6601;4235;3143;Ocupados;106.16402;M
2011;3691;6601;4305;3143;Ocupados;0.65537;M
2011;3691;6601;4306;3143;Ocupados;332.11145;M
2011;3691;6667;4191;3143;Ocupados;29.32364;M
2011;3691;6667;4210;3143;Ocupados;88.2103225;M
2011;3691;6667;4235;3143;Ocupados;63.3207125;M
2011;3691;6667;4305;3143;Ocupados;0.6827275;M
2011;3691;6667;4306;3143;Ocupados;181.5374025;M
2011;3691;6726;4191;3143;Ocupados;91.9008475;M
2011;3691;6726;4210;3143;Ocupados;205.0690425;M
2011;3691;6726;4235;3143;Ocupados;163.100825;M
2011;3691;6726;4305;3143;Ocupados;1.6764225;M
2011;3691;6726;4306;3143;Ocupados;461.7471375;M
2011;3691;5989;4191;3143;Ocupados;10.981385;M
2011;3691;5989;4210;3143;Ocupados;13.21541;M
2011;3691;5989;4235;3143;Ocupados;3.195755;M
2011;3691;5989;4305;3143;Ocupados;;M
2011;3691;5989;4306;3143;Ocupados;27.39255;M
2011;3691;6727;4191;3143;Ocupados;508.7797;M
2011;3691;6727;4210;3143;Ocupados;1294.246745;M
2011;3691;6727;4235;3143;Ocupados;973.9688675;M
2011;3691;6727;4305;3143;Ocupados;20.9322975;M
2011;3691;6727;4306;3143;Ocupados;2797.92761;M
2012;3689;6038;4191;3143;Ocupados;2.227095;M
2012;3689;6038;4210;3143;Ocupados;31.6952325;M
2012;3689;6038;4235;3143;Ocupados;41.682665;M
2012;3689;6038;4305;3143;Ocupados;0.9702025;M
2012;3689;6038;4306;3143;Ocupados;76.575195;M
2012;3689;6203;4191;3143;Ocupados;18.07102;M
2012;3689;6203;4210;3143;Ocupados;88.12163;M
2012;3689;6203;4235;3143;Ocupados;81.0869575;M
2012;3689;6203;4305;3143;Ocupados;1.538765;M
2012;3689;6203;4306;3143;Ocupados;188.8183725;M
2012;3689;6333;4191;3143;Ocupados;20.03749;M
2012;3689;6333;4210;3143;Ocupados;77.3669225;M
2012;3689;6333;4235;3143;Ocupados;55.2138275;M
2012;3689;6333;4305;3143;Ocupados;0.966445;M
2012;3689;6333;4306;3143;Ocupados;153.584685;M
2012;3689;6375;4191;3143;Ocupados;10.3360075;M
2012;3689;6375;4210;3143;Ocupados;41.9289175;M
2012;3689;6375;4235;3143;Ocupados;35.1845575;M
2012;3689;6375;4305;3143;Ocupados;0.2192325;M
2012;3689;6375;4306;3143;Ocupados;87.668715;M
2012;3689;6463;4191;3143;Ocupados;54.10128;M
2012;3689;6463;4210;3143;Ocupados;132.7691425;M
2012;3689;6463;4235;3143;Ocupados;118.362745;M
2012;3689;6463;4305;3143;Ocupados;1.1533225;M
2012;3689;6463;4306;3143;Ocupados;306.38649;M
2012;3689;6489;4191;3143;Ocupados;4.37437;M
2012;3689;6489;4210;3143;Ocupados;21.94443;M
2012;3689;6489;4235;3143;Ocupados;28.68731;M
2012;3689;6489;4305;3143;Ocupados;0.5607825;M
2012;3689;6489;4306;3143;Ocupados;55.5668925;M
2012;3689;6601;4191;3143;Ocupados;33.7239875;M
2012;3689;6601;4210;3143;Ocupados;119.13613;M
2012;3689;6601;4235;3143;Ocupados;95.1763975;M
2012;3689;6601;4305;3143;Ocupados;0.495135;M
2012;3689;6601;4306;3143;Ocupados;248.53165;M
2012;3689;6667;4191;3143;Ocupados;17.160415;M
2012;3689;6667;4210;3143;Ocupados;75.741895;M
2012;3689;6667;4235;3143;Ocupados;63.3670725;M
2012;3689;6667;4305;3143;Ocupados;;M
2012;3689;6667;4306;3143;Ocupados;156.2693825;M
2012;3689;6726;4191;3143;Ocupados;43.588105;M
2012;3689;6726;4210;3143;Ocupados;90.97213;M
2012;3689;6726;4235;3143;Ocupados;51.521985;M
2012;3689;6726;4305;3143;Ocupados;0.0368125;M
2012;3689;6726;4306;3143;Ocupados;186.1190325;M
2012;3689;5989;4191;3143;Ocupados;5.71681;M
2012;3689;5989;4210;3143;Ocupados;13.092555;M
2012;3689;5989;4235;3143;Ocupados;4.0210125;M
2012;3689;5989;4305;3143;Ocupados;;M
2012;3689;5989;4306;3143;Ocupados;22.8303775;M
2012;3689;6727;4191;3143;Ocupados;209.33658;M
2012;3689;6727;4210;3143;Ocupados;692.768985;M
2012;3689;6727;4235;3143;Ocupados;574.30453;M
2012;3689;6727;4305;3143;Ocupados;5.9406975;M
2012;3689;6727;4306;3143;Ocupados;1482.3507925;M
2012;3690;6038;4191;3143;Ocupados;3.8342525;M
2012;3690;6038;4210;3143;Ocupados;15.767255;M
2012;3690;6038;4235;3143;Ocupados;11.41809;M
2012;3690;6038;4305;3143;Ocupados;0.84169;M
2012;3690;6038;4306;3143;Ocupados;31.8612875;M
2012;3690;6203;4191;3143;Ocupados;29.65597;M
2012;3690;6203;4210;3143;Ocupados;97.9614;M
2012;3690;6203;4235;3143;Ocupados;77.70144;M
2012;3690;6203;4305;3143;Ocupados;0.6678625;M
2012;3690;6203;4306;3143;Ocupados;205.9866725;M
2012;3690;6333;4191;3143;Ocupados;12.8010475;M
2012;3690;6333;4210;3143;Ocupados;50.716195;M
2012;3690;6333;4235;3143;Ocupados;26.7254775;M
2012;3690;6333;4305;3143;Ocupados;0.157755;M
2012;3690;6333;4306;3143;Ocupados;90.400475;M
2012;3690;6375;4191;3143;Ocupados;25.125935;M
2012;3690;6375;4210;3143;Ocupados;78.2260425;M
2012;3690;6375;4235;3143;Ocupados;39.580765;M
2012;3690;6375;4305;3143;Ocupados;0.2318825;M
