D_TEMPORAL_0;D_EPA_ESTRUCHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;48983;48939;3691;3143;Población;20.49944;M
2006;48983;48946;3689;3143;Población;55.5496125;M
2006;48983;48946;3690;3143;Población;96.37159;M
2006;48983;48946;3691;3143;Población;151.9212025;M
2006;48989;48952;3689;3143;Población;280.9098925;M
2006;48989;48952;3690;3143;Población;405.93699;M
2006;48989;48952;3691;3143;Población;686.8468825;M
2006;48989;48940;3689;3143;Población;153.8761175;M
2006;48989;48940;3690;3143;Población;174.669665;M
2006;48989;48940;3691;3143;Población;328.5457825;M
2006;48989;48936;3689;3143;Población;129.4141;M
2006;48989;48936;3690;3143;Población;141.1884375;M
2006;48989;48936;3691;3143;Población;270.6025375;M
2006;48989;48939;3689;3143;Población;24.4620175;M
2006;48989;48939;3690;3143;Población;33.4812275;M
2006;48989;48939;3691;3143;Población;57.943245;M
2006;48989;48946;3689;3143;Población;68.562495;M
2006;48989;48946;3690;3143;Población;174.8586125;M
2006;48989;48946;3691;3143;Población;243.4211075;M
2006;48984;48952;3689;3143;Población;8.584185;M
2006;48984;48952;3690;3143;Población;14.510655;M
2006;48984;48952;3691;3143;Población;23.09484;M
2006;48984;48940;3689;3143;Población;1.834395;M
2006;48984;48940;3690;3143;Población;5.16951;M
2006;48984;48940;3691;3143;Población;7.003905;M
2006;48984;48936;3689;3143;Población;1.69494;M
2006;48984;48936;3690;3143;Población;4.47333;M
2006;48984;48936;3691;3143;Población;6.16827;M
2006;48984;48939;3689;3143;Población;0.139455;M
2006;48984;48939;3690;3143;Población;0.69618;M
2006;48984;48939;3691;3143;Población;0.835635;M
2006;48984;48946;3689;3143;Población;0.279095;M
2006;48984;48946;3690;3143;Población;3.2561975;M
2006;48984;48946;3691;3143;Población;3.5352925;M
2006;48985;48952;3689;3143;Población;8.2033425;M
2006;48985;48952;3690;3143;Población;15.4000975;M
2006;48985;48952;3691;3143;Población;23.60344;M
2006;48985;48940;3689;3143;Población;0.84563;M
