D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2018;6980;3689;3143;Parados;65.7498325;M
2018;6980;3690;3143;Parados;44.8802475;M
2018;6980;3691;3143;Parados;110.63008;M
2018;7057;3689;3143;Parados;15.6690775;M
2018;7057;3690;3143;Parados;8.1545525;M
2018;7057;3691;3143;Parados;23.82363;M
2018;7662;3689;3143;Parados;32.8711675;M
2018;7662;3690;3143;Parados;1.5864775;M
2018;7662;3691;3143;Parados;34.457645;M
2018;7715;3689;3143;Parados;119.39987;M
2018;7715;3690;3143;Parados;165.4471775;M
2018;7715;3691;3143;Parados;284.8470475;M
2018;7716;3689;3143;Parados;53.3066775;M
2018;7716;3690;3143;Parados;66.110625;M
2018;7716;3691;3143;Parados;119.4173025;M
2018;7889;3689;3143;Parados;11.5004875;M
2018;7889;3690;3143;Parados;3.86735;M
2018;7889;3691;3143;Parados;15.3678375;M
2018;8032;3689;3143;Parados;13.207005;M
2018;8032;3690;3143;Parados;16.4570725;M
2018;8032;3691;3143;Parados;29.6640775;M
2018;8256;3689;3143;Parados;29.9004725;M
2018;8256;3690;3143;Parados;52.2960475;M
2018;8256;3691;3143;Parados;82.19652;M
2018;8346;3689;3143;Parados;11.4852275;M
2018;8346;3690;3143;Parados;26.7160825;M
2018;8346;3691;3143;Parados;38.20131;M
2018;8456;3689;3143;Parados;149.62344;M
2018;8456;3690;3143;Parados;207.84533;M
2018;8456;3691;3143;Parados;357.46877;M
2018;6950;3689;3143;Parados;44.5170875;M
2018;6950;3690;3143;Parados;48.893145;M
2018;6950;3691;3143;Parados;93.4102325;M
2018;6949;3689;3143;Parados;427.830475;M
2018;6949;3690;3143;Parados;476.80693;M
2018;6949;3691;3143;Parados;904.637405;M
2019;6980;3689;3143;Parados;66.6108375;M
2019;6980;3690;3143;Parados;46.3368075;M
2019;6980;3691;3143;Parados;112.947645;M
2019;7057;3689;3143;Parados;18.545155;M
2019;7057;3690;3143;Parados;7.68882;M
2019;7057;3691;3143;Parados;26.233975;M
2019;7662;3689;3143;Parados;35.94767;M
2019;7662;3690;3143;Parados;0.8221775;M
2019;7662;3691;3143;Parados;36.7698475;M
2019;7715;3689;3143;Parados;110.5762575;M
2019;7715;3690;3143;Parados;172.8819875;M
2019;7715;3691;3143;Parados;283.458245;M
2019;7716;3689;3143;Parados;51.901945;M
2019;7716;3690;3143;Parados;75.979535;M
2019;7716;3691;3143;Parados;127.88148;M
2019;7889;3689;3143;Parados;10.6754475;M
2019;7889;3690;3143;Parados;4.31067;M
2019;7889;3691;3143;Parados;14.9861175;M
2019;8032;3689;3143;Parados;12.2135025;M
2019;8032;3690;3143;Parados;20.5346525;M
2019;8032;3691;3143;Parados;32.748155;M
2019;8256;3689;3143;Parados;25.3364925;M
2019;8256;3690;3143;Parados;45.892465;M
2019;8256;3691;3143;Parados;71.2289575;M
2019;8346;3689;3143;Parados;10.44887;M
2019;8346;3690;3143;Parados;26.164665;M
2019;8346;3691;3143;Parados;36.613535;M
2019;8456;3689;3143;Parados;118.224;M
2019;8456;3690;3143;Parados;180.5480425;M
2019;8456;3691;3143;Parados;298.7720425;M
2019;6950;3689;3143;Parados;35.8913675;M
2019;6950;3690;3143;Parados;44.57384;M
2019;6950;3691;3143;Parados;80.4652075;M
2019;6949;3689;3143;Parados;385.7952875;M
2019;6949;3690;3143;Parados;452.851675;M
2019;6949;3691;3143;Parados;838.6469625;M
2020;6980;3689;3143;Parados;65.175325;M
2020;6980;3690;3143;Parados;42.2793225;M
2020;6980;3691;3143;Parados;107.4546475;M
2020;7057;3689;3143;Parados;18.8162625;M
2020;7057;3690;3143;Parados;9.3384475;M
2020;7057;3691;3143;Parados;28.15471;M
2020;7662;3689;3143;Parados;34.7701125;M
2020;7662;3690;3143;Parados;1.48145;M
2020;7662;3691;3143;Parados;36.2515625;M
2020;7715;3689;3143;Parados;139.6241625;M
2020;7715;3690;3143;Parados;195.389715;M
2020;7715;3691;3143;Parados;335.0138775;M
2020;7716;3689;3143;Parados;68.7528275;M
2020;7716;3690;3143;Parados;87.2412875;M
2020;7716;3691;3143;Parados;155.994115;M
2020;7889;3689;3143;Parados;12.90641;M
2020;7889;3690;3143;Parados;4.6652475;M
2020;7889;3691;3143;Parados;17.5716575;M
2020;8032;3689;3143;Parados;18.01368;M
2020;8032;3690;3143;Parados;21.6830125;M
2020;8032;3691;3143;Parados;39.6966925;M
2020;8256;3689;3143;Parados;24.2223025;M
2020;8256;3690;3143;Parados;47.317075;M
2020;8256;3691;3143;Parados;71.5393775;M
2020;8346;3689;3143;Parados;15.7289425;M
2020;8346;3690;3143;Parados;34.4830925;M
2020;8346;3691;3143;Parados;50.212035;M
2020;8456;3689;3143;Parados;113.0384775;M
2020;8456;3690;3143;Parados;172.6660225;M
2020;8456;3691;3143;Parados;285.7045;M
2020;6950;3689;3143;Parados;31.8491525;M
2020;6950;3690;3143;Parados;41.7519325;M
2020;6950;3691;3143;Parados;73.601085;M
2020;6949;3689;3143;Parados;403.2734925;M
2020;6949;3690;3143;Parados;462.90689;M
2020;6949;3691;3143;Parados;866.1803825;M
2021;6980;3689;3143;Parados;64.5291475;M
2021;6980;3690;3143;Parados;40.903295;M
2021;6980;3691;3143;Parados;105.4324425;M
2021;7057;3689;3143;Parados;19.3649475;M
2021;7057;3690;3143;Parados;4.672315;M
2021;7057;3691;3143;Parados;24.0372625;M
2021;7662;3689;3143;Parados;35.4997925;M
2021;7662;3690;3143;Parados;0.9619725;M
2021;7662;3691;3143;Parados;36.461765;M
2021;7715;3689;3143;Parados;108.393145;M
2021;7715;3690;3143;Parados;159.648005;M
2021;7715;3691;3143;Parados;268.04115;M
2021;7716;3689;3143;Parados;42.457025;M
2021;7716;3690;3143;Parados;59.2242925;M
2021;7716;3691;3143;Parados;101.6813175;M
2021;7889;3689;3143;Parados;10.8712125;M
2021;7889;3690;3143;Parados;3.916095;M
2021;7889;3691;3143;Parados;14.7873075;M
2021;8032;3689;3143;Parados;16.05846;M
2021;8032;3690;3143;Parados;20.17868;M
2021;8032;3691;3143;Parados;36.23714;M
2021;8256;3689;3143;Parados;28.3217475;M
2021;8256;3690;3143;Parados;49.0939325;M
2021;8256;3691;3143;Parados;77.41568;M
2021;8346;3689;3143;Parados;10.6847;M
2021;8346;3690;3143;Parados;27.235005;M
2021;8346;3691;3143;Parados;37.919705;M
2021;8456;3689;3143;Parados;136.88609;M
2021;8456;3690;3143;Parados;218.5432825;M
2021;8456;3691;3143;Parados;355.4293725;M
2021;6950;3689;3143;Parados;40.0128875;M
2021;6950;3690;3143;Parados;42.3686475;M
2021;6950;3691;3143;Parados;82.381535;M
2021;6949;3689;3143;Parados;404.68601;M
2021;6949;3690;3143;Parados;467.0975175;M
2021;6949;3691;3143;Parados;871.7835275;M
