TIME_PERIOD,REF_AREA,D_REL_RESIDENANT_0,INDICATOR,OBS_VALUE,FREQ
2020,2405,61636,MARRIAGE,1.0,A
2020,2406,61638,MARRIAGE,1.0,A
2020,2406,61636,MARRIAGE,1.0,A
2020,2407,61638,MARRIAGE,16.0,A
2020,2407,61635,MARRIAGE,8.0,A
2020,2407,61633,MARRIAGE,4.0,A
2020,2407,61634,MARRIAGE,4.0,A
2020,2407,61636,MARRIAGE,8.0,A
2020,2409,61638,MARRIAGE,27.0,A
2020,2409,61631,MARRIAGE,1.0,A
2020,2409,61635,MARRIAGE,1.0,A
2020,2409,61633,MARRIAGE,1.0,A
2020,2409,61636,MARRIAGE,25.0,A
2020,2410,61638,MARRIAGE,5.0,A
2020,2410,61636,MARRIAGE,5.0,A
2020,2411,61638,MARRIAGE,5.0,A
2020,2411,61635,MARRIAGE,1.0,A
2020,2411,61633,MARRIAGE,1.0,A
2020,2411,61636,MARRIAGE,4.0,A
2020,2412,61638,MARRIAGE,6.0,A
2020,2412,61636,MARRIAGE,6.0,A
2020,2414,61638,MARRIAGE,15.0,A
2020,2414,61636,MARRIAGE,15.0,A
2020,2415,61638,MARRIAGE,26.0,A
2020,2415,61636,MARRIAGE,26.0,A
2020,2416,61638,MARRIAGE,3.0,A
2020,2416,61631,MARRIAGE,1.0,A
2020,2416,61635,MARRIAGE,2.0,A
2020,2416,61633,MARRIAGE,1.0,A
2020,2416,61634,MARRIAGE,1.0,A
2020,2417,61638,MARRIAGE,1.0,A
2020,2417,61636,MARRIAGE,1.0,A
2020,2419,61638,MARRIAGE,24.0,A
2020,2419,61631,MARRIAGE,1.0,A
2020,2419,61635,MARRIAGE,5.0,A
2020,2419,61633,MARRIAGE,4.0,A
2020,2419,61634,MARRIAGE,1.0,A
2020,2419,61636,MARRIAGE,18.0,A
2020,2420,61638,MARRIAGE,12.0,A
2020,2420,61631,MARRIAGE,1.0,A
2020,2420,61635,MARRIAGE,5.0,A
2020,2420,61633,MARRIAGE,3.0,A
2020,2420,61634,MARRIAGE,2.0,A
2020,2420,61636,MARRIAGE,6.0,A
2020,2421,61638,MARRIAGE,5.0,A
2020,2421,61635,MARRIAGE,1.0,A
2020,2421,61633,MARRIAGE,1.0,A
2020,2421,61636,MARRIAGE,4.0,A
2020,2423,61638,MARRIAGE,586.0,A
2020,2423,61631,MARRIAGE,12.0,A
2020,2423,61635,MARRIAGE,58.0,A
2020,2423,61633,MARRIAGE,42.0,A
2020,2423,61634,MARRIAGE,16.0,A
2020,2423,61636,MARRIAGE,516.0,A
2020,2424,61638,MARRIAGE,4.0,A
2020,2424,61635,MARRIAGE,1.0,A
2020,2424,61633,MARRIAGE,1.0,A
2020,2424,61636,MARRIAGE,3.0,A
2020,2425,61638,MARRIAGE,4.0,A
2020,2425,61631,MARRIAGE,1.0,A
2020,2425,61636,MARRIAGE,3.0,A
2020,2426,61638,MARRIAGE,3.0,A
2020,2426,61636,MARRIAGE,3.0,A
2020,2427,61638,MARRIAGE,2.0,A
2020,2427,61631,MARRIAGE,1.0,A
2020,2427,61635,MARRIAGE,1.0,A
2020,2427,61634,MARRIAGE,1.0,A
2020,2428,61638,MARRIAGE,4.0,A
2020,2428,61635,MARRIAGE,1.0,A
2020,2428,61634,MARRIAGE,1.0,A
2020,2428,61636,MARRIAGE,3.0,A
2020,2429,61638,MARRIAGE,11.0,A
2020,2429,61635,MARRIAGE,5.0,A
2020,2429,61633,MARRIAGE,1.0,A
2020,2429,61634,MARRIAGE,4.0,A
2020,2429,61636,MARRIAGE,6.0,A
2020,2431,61638,MARRIAGE,4.0,A
2020,2431,61635,MARRIAGE,1.0,A
2020,2431,61634,MARRIAGE,1.0,A
2020,2431,61636,MARRIAGE,3.0,A
2020,2432,61638,MARRIAGE,12.0,A
2020,2432,61635,MARRIAGE,1.0,A
2020,2432,61634,MARRIAGE,1.0,A
2020,2432,61636,MARRIAGE,11.0,A
2020,2433,61638,MARRIAGE,2.0,A
2020,2433,61636,MARRIAGE,2.0,A
2020,2434,61638,MARRIAGE,2.0,A
2020,2434,61635,MARRIAGE,1.0,A
2020,2434,61634,MARRIAGE,1.0,A
2020,2434,61636,MARRIAGE,1.0,A
2020,2435,61638,MARRIAGE,4.0,A
2020,2435,61635,MARRIAGE,1.0,A
2020,2435,61634,MARRIAGE,1.0,A
2020,2435,61636,MARRIAGE,3.0,A
2020,280348,61638,MARRIAGE,1.0,A
2020,280348,61636,MARRIAGE,1.0,A
2020,2437,61638,MARRIAGE,12.0,A
2020,2437,61635,MARRIAGE,4.0,A
2020,2437,61633,MARRIAGE,3.0,A
2020,2437,61634,MARRIAGE,1.0,A
2020,2437,61636,MARRIAGE,8.0,A
2020,2438,61638,MARRIAGE,12.0,A
2020,2438,61631,MARRIAGE,1.0,A
2020,2438,61635,MARRIAGE,1.0,A
2020,2438,61633,MARRIAGE,1.0,A
2020,2438,61636,MARRIAGE,10.0,A
2020,2439,61638,MARRIAGE,6.0,A
2020,2439,61631,MARRIAGE,1.0,A
2020,2439,61635,MARRIAGE,1.0,A
2020,2439,61633,MARRIAGE,1.0,A
2020,2439,61636,MARRIAGE,4.0,A
2020,2440,61638,MARRIAGE,67.0,A
2020,2440,61631,MARRIAGE,1.0,A
2020,2440,61635,MARRIAGE,9.0,A
2020,2440,61633,MARRIAGE,5.0,A
2020,2440,61634,MARRIAGE,4.0,A
2020,2440,61636,MARRIAGE,57.0,A
2020,2441,61638,MARRIAGE,5.0,A
