D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;2667;Nacimientos;;A
2020;3690;280350;Nacimientos;10.0;A
2020;3690;2668;Nacimientos;3.0;A
2020;3690;2669;Nacimientos;1.0;A
2020;3690;2670;Nacimientos;;A
2020;3690;2671;Nacimientos;13.0;A
2020;3690;2709;Nacimientos;8.0;A
2020;3690;2697;Nacimientos;2.0;A
2020;3690;2702;Nacimientos;10.0;A
2020;3690;2672;Nacimientos;;A
2020;3690;2706;Nacimientos;58.0;A
2020;3690;2673;Nacimientos;11.0;A
2020;3690;2674;Nacimientos;1.0;A
2020;3690;2638;Nacimientos;17.0;A
2020;3690;2703;Nacimientos;1.0;A
2020;3690;2676;Nacimientos;2.0;A
2020;3690;2677;Nacimientos;6.0;A
2020;3690;2678;Nacimientos;3.0;A
2020;3690;2681;Nacimientos;15.0;A
2020;3690;2708;Nacimientos;3.0;A
2020;3690;2682;Nacimientos;68.0;A
2020;3690;2683;Nacimientos;7.0;A
2020;3690;2797;Nacimientos;2012.0;A
2020;3690;2714;Nacimientos;3.0;A
2020;3690;2715;Nacimientos;60.0;A
2020;3690;2716;Nacimientos;4.0;A
2020;3690;2717;Nacimientos;4.0;A
2020;3690;2718;Nacimientos;118.0;A
2020;3690;2719;Nacimientos;11.0;A
2020;3690;2720;Nacimientos;29.0;A
2020;3690;2721;Nacimientos;13.0;A
2020;3690;2722;Nacimientos;5.0;A
2020;3690;2723;Nacimientos;72.0;A
2020;3690;2724;Nacimientos;15.0;A
2020;3690;2725;Nacimientos;;A
2020;3690;2726;Nacimientos;52.0;A
2020;3690;2727;Nacimientos;14.0;A
2020;3690;2728;Nacimientos;3.0;A
2020;3690;2729;Nacimientos;3.0;A
2020;3690;2730;Nacimientos;13.0;A
2020;3690;2731;Nacimientos;10.0;A
2020;3690;2732;Nacimientos;;A
2020;3690;2733;Nacimientos;1.0;A
2020;3690;2734;Nacimientos;112.0;A
2020;3690;2735;Nacimientos;;A
2020;3690;2736;Nacimientos;6.0;A
2020;3690;2743;Nacimientos;6.0;A
2020;3690;2737;Nacimientos;1.0;A
2020;3690;2738;Nacimientos;21.0;A
2020;3690;2739;Nacimientos;1.0;A
2020;3690;2740;Nacimientos;;A
2020;3690;2741;Nacimientos;2.0;A
2020;3690;2742;Nacimientos;;A
2020;3690;2744;Nacimientos;1.0;A
2020;3690;2745;Nacimientos;16.0;A
2020;3690;2746;Nacimientos;;A
2020;3690;2747;Nacimientos;2.0;A
2020;3690;2748;Nacimientos;52.0;A
2020;3690;2749;Nacimientos;1.0;A
2020;3690;2750;Nacimientos;3.0;A
2020;3690;2751;Nacimientos;5.0;A
2020;3690;2752;Nacimientos;3.0;A
2020;3690;2753;Nacimientos;18.0;A
2020;3690;2754;Nacimientos;523.0;A
2020;3690;2755;Nacimientos;82.0;A
2020;3690;2756;Nacimientos;5.0;A
2020;3690;2757;Nacimientos;104.0;A
2020;3690;2758;Nacimientos;4.0;A
2020;3690;2759;Nacimientos;24.0;A
2020;3690;2760;Nacimientos;2.0;A
2020;3690;2761;Nacimientos;2.0;A
2020;3690;2762;Nacimientos;8.0;A
2020;3690;2763;Nacimientos;95.0;A
2020;3690;2764;Nacimientos;;A
2020;3690;2765;Nacimientos;18.0;A
2020;3690;2766;Nacimientos;24.0;A
2020;3690;2767;Nacimientos;32.0;A
2020;3690;2768;Nacimientos;63.0;A
2020;3690;2769;Nacimientos;16.0;A
2020;3690;2770;Nacimientos;2.0;A
2020;3690;2771;Nacimientos;6.0;A
2020;3690;2773;Nacimientos;52.0;A
2020;3690;2775;Nacimientos;48.0;A
2020;3690;2776;Nacimientos;4.0;A
2020;3690;2777;Nacimientos;27.0;A
2020;3690;2778;Nacimientos;47.0;A
2020;3690;2780;Nacimientos;;A
2020;3690;2779;Nacimientos;1.0;A
2020;3690;2781;Nacimientos;;A
2020;3690;2782;Nacimientos;10.0;A
2020;3690;2783;Nacimientos;13.0;A
2020;3690;2784;Nacimientos;30.0;A
2020;3690;2785;Nacimientos;2.0;A
2020;3690;2786;Nacimientos;46.0;A
2020;3690;2787;Nacimientos;5.0;A
2020;3690;2788;Nacimientos;10.0;A
2020;3690;2789;Nacimientos;;A
2020;3690;2790;Nacimientos;6.0;A
2020;3690;2791;Nacimientos;7.0;A
2020;3690;2792;Nacimientos;12.0;A
2020;3690;280351;Nacimientos;;A
2020;3690;2793;Nacimientos;2.0;A
2020;3690;2911;Nacimientos;2184.0;A
2020;3690;2798;Nacimientos;4.0;A
2020;3690;2800;Nacimientos;84.0;A
2020;3690;2801;Nacimientos;32.0;A
2020;3690;2802;Nacimientos;1.0;A
2020;3690;2803;Nacimientos;111.0;A
2020;3690;2804;Nacimientos;15.0;A
2020;3690;2805;Nacimientos;10.0;A
2020;3690;2806;Nacimientos;2.0;A
2020;3690;2907;Nacimientos;3.0;A
2020;3690;2807;Nacimientos;64.0;A
2020;3690;2808;Nacimientos;54.0;A
2020;3690;2809;Nacimientos;5.0;A
2020;3690;2810;Nacimientos;29.0;A
2020;3690;2904;Nacimientos;16.0;A
2020;3690;2812;Nacimientos;8.0;A
2020;3690;2813;Nacimientos;6.0;A
2020;3690;2814;Nacimientos;1.0;A
2020;3690;2815;Nacimientos;3.0;A
2020;3690;2816;Nacimientos;10.0;A
2020;3690;2817;Nacimientos;4.0;A
2020;3690;2818;Nacimientos;2.0;A
2020;3690;2819;Nacimientos;1.0;A
2020;3690;2903;Nacimientos;4.0;A
2020;3690;2822;Nacimientos;47.0;A
2020;3690;2823;Nacimientos;15.0;A
2020;3690;2825;Nacimientos;12.0;A
2020;3690;2826;Nacimientos;4.0;A
2020;3690;2827;Nacimientos;12.0;A
2020;3690;2828;Nacimientos;1.0;A
2020;3690;2829;Nacimientos;1.0;A
2020;3690;2830;Nacimientos;5.0;A
2020;3690;2831;Nacimientos;5.0;A
2020;3690;2832;Nacimientos;5.0;A
2020;3690;2833;Nacimientos;12.0;A
2020;3690;2834;Nacimientos;5.0;A
2020;3690;2836;Nacimientos;;A
2020;3690;2837;Nacimientos;13.0;A
2020;3690;2838;Nacimientos;12.0;A
2020;3690;2841;Nacimientos;3.0;A
2020;3690;2842;Nacimientos;1.0;A
2020;3690;2843;Nacimientos;;A
2020;3690;2844;Nacimientos;19.0;A
2020;3690;2845;Nacimientos;12.0;A
2020;3690;2846;Nacimientos;19.0;A
2020;3690;2847;Nacimientos;3.0;A
2020;3690;2848;Nacimientos;3.0;A
2020;3690;2849;Nacimientos;8.0;A
2020;3690;2850;Nacimientos;383.0;A
2020;3690;2851;Nacimientos;18.0;A
2020;3690;2852;Nacimientos;4.0;A
2020;3690;2853;Nacimientos;68.0;A
2020;3690;2839;Nacimientos;6.0;A
2020;3690;2854;Nacimientos;1.0;A
2020;3690;2855;Nacimientos;208.0;A
2020;3690;2856;Nacimientos;14.0;A
2020;3690;2857;Nacimientos;4.0;A
2020;3690;2858;Nacimientos;57.0;A
2020;3690;2859;Nacimientos;25.0;A
2020;3690;2860;Nacimientos;88.0;A
2020;3690;2861;Nacimientos;43.0;A
