D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2006;2352;70395;Muertes fetales tardías;56.0;A
2006;2352;70391;Muertes fetales tardías;28.0;A
2006;2352;70394;Muertes fetales tardías;28.0;A
2006;2402;70395;Muertes fetales tardías;96.0;A
2006;2402;70391;Muertes fetales tardías;49.0;A
2006;2402;70394;Muertes fetales tardías;47.0;A
2006;2482;70395;Muertes fetales tardías;67.0;A
2006;2482;70391;Muertes fetales tardías;36.0;A
2006;2482;70394;Muertes fetales tardías;31.0;A
2006;2713;70395;Muertes fetales tardías;72.0;A
2006;2713;70391;Muertes fetales tardías;34.0;A
2006;2713;70394;Muertes fetales tardías;38.0;A
2006;2797;70395;Muertes fetales tardías;8.0;A
2006;2797;70391;Muertes fetales tardías;4.0;A
2006;2797;70394;Muertes fetales tardías;4.0;A
2006;2911;70395;Muertes fetales tardías;42.0;A
2006;2911;70391;Muertes fetales tardías;21.0;A
2006;2911;70394;Muertes fetales tardías;21.0;A
2006;3023;70395;Muertes fetales tardías;112.0;A
2006;3023;70391;Muertes fetales tardías;53.0;A
2006;3023;70394;Muertes fetales tardías;59.0;A
2006;3142;70395;Muertes fetales tardías;158.0;A
2006;3142;70391;Muertes fetales tardías;78.0;A
2006;3142;70394;Muertes fetales tardías;80.0;A
2006;3143;70395;Muertes fetales tardías;611.0;A
2006;3143;70391;Muertes fetales tardías;303.0;A
2006;3143;70394;Muertes fetales tardías;308.0;A
2005;2352;70395;Muertes fetales tardías;35.0;A
2005;2352;70391;Muertes fetales tardías;18.0;A
2005;2352;70394;Muertes fetales tardías;17.0;A
2005;2402;70395;Muertes fetales tardías;127.0;A
2005;2402;70391;Muertes fetales tardías;64.0;A
2005;2402;70394;Muertes fetales tardías;63.0;A
2005;2482;70395;Muertes fetales tardías;59.0;A
2005;2482;70391;Muertes fetales tardías;29.0;A
2005;2482;70394;Muertes fetales tardías;30.0;A
2005;2713;70395;Muertes fetales tardías;65.0;A
2005;2713;70391;Muertes fetales tardías;32.0;A
2005;2713;70394;Muertes fetales tardías;33.0;A
2005;2797;70395;Muertes fetales tardías;9.0;A
2005;2797;70391;Muertes fetales tardías;7.0;A
2005;2797;70394;Muertes fetales tardías;2.0;A
2005;2911;70395;Muertes fetales tardías;56.0;A
