D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2015;3023;5626;Divorcios;115.6103;A
2015;3023;5627;Divorcios;82.5478;A
2015;3142;5630;Divorcios;4007.618;A
2015;3142;5622;Divorcios;3697.501;A
2015;3142;5621;Divorcios;3697.501;A
2015;3142;5620;Divorcios;3697.501;A
2015;3142;5629;Divorcios;310.117;A
2015;3142;5625;Divorcios;250.9814;A
2015;3142;5623;Divorcios;121.541;A
2015;3142;5624;Divorcios;129.4404;A
2015;3142;5628;Divorcios;59.1356;A
2015;3142;5626;Divorcios;44.728;A
2015;3142;5627;Divorcios;14.4076;A
2014;3143;5630;Divorcios;17376.98787;A
2014;3143;5622;Divorcios;15701.30337;A
2014;3143;5621;Divorcios;15701.30337;A
2014;3143;5620;Divorcios;15701.30337;A
2014;3143;5629;Divorcios;1675.6845;A
2014;3143;5625;Divorcios;1227.42309;A
2014;3143;5623;Divorcios;640.38305;A
2014;3143;5624;Divorcios;587.04004;A
2014;3143;5628;Divorcios;448.26141;A
2014;3143;5626;Divorcios;322.38913;A
2014;3143;5627;Divorcios;125.87228;A
2014;2352;5630;Divorcios;1315.503;A
2014;2352;5622;Divorcios;1095.075;A
2014;2352;5621;Divorcios;1095.075;A
2014;2352;5620;Divorcios;1095.075;A
2014;2352;5629;Divorcios;220.428;A
2014;2352;5625;Divorcios;151.191;A
2014;2352;5623;Divorcios;98.91;A
2014;2352;5624;Divorcios;52.281;A
2014;2352;5628;Divorcios;69.237;A
2014;2352;5626;Divorcios;45.216;A
2014;2352;5627;Divorcios;24.021;A
2014;2402;5630;Divorcios;2485.68082;A
2014;2402;5622;Divorcios;2315.86103;A
2014;2402;5621;Divorcios;2315.86103;A
2014;2402;5620;Divorcios;2315.86103;A
2014;2402;5629;Divorcios;169.81979;A
2014;2402;5625;Divorcios;133.75187;A
