D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2013;2482;5642;Divorcios;1.35646;A
2013;2482;5660;Divorcios;1.35646;A
2013;2713;5661;Divorcios;1822.15704;A
2013;2713;5634;Divorcios;800.60343;A
2013;2713;5636;Divorcios;542.82822;A
2013;2713;5638;Divorcios;413.25867;A
2013;2713;5640;Divorcios;61.37505;A
2013;2713;5642;Divorcios;2.72778;A
2013;2713;5660;Divorcios;1.36389;A
2013;2797;5661;Divorcios;995.33511;A
2013;2797;5634;Divorcios;432.31727;A
2013;2797;5636;Divorcios;294.43535;A
2013;2797;5638;Divorcios;241.29336;A
2013;2797;5640;Divorcios;22.98032;A
2013;2797;5642;Divorcios;2.87254;A
2013;2797;5660;Divorcios;1.43627;A
2013;2911;5661;Divorcios;1155.71547;A
2013;2911;5634;Divorcios;506.59567;A
2013;2911;5636;Divorcios;347.13798;A
2013;2911;5638;Divorcios;249.77001;A
2013;2911;5640;Divorcios;50.80068;A
2013;2911;5642;Divorcios;1.41113;A
2013;3023;5661;Divorcios;3581.6334;A
2013;3023;5634;Divorcios;1628.5374;A
2013;3023;5636;Divorcios;1062.714;A
2013;3023;5638;Divorcios;769.7496;A
2013;3023;5640;Divorcios;116.3241;A
2013;3023;5642;Divorcios;2.8722;A
2013;3023;5660;Divorcios;1.4361;A
2013;3142;5661;Divorcios;3839.365;A
2013;3142;5634;Divorcios;1626.084;A
2013;3142;5636;Divorcios;1173.0655;A
2013;3142;5638;Divorcios;921.979;A
2013;3142;5640;Divorcios;108.937;A
2013;3142;5642;Divorcios;6.6425;A
2013;3142;5660;Divorcios;2.657;A
2012;3143;5661;Divorcios;19100.05171;A
2012;3143;5634;Divorcios;8277.67408;A
2012;3143;5636;Divorcios;5744.25856;A
2012;3143;5638;Divorcios;4438.21973;A
2012;3143;5640;Divorcios;588.12709;A
2012;3143;5642;Divorcios;39.34058;A
2012;3143;5660;Divorcios;12.43167;A
2012;2352;5661;Divorcios;1673.28115;A
2012;2352;5634;Divorcios;794.03702;A
2012;2352;5636;Divorcios;480.34575;A
2012;2352;5638;Divorcios;365.83438;A
2012;2352;5640;Divorcios;27.03896;A
2012;2352;5642;Divorcios;6.02504;A
2012;2402;5661;Divorcios;2751.43454;A
2012;2402;5634;Divorcios;1192.61732;A
2012;2402;5636;Divorcios;845.30394;A
2012;2402;5638;Divorcios;623.70872;A
2012;2402;5640;Divorcios;79.38752;A
2012;2402;5642;Divorcios;5.20852;A
2012;2402;5660;Divorcios;5.20852;A
2012;2482;5661;Divorcios;1519.27045;A
2012;2482;5634;Divorcios;677.43838;A
2012;2482;5636;Divorcios;443.3598;A
2012;2482;5638;Divorcios;363.37422;A
2012;2482;5640;Divorcios;29.24019;A
2012;2482;5642;Divorcios;4.60962;A
2012;2482;5660;Divorcios;1.24824;A
2012;2713;5661;Divorcios;2194.10578;A
2012;2713;5634;Divorcios;898.12826;A
2012;2713;5636;Divorcios;630.93392;A
2012;2713;5638;Divorcios;565.05708;A
2012;2713;5640;Divorcios;93.88036;A
2012;2713;5642;Divorcios;6.10616;A
2012;2797;5661;Divorcios;1090.26737;A
2012;2797;5634;Divorcios;435.22177;A
2012;2797;5636;Divorcios;342.97663;A
2012;2797;5638;Divorcios;283.31119;A
2012;2797;5640;Divorcios;27.37762;A
2012;2797;5642;Divorcios;1.38016;A
2012;2911;5661;Divorcios;1282.34085;A
2012;2911;5634;Divorcios;549.47948;A
2012;2911;5636;Divorcios;362.85464;A
2012;2911;5638;Divorcios;311.92896;A
2012;2911;5640;Divorcios;54.36695;A
2012;2911;5642;Divorcios;1.85541;A
2012;2911;5660;Divorcios;1.85541;A
2012;3023;5661;Divorcios;4090.46015;A
2012;3023;5634;Divorcios;1852.62459;A
2012;3023;5636;Divorcios;1241.96483;A
2012;3023;5638;Divorcios;859.054;A
2012;3023;5640;Divorcios;125.03559;A
2012;3023;5642;Divorcios;10.23833;A
2012;3023;5660;Divorcios;1.54281;A
2012;3142;5661;Divorcios;4498.89142;A
2012;3142;5634;Divorcios;1878.12726;A
2012;3142;5636;Divorcios;1396.51905;A
2012;3142;5638;Divorcios;1065.95118;A
2012;3142;5640;Divorcios;151.7999;A
2012;3142;5642;Divorcios;3.91734;A
2012;3142;5660;Divorcios;2.57669;A
2011;3143;5661;Divorcios;18257.58564089;A
2011;3143;5634;Divorcios;7846.04933399;A
2011;3143;5636;Divorcios;5527.79355028;A
2011;3143;5638;Divorcios;4267.80886431;A
2011;3143;5640;Divorcios;556.81508384;A
2011;3143;5642;Divorcios;51.27548841;A
2011;3143;5660;Divorcios;7.84332006;A
2011;2352;5661;Divorcios;1426.82187464;A
2011;2352;5634;Divorcios;583.52640992;A
2011;2352;5636;Divorcios;473.24332963;A
2011;2352;5638;Divorcios;325.8645722;A
2011;2352;5640;Divorcios;33.50802275;A
2011;2352;5642;Divorcios;8.94397693;A
2011;2352;5660;Divorcios;1.73556321;A
2011;2402;5661;Divorcios;2822.48660103;A
2011;2402;5634;Divorcios;1202.3111071;A
2011;2402;5636;Divorcios;876.25066798;A
2011;2402;5638;Divorcios;687.0078043;A
2011;2402;5640;Divorcios;54.20382726;A
2011;2402;5642;Divorcios;2.71319439;A
2011;2482;5661;Divorcios;1607.8291226;A
2011;2482;5634;Divorcios;694.5188753;A
2011;2482;5636;Divorcios;460.81061422;A
2011;2482;5638;Divorcios;405.63396368;A
2011;2482;5640;Divorcios;45.24572844;A
2011;2482;5642;Divorcios;1.61994096;A
2011;2482;5660;Divorcios;;A
2011;2713;5661;Divorcios;2058.63585768;A
2011;2713;5634;Divorcios;942.86928504;A
2011;2713;5636;Divorcios;588.47517352;A
2011;2713;5638;Divorcios;447.82141032;A
2011;2713;5640;Divorcios;77.16153716;A
2011;2713;5642;Divorcios;2.30845164;A
2011;2713;5660;Divorcios;;A
2011;2797;5661;Divorcios;976.40048302;A
2011;2797;5634;Divorcios;372.33923021;A
2011;2797;5636;Divorcios;331.09876328;A
2011;2797;5638;Divorcios;238.67755323;A
2011;2797;5640;Divorcios;29.82189314;A
2011;2797;5642;Divorcios;4.46304316;A
2011;2911;5661;Divorcios;1223.16206129;A
2011;2911;5634;Divorcios;453.89824154;A
2011;2911;5636;Divorcios;401.44938377;A
2011;2911;5638;Divorcios;321.72581146;A
2011;2911;5640;Divorcios;42.65822548;A
2011;2911;5642;Divorcios;3.43039904;A
2011;3023;5661;Divorcios;3827.02436747;A
2011;3023;5634;Divorcios;1750.01485096;A
2011;3023;5636;Divorcios;1095.64919368;A
2011;3023;5638;Divorcios;839.63571072;A
2011;3023;5640;Divorcios;127.68371955;A
2011;3023;5642;Divorcios;12.54909087;A
2011;3023;5660;Divorcios;1.49180169;A
2011;3142;5661;Divorcios;4315.22527316;A
2011;3142;5634;Divorcios;1846.57133392;A
2011;3142;5636;Divorcios;1300.8164242;A
2011;3142;5638;Divorcios;1001.4420384;A
2011;3142;5640;Divorcios;146.53213006;A
2011;3142;5642;Divorcios;15.24739142;A
2011;3142;5660;Divorcios;4.61595516;A
2010;3143;5661;Divorcios;18373.44232079;A
2010;3143;5634;Divorcios;8065.31128136;A
2010;3143;5636;Divorcios;5593.03758546;A
2010;3143;5638;Divorcios;4025.1756401;A
2010;3143;5640;Divorcios;625.40437014;A
2010;3143;5642;Divorcios;56.08979426;A
2010;3143;5660;Divorcios;8.42364947;A
2010;2352;5661;Divorcios;1362.40772485;A
2010;2352;5634;Divorcios;637.91482471;A
2010;2352;5636;Divorcios;427.86772925;A
2010;2352;5638;Divorcios;246.61045796;A
2010;2352;5640;Divorcios;46.42308397;A
2010;2352;5642;Divorcios;3.59162896;A
2010;2352;5660;Divorcios;;A
2010;2402;5661;Divorcios;2718.61775842;A
2010;2402;5634;Divorcios;1205.02172308;A
2010;2402;5636;Divorcios;821.67696864;A
2010;2402;5638;Divorcios;584.38205406;A
2010;2402;5640;Divorcios;105.28180038;A
2010;2402;5642;Divorcios;2.25521226;A
2010;2402;5660;Divorcios;;A
2010;2482;5661;Divorcios;1659.02026916;A
2010;2482;5634;Divorcios;711.70786281;A
2010;2482;5636;Divorcios;529.88168197;A
2010;2482;5638;Divorcios;342.19432698;A
2010;2482;5640;Divorcios;71.5255726;A
