D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2008;215157;215124;215130;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215130;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215130;3690;3143;213227;215166;Personas;;A
2008;215157;215124;215131;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215131;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215131;3690;3143;213227;215166;Personas;;A
2009;215154;215117;215132;3691;3143;213227;215166;Personas;4914.999999998;A
2009;215154;215117;215132;3689;3143;213227;215166;Personas;2654.0;A
2009;215154;215117;215132;3690;3143;213227;215166;Personas;2260.999999998;A
2009;215154;215117;215126;3691;3143;213227;215166;Personas;155.000000001;A
2009;215154;215117;215126;3689;3143;213227;215166;Personas;98.956494004;A
2009;215154;215117;215126;3690;3143;213227;215166;Personas;56.043505997;A
2009;215154;215117;215127;3691;3143;213227;215166;Personas;266.000000001;A
2009;215154;215117;215127;3689;3143;213227;215166;Personas;198.346098123;A
2009;215154;215117;215127;3690;3143;213227;215166;Personas;67.653901878;A
2009;215154;215117;215128;3691;3143;213227;215166;Personas;2998.999999997;A
2009;215154;215117;215128;3689;3143;213227;215166;Personas;1504.521672451;A
2009;215154;215117;215128;3690;3143;213227;215166;Personas;1494.478327546;A
2009;215154;215117;215129;3691;3143;213227;215166;Personas;1083.000000001;A
2009;215154;215117;215129;3689;3143;213227;215166;Personas;658.881102916;A
2009;215154;215117;215129;3690;3143;213227;215166;Personas;424.118897085;A
2009;215154;215117;215130;3691;3143;213227;215166;Personas;332.999999998;A
2009;215154;215117;215130;3689;3143;213227;215166;Personas;154.867164997;A
2009;215154;215117;215130;3690;3143;213227;215166;Personas;178.132835001;A
2009;215154;215117;215131;3691;3143;213227;215166;Personas;79.0;A
2009;215154;215117;215131;3689;3143;213227;215166;Personas;38.427467509;A
2009;215154;215117;215131;3690;3143;213227;215166;Personas;40.572532491;A
2009;215154;215120;215132;3691;3143;213227;215166;Personas;24553.999999997;A
2009;215154;215120;215132;3689;3143;213227;215166;Personas;14487.0;A
2009;215154;215120;215132;3690;3143;213227;215166;Personas;10066.999999997;A
2009;215154;215120;215126;3691;3143;213227;215166;Personas;5128.999999999;A
2009;215154;215120;215126;3689;3143;213227;215166;Personas;3018.06505983;A
2009;215154;215120;215126;3690;3143;213227;215166;Personas;2110.934940169;A
2009;215154;215120;215127;3691;3143;213227;215166;Personas;4176.999999999;A
2009;215154;215120;215127;3689;3143;213227;215166;Personas;2505.296989699;A
2009;215154;215120;215127;3690;3143;213227;215166;Personas;1671.7030103;A
2009;215154;215120;215128;3691;3143;213227;215166;Personas;3536.999999999;A
2009;215154;215120;215128;3689;3143;213227;215166;Personas;2101.542155694;A
