TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;ES612;TASA_VARI_INTE;-2.8360227241067255;A
2015;ES613;TASA_VARI_INTE;-1.2484913965535354;A
2015;ES614;TASA_VARI_INTE;4.7375099107363265;A
2015;ES615;TASA_VARI_INTE;6.986866645213877;A
2015;ES616;TASA_VARI_INTE;24.9054747466784;A
2015;ES617;TASA_VARI_INTE;3.152372775711987;A
2015;ES618;TASA_VARI_INTE;4.278276560021438;A
2016;ES61;TASA_VARI_INTE;-1.3274273300779569;A
2016;ES611;TASA_VARI_INTE;-1.6027214941105008;A
2016;ES612;TASA_VARI_INTE;-17.95878439913969;A
2016;ES613;TASA_VARI_INTE;-2.87038243568936;A
2016;ES614;TASA_VARI_INTE;1.8499117697684335;A
2016;ES615;TASA_VARI_INTE;-4.096169288230617;A
2016;ES616;TASA_VARI_INTE;-6.943634670054108;A
2016;ES617;TASA_VARI_INTE;3.094481215471041;A
2016;ES618;TASA_VARI_INTE;-5.622218725421227;A
2017;ES61;TASA_VARI_INTE;-0.7275001588988205;A
2017;ES611;TASA_VARI_INTE;10.506354384513104;A
2017;ES612;TASA_VARI_INTE;-2.086597128639405;A
2017;ES613;TASA_VARI_INTE;-5.966890934399668;A
2017;ES614;TASA_VARI_INTE;-2.285556556325966;A
2017;ES615;TASA_VARI_INTE;9.8609135040678;A
2017;ES616;TASA_VARI_INTE;5.318244780433798;A
2017;ES617;TASA_VARI_INTE;-6.881643447487376;A
2017;ES618;TASA_VARI_INTE;1.8411740173903635;A
2018;ES61;TASA_VARI_INTE;-2.6924854488200447;A
2018;ES611;TASA_VARI_INTE;0.27347624163210654;A
2018;ES612;TASA_VARI_INTE;-4.33707819076989;A
2018;ES613;TASA_VARI_INTE;-6.496263863684977;A
2018;ES614;TASA_VARI_INTE;-2.417432751607996;A
2018;ES615;TASA_VARI_INTE;2.2430440221619348;A
2018;ES616;TASA_VARI_INTE;-9.532596793599803;A
2018;ES617;TASA_VARI_INTE;0.823136743199328;A
2018;ES618;TASA_VARI_INTE;-0.8918256677595344;A
2019;ES61;TASA_VARI_INTE;-1.0674691073569533;A
2019;ES611;TASA_VARI_INTE;1.699703763282806;A
2019;ES612;TASA_VARI_INTE;-1.647352328531459;A
2019;ES613;TASA_VARI_INTE;-2.800648743299581;A
2019;ES614;TASA_VARI_INTE;-0.9159964118437419;A
2019;ES615;TASA_VARI_INTE;-2.641251746282384;A
2019;ES616;TASA_VARI_INTE;-2.426690777266751;A
2019;ES617;TASA_VARI_INTE;-2.6612574416058683;A
2019;ES618;TASA_VARI_INTE;-0.5761763310643729;A
2020;ES61;TASA_VARI_INTE;-3.9266555640060457;A
2020;ES611;TASA_VARI_INTE;-3.0728885010761786;A
2020;ES612;TASA_VARI_INTE;21.96089079868608;A
2020;ES613;TASA_VARI_INTE;-3.643609953556568;A
2020;ES614;TASA_VARI_INTE;4.16156028604797;A
2020;ES615;TASA_VARI_INTE;13.135582073876865;A
2020;ES616;TASA_VARI_INTE;-1.0284772482447424;A
2020;ES617;TASA_VARI_INTE;13.009223883694657;A
2020;ES618;TASA_VARI_INTE;-7.774603053830958;A
2021;ES61;TASA_VARI_INTE;-11.794736839217556;A
2021;ES611;TASA_VARI_INTE;-1.860031949518056;A
2021;ES612;TASA_VARI_INTE;-7.579312877533467;A
2021;ES613;TASA_VARI_INTE;-2.607275369672442;A
2021;ES614;TASA_VARI_INTE;-9.899313218202394;A
2021;ES615;TASA_VARI_INTE;-16.082921292106906;A
2021;ES616;TASA_VARI_INTE;7.72468849194157;A
2021;ES617;TASA_VARI_INTE;-20.378211738321554;A
2021;ES618;TASA_VARI_INTE;22.490564196320644;A
