TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2019;ES61;4316;4967;DIV;15656.69183;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4316;4958;DIV;15067.10054;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4316;4962;DIV;48.70722;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4316;4965;DIV;540.88407;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4320;4967;DIV;100.20274;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4320;4958;DIV;55.09186;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4320;4962;DIV;12.2575;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4320;4965;DIV;32.85338;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4323;4967;DIV;1321.38023;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4323;4958;DIV;800.46564;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4323;4962;DIV;16.34902;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;4323;4965;DIV;504.56557;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;TOTAL;4967;DIV;1684.43364;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;TOTAL;4958;DIV;1532.63931;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;TOTAL;4962;DIV;8.12148;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;TOTAL;4965;DIV;143.67285;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4316;4967;DIV;1512.88671;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4316;4958;DIV;1441.78992;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4316;4962;DIV;6.09111;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4316;4965;DIV;65.00568;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4320;4967;DIV;4.06074;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4320;4962;DIV;2.03037;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4320;4965;DIV;2.03037;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4323;4967;DIV;167.48619;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4323;4958;DIV;90.84939;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES611;4323;4965;DIV;76.6368;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;TOTAL;4967;DIV;2350.11045;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;TOTAL;4958;DIV;2162.79095;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;TOTAL;4962;DIV;12.66128;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;TOTAL;4965;DIV;174.65822;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4316;4967;DIV;2182.91411;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4316;4958;DIV;2067.20201;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4316;4962;DIV;12.66128;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4316;4965;DIV;103.05082;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES612;4320;4967;DIV;14.84142;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
