D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55126;55557;2016;Viajeros;-;A
40123;55126;55557;2015;Viajeros;-;A
40123;55126;55557;2010;Viajeros;245.133285631;A
40123;55126;55558;2020;Viajeros;105.919237755;A
40123;55126;55558;2019;Viajeros;202.744139702;A
40123;55126;55558;2018;Viajeros;315.792981038;A
40123;55126;55558;2017;Viajeros;229.556189588;A
40123;55126;55558;2016;Viajeros;244.63158408;A
40123;55126;55558;2015;Viajeros;185.493534275;A
40123;55126;55558;2010;Viajeros;261.90285714;A
40123;55126;55559;2019;Viajeros;-;A
40123;55126;55559;2017;Viajeros;-;A
40123;55126;55559;2016;Viajeros;-;A
40123;55126;55559;2015;Viajeros;-;A
40123;55126;55559;2010;Viajeros;-;A
40123;55126;55544;2020;Viajeros;-;A
40123;55126;55544;2019;Viajeros;-;A
40123;55126;55544;2018;Viajeros;-;A
40123;55126;55544;2017;Viajeros;-;A
40123;55126;55544;2016;Viajeros;-;A
40123;55126;55544;2015;Viajeros;-;A
40123;55126;55544;2010;Viajeros;-;A
40123;55126;55561;2020;Viajeros;-;A
40123;55126;55561;2019;Viajeros;-;A
40123;55126;55561;2018;Viajeros;-;A
40123;55126;55561;2017;Viajeros;-;A
40123;55126;55561;2016;Viajeros;-;A
40123;55126;55561;2015;Viajeros;-;A
40123;55126;55561;2010;Viajeros;-;A
40123;55126;55562;2020;Viajeros;-;A
40123;55126;55562;2019;Viajeros;-;A
40123;55126;55562;2018;Viajeros;-;A
40123;55126;55562;2015;Viajeros;-;A
40123;55128;55564;2020;Viajeros;4548.945276309;A
40123;55128;55564;2019;Viajeros;6391.567759698;A
40123;55128;55564;2018;Viajeros;5417.238400367;A
40123;55128;55564;2017;Viajeros;6504.475387916;A
40123;55128;55564;2016;Viajeros;5036.308823571;A
40123;55128;55564;2015;Viajeros;4513.803781438;A
40123;55128;55564;2014;Viajeros;2889.788282691;A
40123;55128;55564;2013;Viajeros;3472.073101159;A
40123;55128;55564;2012;Viajeros;3838.994648441;A
40123;55128;55564;2011;Viajeros;6102.230823624;A
40123;55128;55564;2010;Viajeros;6072.219815186;A
40123;55128;55564;2009;Viajeros;7239.818715269;A
40123;55128;55564;2008;Viajeros;6335.449766624;A
40123;55128;55564;2007;Viajeros;7204.679482981;A
40123;55128;55543;2020;Viajeros;3416.872542984;A
40123;55128;55543;2019;Viajeros;4672.680947811;A
40123;55128;55543;2018;Viajeros;4331.1804022;A
40123;55128;55543;2017;Viajeros;4312.3169729;A
40123;55128;55543;2016;Viajeros;3417.69951726;A
40123;55128;55543;2015;Viajeros;3724.1147454;A
40123;55128;55543;2014;Viajeros;2812.2220293;A
40123;55128;55543;2013;Viajeros;3339.1244977;A
40123;55128;55543;2012;Viajeros;3692.54478865;A
40123;55128;55543;2011;Viajeros;5872.0668509;A
40123;55128;55543;2010;Viajeros;5822.777219;A
40123;55128;55543;2009;Viajeros;6830.4291128;A
40123;55128;55543;2008;Viajeros;6115.1352044;A
40123;55128;55543;2007;Viajeros;6520.4137277;A
40123;55128;55563;2020;Viajeros;1132.072733325;A
40123;55128;55563;2019;Viajeros;1718.886811887;A
40123;55128;55563;2018;Viajeros;1086.057998167;A
40123;55128;55563;2017;Viajeros;2192.158415016;A
40123;55128;55563;2016;Viajeros;1618.609306311;A
40123;55128;55563;2015;Viajeros;789.689036038;A
40123;55128;55563;2014;Viajeros;-;A
40123;55128;55563;2013;Viajeros;132.948603459;A
40123;55128;55563;2012;Viajeros;146.449859791;A
40123;55128;55563;2011;Viajeros;230.163972724;A
40123;55128;55563;2010;Viajeros;249.442596186;A
40123;55128;55563;2009;Viajeros;409.389602469;A
40123;55128;55563;2008;Viajeros;220.314562224;A
40123;55128;55563;2007;Viajeros;684.265755281;A
40123;55128;55545;2020;Viajeros;-;A
40123;55128;55545;2019;Viajeros;-;A
40123;55128;55545;2018;Viajeros;-;A
40123;55128;55545;2017;Viajeros;-;A
40123;55128;55545;2016;Viajeros;-;A
40123;55128;55545;2015;Viajeros;-;A
40123;55128;55545;2010;Viajeros;-;A
40123;55128;55545;2009;Viajeros;-;A
40123;55128;55545;2008;Viajeros;-;A
40123;55128;55546;2011;Viajeros;-;A
40123;55128;55546;2010;Viajeros;-;A
40123;55128;55546;2008;Viajeros;-;A
40123;55128;55546;2007;Viajeros;-;A
40123;55128;55547;2020;Viajeros;-;A
40123;55128;55547;2019;Viajeros;-;A
40123;55128;55547;2017;Viajeros;-;A
40123;55128;55547;2016;Viajeros;-;A
40123;55128;55547;2010;Viajeros;-;A
40123;55128;55548;2020;Viajeros;-;A
40123;55128;55548;2019;Viajeros;-;A
40123;55128;55548;2018;Viajeros;-;A
40123;55128;55548;2017;Viajeros;-;A
40123;55128;55548;2016;Viajeros;-;A
40123;55128;55548;2015;Viajeros;-;A
40123;55128;55549;2020;Viajeros;-;A
40123;55128;55549;2019;Viajeros;105.764251025;A
40123;55128;55549;2018;Viajeros;100.064246748;A
40123;55128;55549;2017;Viajeros;151.94193164;A
40123;55128;55549;2016;Viajeros;112.17213211;A
40123;55128;55549;2015;Viajeros;-;A
40123;55128;55549;2013;Viajeros;-;A
40123;55128;55549;2011;Viajeros;-;A
40123;55128;55549;2008;Viajeros;-;A
40123;55128;55550;2020;Viajeros;-;A
40123;55128;55550;2019;Viajeros;-;A
40123;55128;55550;2018;Viajeros;-;A
40123;55128;55550;2017;Viajeros;163.58317661;A
40123;55128;55550;2016;Viajeros;-;A
40123;55128;55550;2015;Viajeros;-;A
40123;55128;55550;2012;Viajeros;-;A
40123;55128;55550;2007;Viajeros;-;A
40123;55128;55551;2020;Viajeros;237.148332549;A
40123;55128;55551;2019;Viajeros;380.392412534;A
40123;55128;55551;2018;Viajeros;236.845236428;A
40123;55128;55551;2017;Viajeros;248.56724175;A
40123;55128;55551;2016;Viajeros;362.780051446;A
40123;55128;55551;2015;Viajeros;252.44206625;A
40123;55128;55551;2014;Viajeros;-;A
40123;55128;55551;2013;Viajeros;-;A
40123;55128;55551;2012;Viajeros;-;A
40123;55128;55551;2011;Viajeros;-;A
40123;55128;55551;2010;Viajeros;-;A
40123;55128;55551;2009;Viajeros;-;A
40123;55128;55551;2008;Viajeros;-;A
40123;55128;55551;2007;Viajeros;150.402710714;A
40123;55128;55552;2020;Viajeros;153.126052899;A
40123;55128;55552;2019;Viajeros;308.924232606;A
40123;55128;55552;2018;Viajeros;-;A
40123;55128;55552;2017;Viajeros;258.148288069;A
40123;55128;55552;2016;Viajeros;145.08224072;A
40123;55128;55552;2015;Viajeros;-;A
40123;55128;55552;2013;Viajeros;-;A
40123;55128;55552;2012;Viajeros;-;A
40123;55128;55552;2011;Viajeros;-;A
40123;55128;55552;2010;Viajeros;-;A
40123;55128;55552;2009;Viajeros;-;A
40123;55128;55552;2008;Viajeros;-;A
40123;55128;55552;2007;Viajeros;-;A
40123;55128;55553;2020;Viajeros;-;A
40123;55128;55553;2019;Viajeros;-;A
40123;55128;55553;2018;Viajeros;-;A
40123;55128;55553;2017;Viajeros;111.34139392;A
40123;55128;55553;2016;Viajeros;-;A
40123;55128;55554;2020;Viajeros;-;A
40123;55128;55554;2019;Viajeros;-;A
40123;55128;55554;2018;Viajeros;-;A
40123;55128;55554;2017;Viajeros;-;A
40123;55128;55554;2016;Viajeros;-;A
40123;55128;55554;2015;Viajeros;-;A
40123;55128;55554;2009;Viajeros;-;A
40123;55128;55555;2020;Viajeros;194.274635936;A
40123;55128;55555;2019;Viajeros;351.226028105;A
40123;55128;55555;2018;Viajeros;247.656331936;A
40123;55128;55555;2017;Viajeros;622.95263157;A
40123;55128;55555;2016;Viajeros;362.153031783;A
40123;55128;55555;2015;Viajeros;134.051011772;A
40123;55128;55555;2014;Viajeros;-;A
40123;55128;55555;2013;Viajeros;-;A
40123;55128;55555;2012;Viajeros;-;A
40123;55128;55555;2011;Viajeros;-;A
40123;55128;55555;2010;Viajeros;123.26086957;A
40123;55128;55555;2009;Viajeros;123.26666667;A
40123;55128;55555;2008;Viajeros;106.605319492;A
40123;55128;55555;2007;Viajeros;323.015611634;A
