D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3023;6962;Empresas;;A
2020;3023;6963;Empresas;;A
2020;3023;6964;Empresas;;A
2020;3023;6965;Empresas;;A
2020;3023;6966;Empresas;;A
2020;3023;6956;Empresas;;A
2020;3023;6957;Empresas;;A
2020;3023;6958;Empresas;;A
2020;3023;6959;Empresas;;A
2020;3023;6960;Empresas;;A
2020;3023;6968;Empresas;;A
2020;3023;6969;Empresas;;A
2020;3023;6970;Empresas;;A
2020;3023;6971;Empresas;;A
2020;3023;6972;Empresas;;A
2020;3023;8450;Empresas;;A
2020;3023;8451;Empresas;;A
2020;3023;8452;Empresas;;A
2020;3023;8453;Empresas;;A
2020;3023;8454;Empresas;;A
2020;3023;8456;Empresas;;A
2020;3023;8457;Empresas;;A
2020;3023;8458;Empresas;;A
2020;3023;8459;Empresas;;A
2020;3023;8460;Empresas;;A
2020;3023;6950;Empresas;;A
2020;3023;6951;Empresas;;A
2020;3023;6952;Empresas;;A
2020;3023;6953;Empresas;;A
2020;3023;6954;Empresas;;A
2020;3023;6974;Empresas;;A
2020;3023;6975;Empresas;;A
2020;3023;6976;Empresas;;A
2020;3023;6977;Empresas;;A
2020;3023;6978;Empresas;;A
2020;3023;261718;Empresas;;A
2020;3023;261719;Empresas;;A
2020;3023;261720;Empresas;;A
2020;3023;261721;Empresas;;A
2020;3023;261722;Empresas;;A
2020;2912;6949;Empresas;282.0;A
2020;2912;6980;Empresas;;A
2020;2912;6981;Empresas;;A
2020;2912;7056;Empresas;;A
2020;2912;7029;Empresas;;A
2020;2912;6990;Empresas;;A
2020;2912;7001;Empresas;;A
2020;2912;7004;Empresas;;A
2020;2912;7014;Empresas;;A
2020;2912;7017;Empresas;;A
2020;2912;7023;Empresas;;A
2020;2912;7026;Empresas;;A
2020;2912;7028;Empresas;;A
2020;2912;7044;Empresas;;A
2020;2912;7032;Empresas;;A
2020;2912;7035;Empresas;;A
2020;2912;7038;Empresas;;A
2020;2912;7041;Empresas;;A
2020;2912;7043;Empresas;;A
2020;2912;7055;Empresas;;A
2020;2912;7048;Empresas;;A
2020;2912;7052;Empresas;;A
2020;2912;7054;Empresas;;A
2020;2912;7057;Empresas;46.0;A
2020;2912;7058;Empresas;46.0;A
2020;2912;7109;Empresas;;A
2020;2912;7067;Empresas;;A
2020;2912;7061;Empresas;;A
2020;2912;7064;Empresas;;A
2020;2912;7066;Empresas;;A
2020;2912;7076;Empresas;;A
2020;2912;7070;Empresas;;A
2020;2912;7073;Empresas;;A
2020;2912;7075;Empresas;;A
2020;2912;7086;Empresas;;A
2020;2912;7079;Empresas;;A
2020;2912;7083;Empresas;;A
2020;2912;7085;Empresas;;A
2020;2912;7099;Empresas;;A
2020;2912;7090;Empresas;;A
2020;2912;7096;Empresas;;A
2020;2912;7098;Empresas;;A
2020;2912;7108;Empresas;;A
2020;2912;7102;Empresas;;A
2020;2912;7105;Empresas;;A
2020;2912;7107;Empresas;;A
2020;2912;7605;Empresas;46.0;A
2020;2912;7158;Empresas;6.0;A
2020;2912;7114;Empresas;1.0;A
2020;2912;7118;Empresas;;A
2020;2912;7123;Empresas;;A
2020;2912;7128;Empresas;2.0;A
2020;2912;7133;Empresas;;A
2020;2912;7137;Empresas;;A
2020;2912;7142;Empresas;2.0;A
2020;2912;7151;Empresas;1.0;A
2020;2912;7155;Empresas;;A
2020;2912;7157;Empresas;;A
2020;2912;7170;Empresas;;A
2020;2912;7167;Empresas;;A
2020;2912;7169;Empresas;;A
2020;2912;7176;Empresas;;A
2020;2912;7173;Empresas;;A
2020;2912;7175;Empresas;;A
2020;2912;7197;Empresas;1.0;A
2020;2912;7179;Empresas;;A
2020;2912;7182;Empresas;;A
2020;2912;7185;Empresas;;A
2020;2912;7194;Empresas;1.0;A
2020;2912;7196;Empresas;;A
2020;2912;7214;Empresas;;A
2020;2912;7204;Empresas;;A
2020;2912;7207;Empresas;;A
2020;2912;7211;Empresas;;A
2020;2912;7213;Empresas;;A
2020;2912;7224;Empresas;;A
2020;2912;7218;Empresas;;A
2020;2912;7221;Empresas;;A
2020;2912;7223;Empresas;;A
2020;2912;7237;Empresas;1.0;A
2020;2912;7227;Empresas;1.0;A
2020;2912;7234;Empresas;;A
2020;2912;7236;Empresas;;A
2020;2912;7251;Empresas;;A
2020;2912;7241;Empresas;;A
2020;2912;7248;Empresas;;A
2020;2912;7250;Empresas;;A
2020;2912;7263;Empresas;3.0;A
2020;2912;7257;Empresas;2.0;A
2020;2912;7260;Empresas;1.0;A
2020;2912;7262;Empresas;;A
2020;2912;7272;Empresas;;A
2020;2912;7266;Empresas;;A
2020;2912;7269;Empresas;;A
2020;2912;7271;Empresas;;A
2020;2912;7303;Empresas;;A
2020;2912;7281;Empresas;;A
2020;2912;7284;Empresas;;A
2020;2912;7287;Empresas;;A
2020;2912;7291;Empresas;;A
2020;2912;7297;Empresas;;A
2020;2912;7300;Empresas;;A
2020;2912;7302;Empresas;;A
2020;2912;7312;Empresas;;A
2020;2912;7306;Empresas;;A
2020;2912;7309;Empresas;;A
2020;2912;7311;Empresas;;A
2020;2912;7325;Empresas;;A
2020;2912;7316;Empresas;;A
2020;2912;7322;Empresas;;A
2020;2912;7324;Empresas;;A
2020;2912;7368;Empresas;8.0;A
2020;2912;7332;Empresas;;A
2020;2912;7335;Empresas;;A
2020;2912;7339;Empresas;3.0;A
2020;2912;7346;Empresas;;A
2020;2912;7350;Empresas;;A
2020;2912;7358;Empresas;1.0;A
2020;2912;7361;Empresas;4.0;A
2020;2912;7365;Empresas;;A
2020;2912;7367;Empresas;;A
2020;2912;7397;Empresas;;A
2020;2912;7371;Empresas;;A
2020;2912;7374;Empresas;;A
2020;2912;7380;Empresas;;A
2020;2912;7388;Empresas;;A
2020;2912;7394;Empresas;;A
2020;2912;7396;Empresas;;A
2020;2912;7433;Empresas;12.0;A
2020;2912;7401;Empresas;12.0;A
2020;2912;7405;Empresas;;A
2020;2912;7408;Empresas;;A
2020;2912;7411;Empresas;;A
2020;2912;7414;Empresas;;A
2020;2912;7418;Empresas;;A
2020;2912;7423;Empresas;;A
2020;2912;7430;Empresas;;A
2020;2912;7432;Empresas;;A
2020;2912;7462;Empresas;;A
2020;2912;7437;Empresas;;A
2020;2912;7440;Empresas;;A
2020;2912;7443;Empresas;;A
2020;2912;7446;Empresas;;A
2020;2912;7450;Empresas;;A
2020;2912;7453;Empresas;;A
2020;2912;7456;Empresas;;A
2020;2912;7459;Empresas;;A
2020;2912;7461;Empresas;;A
2020;2912;7487;Empresas;;A
2020;2912;7466;Empresas;;A
2020;2912;7469;Empresas;;A
2020;2912;7474;Empresas;;A
2020;2912;7477;Empresas;;A
2020;2912;7481;Empresas;;A
2020;2912;7484;Empresas;;A
2020;2912;7486;Empresas;;A
2020;2912;7521;Empresas;1.0;A
2020;2912;7494;Empresas;;A
2020;2912;7502;Empresas;;A
2020;2912;7505;Empresas;;A
2020;2912;7509;Empresas;;A
