D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;2402;61614;838411;3690;Defunciones;1.0;A
2020;2402;61614;838411;3691;Defunciones;4.0;A
2020;2402;61614;57731;3689;Defunciones;342.0;A
2020;2402;61614;57731;3690;Defunciones;153.0;A
2020;2402;61614;57731;3691;Defunciones;495.0;A
2020;2402;61614;583;3689;Defunciones;358.0;A
2020;2402;61614;583;3690;Defunciones;161.0;A
2020;2402;61614;583;3691;Defunciones;519.0;A
2020;2402;61615;838410;3689;Defunciones;25.0;A
2020;2402;61615;838410;3690;Defunciones;15.0;A
2020;2402;61615;838410;3691;Defunciones;40.0;A
2020;2402;61615;838411;3689;Defunciones;1.0;A
2020;2402;61615;838411;3691;Defunciones;1.0;A
2020;2402;61615;57731;3689;Defunciones;445.0;A
2020;2402;61615;57731;3690;Defunciones;178.0;A
2020;2402;61615;57731;3691;Defunciones;623.0;A
2020;2402;61615;583;3689;Defunciones;471.0;A
2020;2402;61615;583;3690;Defunciones;193.0;A
2020;2402;61615;583;3691;Defunciones;664.0;A
2020;2402;61616;838410;3689;Defunciones;43.0;A
2020;2402;61616;838410;3690;Defunciones;11.0;A
2020;2402;61616;838410;3691;Defunciones;54.0;A
2020;2402;61616;838411;3689;Defunciones;1.0;A
2020;2402;61616;838411;3691;Defunciones;1.0;A
2020;2402;61616;57731;3689;Defunciones;510.0;A
2020;2402;61616;57731;3690;Defunciones;237.0;A
2020;2402;61616;57731;3691;Defunciones;747.0;A
2020;2402;61616;583;3689;Defunciones;554.0;A
2020;2402;61616;583;3690;Defunciones;248.0;A
2020;2402;61616;583;3691;Defunciones;802.0;A
2020;2402;61617;838410;3689;Defunciones;40.0;A
2020;2402;61617;838410;3690;Defunciones;23.0;A
2020;2402;61617;838410;3691;Defunciones;63.0;A
2020;2402;61617;838411;3689;Defunciones;1.0;A
2020;2402;61617;838411;3690;Defunciones;1.0;A
2020;2402;61617;838411;3691;Defunciones;2.0;A
2020;2402;61617;57731;3689;Defunciones;708.0;A
2020;2402;61617;57731;3690;Defunciones;349.0;A
2020;2402;61617;57731;3691;Defunciones;1057.0;A
2020;2402;61617;583;3689;Defunciones;749.0;A
2020;2402;61617;583;3690;Defunciones;373.0;A
2020;2402;61617;583;3691;Defunciones;1122.0;A
2020;2402;61618;838410;3689;Defunciones;70.0;A
