D_TEMPORAL_0;D_CIE10_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;57167;3023;3690;Defunciones;10.0;A
2020;57167;3142;3691;Defunciones;40.0;A
2020;57167;3142;3689;Defunciones;27.0;A
2020;57167;3142;3690;Defunciones;13.0;A
2020;57258;3143;3691;Defunciones;3147.0;A
2020;57258;3143;3689;Defunciones;1345.0;A
2020;57258;3143;3690;Defunciones;1802.0;A
2020;57258;2352;3691;Defunciones;484.0;A
2020;57258;2352;3689;Defunciones;233.0;A
2020;57258;2352;3690;Defunciones;251.0;A
2020;57258;2402;3691;Defunciones;544.0;A
2020;57258;2402;3689;Defunciones;231.0;A
2020;57258;2402;3690;Defunciones;313.0;A
2020;57258;2482;3691;Defunciones;245.0;A
2020;57258;2482;3689;Defunciones;109.0;A
2020;57258;2482;3690;Defunciones;136.0;A
2020;57258;2713;3691;Defunciones;364.0;A
2020;57258;2713;3689;Defunciones;143.0;A
2020;57258;2713;3690;Defunciones;221.0;A
2020;57258;2797;3691;Defunciones;269.0;A
2020;57258;2797;3689;Defunciones;106.0;A
2020;57258;2797;3690;Defunciones;163.0;A
2020;57258;2911;3691;Defunciones;483.0;A
2020;57258;2911;3689;Defunciones;208.0;A
2020;57258;2911;3690;Defunciones;275.0;A
2020;57258;3023;3691;Defunciones;575.0;A
2020;57258;3023;3689;Defunciones;256.0;A
2020;57258;3023;3690;Defunciones;319.0;A
2020;57258;3142;3691;Defunciones;183.0;A
2020;57258;3142;3689;Defunciones;59.0;A
2020;57258;3142;3690;Defunciones;124.0;A
2020;57627;3143;3691;Defunciones;2601.0;A
2020;57627;3143;3689;Defunciones;1767.0;A
2020;57627;3143;3690;Defunciones;834.0;A
2020;57627;2352;3691;Defunciones;271.0;A
2020;57627;2352;3689;Defunciones;181.0;A
2020;57627;2352;3690;Defunciones;90.0;A
2020;57627;2402;3691;Defunciones;344.0;A
2020;57627;2402;3689;Defunciones;242.0;A
2020;57627;2402;3690;Defunciones;102.0;A
2020;57627;2482;3691;Defunciones;291.0;A
2020;57627;2482;3689;Defunciones;185.0;A
2020;57627;2482;3690;Defunciones;106.0;A
2020;57627;2713;3691;Defunciones;290.0;A
2020;57627;2713;3689;Defunciones;189.0;A
2020;57627;2713;3690;Defunciones;101.0;A
2020;57627;2797;3691;Defunciones;176.0;A
2020;57627;2797;3689;Defunciones;122.0;A
2020;57627;2797;3690;Defunciones;54.0;A
2020;57627;2911;3691;Defunciones;234.0;A
2020;57627;2911;3689;Defunciones;157.0;A
2020;57627;2911;3690;Defunciones;77.0;A
2020;57627;3023;3691;Defunciones;499.0;A
2020;57627;3023;3689;Defunciones;345.0;A
2020;57627;3023;3690;Defunciones;154.0;A
2020;57627;3142;3691;Defunciones;496.0;A
2020;57627;3142;3689;Defunciones;346.0;A
2020;57627;3142;3690;Defunciones;150.0;A
2019;57628;3143;3691;Defunciones;70505.0;A
2019;57628;3143;3689;Defunciones;36434.0;A
2019;57628;3143;3690;Defunciones;34071.0;A
2019;57628;2352;3691;Defunciones;5270.0;A
2019;57628;2352;3689;Defunciones;2862.0;A
2019;57628;2352;3690;Defunciones;2408.0;A
2019;57628;2402;3691;Defunciones;10044.0;A
2019;57628;2402;3689;Defunciones;5324.0;A
2019;57628;2402;3690;Defunciones;4720.0;A
2019;57628;2482;3691;Defunciones;7749.0;A
2019;57628;2482;3689;Defunciones;3830.0;A
2019;57628;2482;3690;Defunciones;3919.0;A
2019;57628;2713;3691;Defunciones;7997.0;A
2019;57628;2713;3689;Defunciones;4075.0;A
2019;57628;2713;3690;Defunciones;3922.0;A
2019;57628;2797;3691;Defunciones;4354.0;A
2019;57628;2797;3689;Defunciones;2290.0;A
2019;57628;2797;3690;Defunciones;2064.0;A
2019;57628;2911;3691;Defunciones;6520.0;A
2019;57628;2911;3689;Defunciones;3310.0;A
2019;57628;2911;3690;Defunciones;3210.0;A
2019;57628;3023;3691;Defunciones;12759.0;A
2019;57628;3023;3689;Defunciones;6677.0;A
2019;57628;3023;3690;Defunciones;6082.0;A
2019;57628;3142;3691;Defunciones;15812.0;A
2019;57628;3142;3689;Defunciones;8066.0;A
2019;57628;3142;3690;Defunciones;7746.0;A
2019;56093;3143;3691;Defunciones;1130.0;A
2019;56093;3143;3689;Defunciones;586.0;A
2019;56093;3143;3690;Defunciones;544.0;A
2019;56093;2352;3691;Defunciones;90.0;A
2019;56093;2352;3689;Defunciones;42.0;A
2019;56093;2352;3690;Defunciones;48.0;A
2019;56093;2402;3691;Defunciones;200.0;A
2019;56093;2402;3689;Defunciones;120.0;A
2019;56093;2402;3690;Defunciones;80.0;A
2019;56093;2482;3691;Defunciones;114.0;A
2019;56093;2482;3689;Defunciones;58.0;A
2019;56093;2482;3690;Defunciones;56.0;A
2019;56093;2713;3691;Defunciones;125.0;A
2019;56093;2713;3689;Defunciones;63.0;A
2019;56093;2713;3690;Defunciones;62.0;A
2019;56093;2797;3691;Defunciones;60.0;A
2019;56093;2797;3689;Defunciones;37.0;A
2019;56093;2797;3690;Defunciones;23.0;A
2019;56093;2911;3691;Defunciones;101.0;A
2019;56093;2911;3689;Defunciones;51.0;A
