TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;9563;Y20-24;M;NACI;2.0;A
2020;9563;Y20-24;F;NACI;1.0;A
2020;9563;Y25-29;_T;NACI;5.0;A
2020;9563;Y25-29;M;NACI;5.0;A
2020;9563;Y30-34;_T;NACI;5.0;A
2020;9563;Y30-34;M;NACI;5.0;A
2020;9563;Y35-39;_T;NACI;2.0;A
2020;9563;Y35-39;F;NACI;2.0;A
2020;9563;Y30-44;_T;NACI;2.0;A
2020;9563;Y30-44;F;NACI;2.0;A
2020;2260;TOTAL;_T;NACI;1.0;A
2020;2260;TOTAL;M;NACI;1.0;A
2020;2260;Y35-39;_T;NACI;1.0;A
2020;2260;Y35-39;M;NACI;1.0;A
2020;2262;TOTAL;_T;NACI;1.0;A
2020;2262;TOTAL;M;NACI;1.0;A
2020;2262;Y30-34;_T;NACI;1.0;A
2020;2262;Y30-34;M;NACI;1.0;A
2020;2263;TOTAL;_T;NACI;2.0;A
2020;2263;TOTAL;M;NACI;2.0;A
2020;2263;Y25-29;_T;NACI;1.0;A
2020;2263;Y25-29;M;NACI;1.0;A
2020;2263;Y30-34;_T;NACI;1.0;A
2020;2263;Y30-34;M;NACI;1.0;A
2020;2264;TOTAL;_T;NACI;43.0;A
2020;2264;TOTAL;M;NACI;24.0;A
2020;2264;TOTAL;F;NACI;19.0;A
2020;2264;Y15-29;_T;NACI;2.0;A
2020;2264;Y15-29;M;NACI;1.0;A
2020;2264;Y15-29;F;NACI;1.0;A
2020;2264;Y20-24;_T;NACI;1.0;A
2020;2264;Y20-24;M;NACI;1.0;A
2020;2264;Y25-29;_T;NACI;10.0;A
2020;2264;Y25-29;M;NACI;5.0;A
2020;2264;Y25-29;F;NACI;5.0;A
2020;2264;Y30-34;_T;NACI;15.0;A
2020;2264;Y30-34;M;NACI;7.0;A
2020;2264;Y30-34;F;NACI;8.0;A
2020;2264;Y35-39;_T;NACI;10.0;A
2020;2264;Y35-39;M;NACI;7.0;A
2020;2264;Y35-39;F;NACI;3.0;A
2020;2264;Y30-44;_T;NACI;5.0;A
2020;2264;Y30-44;M;NACI;3.0;A
2020;2264;Y30-44;F;NACI;2.0;A
2020;2268;TOTAL;_T;NACI;1.0;A
2020;2268;TOTAL;M;NACI;1.0;A
2020;2268;Y25-29;_T;NACI;1.0;A
2020;2268;Y25-29;M;NACI;1.0;A
2020;2269;TOTAL;_T;NACI;102.0;A
2020;2269;TOTAL;M;NACI;52.0;A
2020;2269;TOTAL;F;NACI;50.0;A
2020;2269;Y15-29;_T;NACI;1.0;A
2020;2269;Y15-29;M;NACI;1.0;A
2020;2269;Y20-24;_T;NACI;13.0;A
2020;2269;Y20-24;M;NACI;8.0;A
2020;2269;Y20-24;F;NACI;5.0;A
2020;2269;Y25-29;_T;NACI;21.0;A
2020;2269;Y25-29;M;NACI;12.0;A
2020;2269;Y25-29;F;NACI;9.0;A
2020;2269;Y30-34;_T;NACI;38.0;A
2020;2269;Y30-34;M;NACI;16.0;A
2020;2269;Y30-34;F;NACI;22.0;A
2020;2269;Y35-39;_T;NACI;18.0;A
2020;2269;Y35-39;M;NACI;10.0;A
2020;2269;Y35-39;F;NACI;8.0;A
2020;2269;Y30-44;_T;NACI;11.0;A
2020;2269;Y30-44;M;NACI;5.0;A
2020;2269;Y30-44;F;NACI;6.0;A
2020;2270;TOTAL;_T;NACI;4.0;A
2020;2270;TOTAL;M;NACI;2.0;A
2020;2270;TOTAL;F;NACI;2.0;A
2020;2270;Y25-29;_T;NACI;2.0;A
2020;2270;Y25-29;M;NACI;1.0;A
2020;2270;Y25-29;F;NACI;1.0;A
2020;2270;Y30-34;_T;NACI;1.0;A
2020;2270;Y30-34;M;NACI;1.0;A
2020;2270;Y30-44;_T;NACI;1.0;A
2020;2270;Y30-44;F;NACI;1.0;A
2020;2271;TOTAL;_T;NACI;9.0;A
2020;2271;TOTAL;M;NACI;5.0;A
2020;2271;TOTAL;F;NACI;4.0;A
2020;2271;Y20-24;_T;NACI;4.0;A
2020;2271;Y20-24;M;NACI;1.0;A
2020;2271;Y20-24;F;NACI;3.0;A
2020;2271;Y25-29;_T;NACI;2.0;A
2020;2271;Y25-29;M;NACI;2.0;A
2020;2271;Y30-34;_T;NACI;2.0;A
2020;2271;Y30-34;M;NACI;1.0;A
2020;2271;Y30-34;F;NACI;1.0;A
2020;2271;Y35-39;_T;NACI;1.0;A
2020;2271;Y35-39;M;NACI;1.0;A
2020;2272;TOTAL;_T;NACI;64.0;A
2020;2272;TOTAL;M;NACI;36.0;A
2020;2272;TOTAL;F;NACI;28.0;A
2020;2272;Y20-24;_T;NACI;5.0;A
2020;2272;Y20-24;M;NACI;3.0;A
2020;2272;Y20-24;F;NACI;2.0;A
2020;2272;Y25-29;_T;NACI;16.0;A
2020;2272;Y25-29;M;NACI;10.0;A
2020;2272;Y25-29;F;NACI;6.0;A
2020;2272;Y30-34;_T;NACI;23.0;A
2020;2272;Y30-34;M;NACI;12.0;A
2020;2272;Y30-34;F;NACI;11.0;A
2020;2272;Y35-39;_T;NACI;14.0;A
2020;2272;Y35-39;M;NACI;9.0;A
2020;2272;Y35-39;F;NACI;5.0;A
2020;2272;Y30-44;_T;NACI;5.0;A
2020;2272;Y30-44;M;NACI;2.0;A
2020;2272;Y30-44;F;NACI;3.0;A
2020;2272;Y45-64;_T;NACI;1.0;A
2020;2272;Y45-64;F;NACI;1.0;A
2020;2273;TOTAL;_T;NACI;1.0;A
2020;2273;TOTAL;F;NACI;1.0;A
2020;2273;Y35-39;_T;NACI;1.0;A
2020;2273;Y35-39;F;NACI;1.0;A
2020;2277;TOTAL;_T;NACI;2.0;A
2020;2277;TOTAL;M;NACI;1.0;A
2020;2277;TOTAL;F;NACI;1.0;A
2020;2277;Y25-29;_T;NACI;1.0;A
2020;2277;Y25-29;F;NACI;1.0;A
2020;2277;Y35-39;_T;NACI;1.0;A
2020;2277;Y35-39;M;NACI;1.0;A
2020;2278;TOTAL;_T;NACI;9.0;A
2020;2278;TOTAL;M;NACI;5.0;A
2020;2278;TOTAL;F;NACI;4.0;A
2020;2278;Y25-29;_T;NACI;1.0;A
2020;2278;Y25-29;F;NACI;1.0;A
2020;2278;Y30-34;_T;NACI;6.0;A
2020;2278;Y30-34;M;NACI;3.0;A
2020;2278;Y30-34;F;NACI;3.0;A
2020;2278;Y35-39;_T;NACI;2.0;A
2020;2278;Y35-39;M;NACI;2.0;A
2020;2276;TOTAL;_T;NACI;155.0;A
2020;2276;TOTAL;M;NACI;80.0;A
2020;2276;TOTAL;F;NACI;75.0;A
2020;2276;Y15-29;_T;NACI;9.0;A
2020;2276;Y15-29;M;NACI;6.0;A
2020;2276;Y15-29;F;NACI;3.0;A
2020;2276;Y20-24;_T;NACI;19.0;A
2020;2276;Y20-24;M;NACI;9.0;A
2020;2276;Y20-24;F;NACI;10.0;A
2020;2276;Y25-29;_T;NACI;36.0;A
2020;2276;Y25-29;M;NACI;11.0;A
2020;2276;Y25-29;F;NACI;25.0;A
2020;2276;Y30-34;_T;NACI;50.0;A
2020;2276;Y30-34;M;NACI;29.0;A
2020;2276;Y30-34;F;NACI;21.0;A
2020;2276;Y35-39;_T;NACI;35.0;A
2020;2276;Y35-39;M;NACI;23.0;A
2020;2276;Y35-39;F;NACI;12.0;A
2020;2276;Y30-44;_T;NACI;6.0;A
2020;2276;Y30-44;M;NACI;2.0;A
2020;2276;Y30-44;F;NACI;4.0;A
2020;2279;TOTAL;_T;NACI;35.0;A
2020;2279;TOTAL;M;NACI;15.0;A
2020;2279;TOTAL;F;NACI;20.0;A
2020;2279;Y20-24;_T;NACI;3.0;A
2020;2279;Y20-24;M;NACI;2.0;A
2020;2279;Y20-24;F;NACI;1.0;A
2020;2279;Y25-29;_T;NACI;5.0;A
2020;2279;Y25-29;M;NACI;3.0;A
2020;2279;Y25-29;F;NACI;2.0;A
2020;2279;Y30-34;_T;NACI;14.0;A
2020;2279;Y30-34;M;NACI;5.0;A
2020;2279;Y30-34;F;NACI;9.0;A
2020;2279;Y35-39;_T;NACI;8.0;A
2020;2279;Y35-39;M;NACI;4.0;A
2020;2279;Y35-39;F;NACI;4.0;A
2020;2279;Y30-44;_T;NACI;5.0;A
2020;2279;Y30-44;M;NACI;1.0;A
2020;2279;Y30-44;F;NACI;4.0;A
2020;2347;TOTAL;_T;NACI;1090.0;A
2020;2347;TOTAL;M;NACI;575.0;A
2020;2347;TOTAL;F;NACI;515.0;A
2020;2347;Y_LT15;_T;NACI;1.0;A
2020;2347;Y_LT15;M;NACI;1.0;A
2020;2347;Y15-29;_T;NACI;36.0;A
2020;2347;Y15-29;M;NACI;17.0;A
2020;2347;Y15-29;F;NACI;19.0;A
2020;2347;Y20-24;_T;NACI;139.0;A
2020;2347;Y20-24;M;NACI;81.0;A
2020;2347;Y20-24;F;NACI;58.0;A
2020;2347;Y25-29;_T;NACI;270.0;A
2020;2347;Y25-29;M;NACI;132.0;A
2020;2347;Y25-29;F;NACI;138.0;A
2020;2347;Y30-34;_T;NACI;334.0;A
2020;2347;Y30-34;M;NACI;173.0;A
2020;2347;Y30-34;F;NACI;161.0;A
2020;2347;Y35-39;_T;NACI;222.0;A
2020;2347;Y35-39;M;NACI;124.0;A
2020;2347;Y35-39;F;NACI;98.0;A
