TIME_PERIOD;REF_AREA;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2010;2253;M;Y95-99;DEATHS;14.0;A
2010;2253;M;Y_GE100;DEATHS;4.0;A
2010;2253;F;TOTAL;DEATHS;657.0;A
2010;2253;F;Y_LT1;DEATHS;5.0;A
2010;2253;F;Y5-9;DEATHS;1.0;A
2010;2253;F;Y25-29;DEATHS;3.0;A
2010;2253;F;Y30-34;DEATHS;2.0;A
2010;2253;F;Y35-39;DEATHS;3.0;A
2010;2253;F;Y40-44;DEATHS;7.0;A
2010;2253;F;Y45-49;DEATHS;6.0;A
2010;2253;F;Y50-54;DEATHS;17.0;A
2010;2253;F;Y55-59;DEATHS;12.0;A
2010;2253;F;Y60-64;DEATHS;22.0;A
2010;2253;F;Y65-69;DEATHS;27.0;A
2010;2253;F;Y70-74;DEATHS;43.0;A
2010;2253;F;Y75-79;DEATHS;84.0;A
2010;2253;F;Y80-84;DEATHS;121.0;A
2010;2253;F;Y85-89;DEATHS;180.0;A
2010;2253;F;Y90-94;DEATHS;86.0;A
2010;2253;F;Y95-99;DEATHS;33.0;A
2010;2253;F;Y_GE100;DEATHS;5.0;A
2010;2254;_T;TOTAL;DEATHS;4.0;A
2010;2254;_T;Y65-69;DEATHS;2.0;A
2010;2254;_T;Y75-79;DEATHS;1.0;A
2010;2254;_T;Y85-89;DEATHS;1.0;A
2010;2254;M;TOTAL;DEATHS;2.0;A
2010;2254;M;Y65-69;DEATHS;2.0;A
2010;2254;F;TOTAL;DEATHS;2.0;A
2010;2254;F;Y75-79;DEATHS;1.0;A
2010;2254;F;Y85-89;DEATHS;1.0;A
2010;2255;_T;TOTAL;DEATHS;3.0;A
2010;2255;_T;Y85-89;DEATHS;2.0;A
2010;2255;_T;Y95-99;DEATHS;1.0;A
2010;2255;M;TOTAL;DEATHS;2.0;A
2010;2255;M;Y85-89;DEATHS;1.0;A
2010;2255;M;Y95-99;DEATHS;1.0;A
2010;2255;F;TOTAL;DEATHS;1.0;A
2010;2255;F;Y85-89;DEATHS;1.0;A
2010;2256;_T;TOTAL;DEATHS;25.0;A
2010;2256;_T;Y35-39;DEATHS;1.0;A
2010;2256;_T;Y50-54;DEATHS;1.0;A
2010;2256;_T;Y55-59;DEATHS;1.0;A
2010;2256;_T;Y60-64;DEATHS;2.0;A
2010;2256;_T;Y65-69;DEATHS;1.0;A
2010;2256;_T;Y70-74;DEATHS;3.0;A
2010;2256;_T;Y75-79;DEATHS;3.0;A
2010;2256;_T;Y80-84;DEATHS;8.0;A
2010;2256;_T;Y85-89;DEATHS;4.0;A
2010;2256;_T;Y90-94;DEATHS;1.0;A
2010;2256;M;TOTAL;DEATHS;17.0;A
2010;2256;M;Y35-39;DEATHS;1.0;A
2010;2256;M;Y55-59;DEATHS;1.0;A
2010;2256;M;Y60-64;DEATHS;2.0;A
2010;2256;M;Y70-74;DEATHS;2.0;A
2010;2256;M;Y75-79;DEATHS;2.0;A
2010;2256;M;Y80-84;DEATHS;5.0;A
2010;2256;M;Y85-89;DEATHS;3.0;A
2010;2256;M;Y90-94;DEATHS;1.0;A
2010;2256;F;TOTAL;DEATHS;8.0;A
2010;2256;F;Y50-54;DEATHS;1.0;A
2010;2256;F;Y65-69;DEATHS;1.0;A
2010;2256;F;Y70-74;DEATHS;1.0;A
2010;2256;F;Y75-79;DEATHS;1.0;A
2010;2256;F;Y80-84;DEATHS;3.0;A
2010;2256;F;Y85-89;DEATHS;1.0;A
2010;2257;_T;TOTAL;DEATHS;36.0;A
2010;2257;_T;Y35-39;DEATHS;1.0;A
2010;2257;_T;Y50-54;DEATHS;2.0;A
2010;2257;_T;Y60-64;DEATHS;6.0;A
2010;2257;_T;Y65-69;DEATHS;5.0;A
2010;2257;_T;Y70-74;DEATHS;5.0;A
2010;2257;_T;Y75-79;DEATHS;3.0;A
2010;2257;_T;Y80-84;DEATHS;5.0;A
2010;2257;_T;Y85-89;DEATHS;3.0;A
2010;2257;_T;Y90-94;DEATHS;6.0;A
2010;2257;M;TOTAL;DEATHS;22.0;A
2010;2257;M;Y50-54;DEATHS;2.0;A
2010;2257;M;Y60-64;DEATHS;6.0;A
2010;2257;M;Y65-69;DEATHS;4.0;A
2010;2257;M;Y70-74;DEATHS;1.0;A
2010;2257;M;Y75-79;DEATHS;2.0;A
2010;2257;M;Y80-84;DEATHS;4.0;A
