TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3368;2014;EUR_HAB;2.4495544559520117;;A
3368;2015;EUR_HAB;2.649651796441198;;A
3368;2016;EUR_HAB;2.6873716542955064;;A
3368;2017;EUR_HAB;2.907297411964362;;A
3368;2018;EUR_HAB;3.066170748945223;;A
3368;2019;EUR_HAB;3.1773640547717723;;A
3368;2020;EUR_HAB;3.644150574799008;;A
3357;2004;EUR_HAB;0.0741532354801422;;A
3357;2005;EUR_HAB;0.004294610264118532;;A
3357;2006;EUR_HAB;0.11841075846319751;;A
3357;2007;EUR_HAB;0.06448928645724984;;A
3357;2008;EUR_HAB;0.10424544692680335;;A
3357;2009;EUR_HAB;0.07225723575930312;;A
3357;2010;EUR_HAB;1.1585293769949168;;A
3357;2011;EUR_HAB;1.2321198236528503;;A
3357;2012;EUR_HAB;0.9350893697083725;;A
3357;2013;EUR_HAB;0.5409568518144976;;A
3357;2014;EUR_HAB;0.456719144591908;;A
3357;2015;EUR_HAB;0.2581664910432034;;A
3357;2016;EUR_HAB;0.23624878023727594;;A
3357;2017;EUR_HAB;0.3718717544976381;;A
3357;2018;EUR_HAB;0.23488444670751138;;A
3357;2019;EUR_HAB;0.3266291230893001;;A
3357;2020;EUR_HAB;0.4389231329921247;;A
3354;2005;EUR_HAB;5.454309328675225;;A
3354;2006;EUR_HAB;4.652693724885492;;A
3354;2007;EUR_HAB;3.6230904017390992;E;A
3354;2008;EUR_HAB;4.2123131759809285;;A
3354;2009;EUR_HAB;3.6777698512868353;;A
3354;2010;EUR_HAB;1.875996248007504;;A
3354;2011;EUR_HAB;0.9166914868332777;;A
3354;2012;EUR_HAB;1.9266437911527403;;A
3354;2013;EUR_HAB;5.460079166447659;;A
3354;2014;EUR_HAB;1.6186133439821941;;A
3354;2015;EUR_HAB;1.7131919744225101;;A
3354;2016;EUR_HAB;3.2573807675142294;;A
3354;2017;EUR_HAB;3.647130099499692;;A
3354;2018;EUR_HAB;3.6567726043316187;;A
3354;2019;EUR_HAB;3.9660674189500917;;A
3354;2020;EUR_HAB;5.293559586262775;;A
3358;2004;EUR_HAB;0.37640841559477517;;A
3358;2005;EUR_HAB;1.2332838038632987;;A
3358;2006;EUR_HAB;0.7156076495990129;;A
3358;2007;EUR_HAB;0.24339873137630919;;A
3358;2008;EUR_HAB;1.143192144218086;;A
3358;2009;EUR_HAB;1.2195417626378955;;A
3358;2010;EUR_HAB;0.9047699471614351;;A
3358;2011;EUR_HAB;0.9489033559949072;;A
3358;2012;EUR_HAB;0.9546255296862353;;A
3358;2013;EUR_HAB;1.2392329898842913;;A
3358;2014;EUR_HAB;1.076158940397351;;A
3358;2015;EUR_HAB;1.5920062871898506;;A
3358;2016;EUR_HAB;0.6166743476638795;;A
3358;2017;EUR_HAB;0.5699039487726788;;A
3358;2018;EUR_HAB;2.2999402345279556;;A
3358;2019;EUR_HAB;2.955977334865475;;A
3358;2020;EUR_HAB;2.3377529658060014;;A
3359;2004;EUR_HAB;12.807333251443312;;A
3359;2005;EUR_HAB;13.234007352941177;;A
3359;2006;EUR_HAB;12.747767037807415;;A
3359;2007;EUR_HAB;12.331766573068002;;A
3359;2008;EUR_HAB;14.426425878633102;;A
3359;2009;EUR_HAB;9.97816091954023;;A
3359;2010;EUR_HAB;10.562985254288293;;A
3359;2011;EUR_HAB;9.755406457796681;;A
3359;2012;EUR_HAB;8.843151298119965;;A
3359;2013;EUR_HAB;8.894667936205666;;A
3359;2014;EUR_HAB;9.917699377408836;;A
3359;2015;EUR_HAB;5.896340023612751;;A
3359;2016;EUR_HAB;6.1561949500880795;;A
3359;2017;EUR_HAB;6.0852839880917635;;A
3359;2018;EUR_HAB;7.194811977715878;;A
3359;2019;EUR_HAB;8.161487460363217;;A
3359;2020;EUR_HAB;12.55759417464595;;A
3346;2004;EUR_HAB;4.2318690142776;;A
3346;2005;EUR_HAB;3.7124572051042635;;A
3346;2006;EUR_HAB;3.8737534697234497;;A
3346;2007;EUR_HAB;4.490313060942546;;A
3346;2008;EUR_HAB;4.809326158379338;;A
3346;2009;EUR_HAB;4.525216148693038;;A
3346;2010;EUR_HAB;4.708966675317872;;A
3346;2011;EUR_HAB;4.902050776476927;;A
3346;2012;EUR_HAB;4.575431001233043;;A
3346;2013;EUR_HAB;5.309871266911479;;A
3346;2014;EUR_HAB;4.030112606259649;;A
3346;2015;EUR_HAB;3.743429530263561;;A
3346;2016;EUR_HAB;3.6762812921562373;;A
3346;2017;EUR_HAB;4.50400053666429;;A
3346;2018;EUR_HAB;4.35440855153654;;A
3346;2019;EUR_HAB;4.061777679653602;;A
3346;2020;EUR_HAB;4.406040249639727;;A
3360;2004;EUR_HAB;0.07289156626506024;;A
3360;2005;EUR_HAB;0.24818532009119257;;A
3360;2006;EUR_HAB;0.15616804783384033;;A
3360;2007;EUR_HAB;0.49923916465526286;;A
3360;2008;EUR_HAB;0.5609980060866827;;A
3360;2012;EUR_HAB;1.727098147090881;;A
3360;2013;EUR_HAB;1.8166848475403876;;A
3360;2014;EUR_HAB;1.4320496829851366;;A
3360;2015;EUR_HAB;1.5351189702249382;;A
