TERRITORIO;TEMPORAL;CNAE_O9_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ
ES61;2017;273150;A;CON_INTER_PREC_ADQ;1618609.0;A
ES61;2017;273217;A;CON_INTER_PREC_ADQ;1618609.0;A
ES61;2017;273151;A;CON_INTER_PREC_ADQ;699928.0;A
ES61;2017;273218;A;CON_INTER_PREC_ADQ;699928.0;A
ES61;2017;273254;A;CON_INTER_PREC_ADQ;3694649.0;A
ES61;2017;273152;A;CON_INTER_PREC_ADQ;3694649.0;A
ES61;2017;273219;A;CON_INTER_PREC_ADQ;1805102.0;A
ES61;2017;273220;A;CON_INTER_PREC_ADQ;1111670.0;A
ES61;2017;273221;A;CON_INTER_PREC_ADQ;777877.0;A
ES61;2017;273255;A;CON_INTER_PREC_ADQ;3576846.0;A
ES61;2017;273153;A;CON_INTER_PREC_ADQ;3576846.0;A
ES61;2017;273222;A;CON_INTER_PREC_ADQ;3576846.0;A
ES61;2017;273256;A;CON_INTER_PREC_ADQ;7802131.0;A
ES61;2017;273154;A;CON_INTER_PREC_ADQ;3317092.0;A
ES61;2017;273223;A;CON_INTER_PREC_ADQ;1648938.0;A
ES61;2017;273224;A;CON_INTER_PREC_ADQ;1668154.0;A
ES61;2017;273155;A;CON_INTER_PREC_ADQ;265888.0;A
ES61;2017;273225;A;CON_INTER_PREC_ADQ;265888.0;A
ES61;2017;273156;A;CON_INTER_PREC_ADQ;823732.0;A
ES61;2017;273226;A;CON_INTER_PREC_ADQ;366496.0;A
ES61;2017;273227;A;CON_INTER_PREC_ADQ;324821.0;A
ES61;2017;273228;A;CON_INTER_PREC_ADQ;132415.0;A
ES61;2017;273157;A;CON_INTER_PREC_ADQ;3395419.0;A
ES61;2017;273229;A;CON_INTER_PREC_ADQ;560327.0;A
ES61;2017;273230;A;CON_INTER_PREC_ADQ;67124.0;A
ES61;2017;273231;A;CON_INTER_PREC_ADQ;1014206.0;A
ES61;2017;273232;A;CON_INTER_PREC_ADQ;170875.0;A
ES61;2017;273233;A;CON_INTER_PREC_ADQ;786245.0;A
ES61;2017;273234;A;CON_INTER_PREC_ADQ;796642.0;A
ES61;2017;273257;A;CON_INTER_PREC_ADQ;11466084;A
ES61;2017;273158;A;CON_INTER_PREC_ADQ;3702202.0;A
ES61;2017;273235;A;CON_INTER_PREC_ADQ;3702202.0;A
ES61;2017;273159;A;CON_INTER_PREC_ADQ;1683332.0;A
ES61;2017;273236;A;CON_INTER_PREC_ADQ;1142085.0;A
ES61;2017;273237;A;CON_INTER_PREC_ADQ;541247.0;A
ES61;2017;273160;A;CON_INTER_PREC_ADQ;4816138.0;A
ES61;2017;273238;A;CON_INTER_PREC_ADQ;2302061.0;A
ES61;2017;273239;A;CON_INTER_PREC_ADQ;2514077.0;A
ES61;2017;273161;A;CON_INTER_PREC_ADQ;1264412.0;A
ES61;2017;273240;A;CON_INTER_PREC_ADQ;332142.0;A
ES61;2017;273241;A;CON_INTER_PREC_ADQ;932270.0;A
ES61;2017;273259;A;CON_INTER_PREC_ADQ;4045363.0;A
ES61;2017;273162;A;CON_INTER_PREC_ADQ;2350916.0;A
ES61;2017;273242;A;CON_INTER_PREC_ADQ;1227264.0;A
ES61;2017;273243;A;CON_INTER_PREC_ADQ;1123652.0;A
ES61;2017;273163;A;CON_INTER_PREC_ADQ;1694447.0;A
ES61;2017;273244;A;CON_INTER_PREC_ADQ;659009.0;A
ES61;2017;273245;A;CON_INTER_PREC_ADQ;220700.0;A
ES61;2017;273246;A;CON_INTER_PREC_ADQ;814738.0;A
