D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2346;3689;212544;Número de pensionistas;65.0;A
2019;2346;3690;212544;Número de pensionistas;37.0;A
2019;2334;3691;212544;Número de pensionistas;298.0;A
2019;2334;3689;212544;Número de pensionistas;204.0;A
2019;2334;3690;212544;Número de pensionistas;94.0;A
2019;2335;3691;212544;Número de pensionistas;40.0;A
2019;2335;3689;212544;Número de pensionistas;28.0;A
2019;2335;3690;212544;Número de pensionistas;12.0;A
2019;2336;3691;212544;Número de pensionistas;128.0;A
2019;2336;3689;212544;Número de pensionistas;87.0;A
2019;2336;3690;212544;Número de pensionistas;41.0;A
2019;2337;3691;212544;Número de pensionistas;48.0;A
2019;2337;3689;212544;Número de pensionistas;32.0;A
2019;2337;3690;212544;Número de pensionistas;16.0;A
2019;2338;3691;212544;Número de pensionistas;64.0;A
2019;2338;3689;212544;Número de pensionistas;38.0;A
2019;2338;3690;212544;Número de pensionistas;26.0;A
2019;2339;3691;212544;Número de pensionistas;260.0;A
2019;2339;3689;212544;Número de pensionistas;180.0;A
2019;2339;3690;212544;Número de pensionistas;80.0;A
2019;2340;3691;212544;Número de pensionistas;803.0;A
2019;2340;3689;212544;Número de pensionistas;550.0;A
2019;2340;3690;212544;Número de pensionistas;253.0;A
2019;2341;3691;212544;Número de pensionistas;845.0;A
2019;2341;3689;212544;Número de pensionistas;583.0;A
2019;2341;3690;212544;Número de pensionistas;262.0;A
2019;2342;3691;212544;Número de pensionistas;309.0;A
2019;2342;3689;212544;Número de pensionistas;246.0;A
2019;2342;3690;212544;Número de pensionistas;63.0;A
2019;2343;3691;212544;Número de pensionistas;1340.0;A
2019;2343;3689;212544;Número de pensionistas;938.0;A
2019;2343;3690;212544;Número de pensionistas;402.0;A
2019;2344;3691;212544;Número de pensionistas;247.0;A
2019;2344;3689;212544;Número de pensionistas;162.0;A
2019;2344;3690;212544;Número de pensionistas;85.0;A
2019;2349;3691;212544;Número de pensionistas;se;A
2019;2349;3689;212544;Número de pensionistas;se;A
2019;2349;3690;212544;Número de pensionistas;se;A
2019;2402;3691;212544;Número de pensionistas;103710.0;A
2019;2402;3689;212544;Número de pensionistas;81265.0;A
2019;2402;3690;212544;Número de pensionistas;22445.0;A
2019;2353;3691;212544;Número de pensionistas;431.0;A
2019;2353;3689;212544;Número de pensionistas;368.0;A
2019;2353;3690;212544;Número de pensionistas;63.0;A
2019;2354;3691;212544;Número de pensionistas;628.0;A
2019;2354;3689;212544;Número de pensionistas;371.0;A
2019;2354;3690;212544;Número de pensionistas;257.0;A
