D_TEMPORAL_0;D_TERRITORIO_0;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ
2019;2365;275092;Número de pensiones;1559.0;A
2019;2366;5691;Número de pensiones;107.0;A
2019;2366;5692;Número de pensiones;210.0;A
2019;2366;5693;Número de pensiones;125.0;A
2019;2366;275092;Número de pensiones;24.0;A
2019;2368;5691;Número de pensiones;2560.0;A
2019;2368;5692;Número de pensiones;5852.0;A
2019;2368;5693;Número de pensiones;2827.0;A
2019;2368;275092;Número de pensiones;784.0;A
2019;2369;5691;Número de pensiones;674.0;A
2019;2369;5692;Número de pensiones;1653.0;A
2019;2369;5693;Número de pensiones;788.0;A
2019;2369;275092;Número de pensiones;206.0;A
2019;2367;5691;Número de pensiones;546.0;A
2019;2367;5692;Número de pensiones;1743.0;A
2019;2367;5693;Número de pensiones;941.0;A
2019;2367;275092;Número de pensiones;218.0;A
2019;2370;5691;Número de pensiones;176.0;A
2019;2370;5692;Número de pensiones;647.0;A
2019;2370;5693;Número de pensiones;239.0;A
2019;2370;275092;Número de pensiones;60.0;A
2019;2371;5691;Número de pensiones;77.0;A
2019;2371;5692;Número de pensiones;321.0;A
2019;2371;5693;Número de pensiones;121.0;A
2019;2371;275092;Número de pensiones;16.0;A
2019;2372;5691;Número de pensiones;72.0;A
2019;2372;5692;Número de pensiones;269.0;A
2019;2372;5693;Número de pensiones;127.0;A
2019;2372;275092;Número de pensiones;20.0;A
2019;2373;5691;Número de pensiones;6521.0;A
2019;2373;5692;Número de pensiones;19793.0;A
2019;2373;5693;Número de pensiones;9435.0;A
2019;2373;275092;Número de pensiones;2287.0;A
2019;2374;5691;Número de pensiones;250.0;A
2019;2374;5692;Número de pensiones;867.0;A
2019;2374;5693;Número de pensiones;438.0;A
2019;2374;275092;Número de pensiones;111.0;A
2019;2375;5691;Número de pensiones;1740.0;A
2019;2375;5692;Número de pensiones;5371.0;A
2019;2375;5693;Número de pensiones;2875.0;A
2019;2375;275092;Número de pensiones;673.0;A
2019;2376;5691;Número de pensiones;398.0;A
2019;2376;5692;Número de pensiones;1043.0;A
2019;2376;5693;Número de pensiones;499.0;A
2019;2376;275092;Número de pensiones;124.0;A
2019;2377;5691;Número de pensiones;339.0;A
2019;2377;5692;Número de pensiones;1331.0;A
2019;2377;5693;Número de pensiones;583.0;A
2019;2377;275092;Número de pensiones;80.0;A
2019;2378;5691;Número de pensiones;269.0;A
2019;2378;5692;Número de pensiones;510.0;A
2019;2378;5693;Número de pensiones;229.0;A
2019;2378;275092;Número de pensiones;61.0;A
2019;2379;5691;Número de pensiones;207.0;A
2019;2379;5692;Número de pensiones;748.0;A
2019;2379;5693;Número de pensiones;345.0;A
2019;2379;275092;Número de pensiones;74.0;A
2019;2380;5691;Número de pensiones;2317.0;A
2019;2380;5692;Número de pensiones;7484.0;A
2019;2380;5693;Número de pensiones;3530.0;A
2019;2380;275092;Número de pensiones;938.0;A
2019;2381;5691;Número de pensiones;1523.0;A
2019;2381;5692;Número de pensiones;3344.0;A
2019;2381;5693;Número de pensiones;1706.0;A
2019;2381;275092;Número de pensiones;453.0;A
2019;2382;5691;Número de pensiones;618.0;A
2019;2382;5692;Número de pensiones;836.0;A
2019;2382;5693;Número de pensiones;354.0;A
2019;2382;275092;Número de pensiones;100.0;A
2019;2383;5691;Número de pensiones;669.0;A
2019;2383;5692;Número de pensiones;2361.0;A
2019;2383;5693;Número de pensiones;1037.0;A
2019;2383;275092;Número de pensiones;231.0;A
2019;2384;5691;Número de pensiones;2731.0;A
2019;2384;5692;Número de pensiones;7071.0;A
2019;2384;5693;Número de pensiones;3579.0;A
2019;2384;275092;Número de pensiones;951.0;A
2019;2398;5691;Número de pensiones;188.0;A
2019;2398;5692;Número de pensiones;534.0;A
2019;2398;5693;Número de pensiones;257.0;A
2019;2398;275092;Número de pensiones;60.0;A
2019;2386;5691;Número de pensiones;794.0;A
2019;2386;5692;Número de pensiones;2320.0;A
2019;2386;5693;Número de pensiones;1187.0;A
2019;2386;275092;Número de pensiones;256.0;A
2019;2385;5691;Número de pensiones;2538.0;A
2019;2385;5692;Número de pensiones;6117.0;A
2019;2385;5693;Número de pensiones;2869.0;A
2019;2385;275092;Número de pensiones;741.0;A
2019;2387;5691;Número de pensiones;136.0;A
2019;2387;5692;Número de pensiones;489.0;A
2019;2387;5693;Número de pensiones;173.0;A
2019;2387;275092;Número de pensiones;24.0;A
2019;2388;5691;Número de pensiones;524.0;A
2019;2388;5692;Número de pensiones;1592.0;A
2019;2388;5693;Número de pensiones;835.0;A
2019;2388;275092;Número de pensiones;148.0;A
2019;2389;5691;Número de pensiones;24.0;A
2019;2389;5692;Número de pensiones;174.0;A
2019;2389;5693;Número de pensiones;53.0;A
2019;2389;275092;Número de pensiones;se;A
2019;2390;5691;Número de pensiones;336.0;A
2019;2390;5692;Número de pensiones;917.0;A
2019;2390;5693;Número de pensiones;366.0;A
2019;2390;275092;Número de pensiones;63.0;A
2019;2391;5691;Número de pensiones;499.0;A
2019;2391;5692;Número de pensiones;1871.0;A
2019;2391;5693;Número de pensiones;948.0;A
2019;2391;275092;Número de pensiones;172.0;A
2019;2392;5691;Número de pensiones;351.0;A
2019;2392;5692;Número de pensiones;1118.0;A
2019;2392;5693;Número de pensiones;624.0;A
2019;2392;275092;Número de pensiones;134.0;A
2019;2393;5691;Número de pensiones;14.0;A
2019;2393;5692;Número de pensiones;73.0;A
2019;2393;5693;Número de pensiones;19.0;A
2019;2393;275092;Número de pensiones;se;A
2019;2394;5691;Número de pensiones;583.0;A
