TEMPORAL;SEXO;MCVL_TIPOPRESTACION;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010;_T;55175;ES615;POP;47725.0;A
2010;_T;55175;ES616;POP;64200.0;A
2010;_T;55175;ES617;POP;104700.0;A
2010;_T;55175;ES618;POP;171725.0;A
2010;_T;55175;ES61;POP;708325.0;A
2010;_T;55176;ES611;POP;19100.0;A
2010;_T;55176;ES612;POP;28325.0;A
2010;_T;55176;ES613;POP;15925.0;A
2010;_T;55176;ES614;POP;19125.0;A
2010;_T;55176;ES615;POP;16625.0;A
2010;_T;55176;ES616;POP;10150.0;A
2010;_T;55176;ES617;POP;34825.0;A
2010;_T;55176;ES618;POP;41200.0;A
2010;_T;55176;ES61;POP;185275.0;A
2010;_T;55173;ES611;POP;412450.0;A
2010;_T;55173;ES612;POP;711250.0;A
2010;_T;55173;ES613;POP;514925.0;A
2010;_T;55173;ES614;POP;570175.0;A
2010;_T;55173;ES615;POP;357025.0;A
2010;_T;55173;ES616;POP;431100.0;A
2010;_T;55173;ES617;POP;928600.0;A
2010;_T;55173;ES618;POP;1201675.0;A
2010;_T;55173;ES61;POP;5127200.0;A
2011;M;55174;ES611;POP;25375.0;A
2011;M;55174;ES612;POP;47075.0;A
2011;M;55174;ES613;POP;27600.0;A
2011;M;55174;ES614;POP;31150.0;A
2011;M;55174;ES615;POP;21400.0;A
2011;M;55174;ES616;POP;24150.0;A
2011;M;55174;ES617;POP;57550.0;A
2011;M;55174;ES618;POP;70250.0;A
2011;M;55174;ES61;POP;304550.0;A
2011;M;55175;ES611;POP;31575.0;A
2011;M;55175;ES612;POP;53700.0;A
2011;M;55175;ES613;POP;39375.0;A
2011;M;55175;ES614;POP;38825.0;A
2011;M;55175;ES615;POP;27475.0;A
2011;M;55175;ES616;POP;32200.0;A
2011;M;55175;ES617;POP;54925.0;A
2011;M;55175;ES618;POP;83350.0;A
2011;M;55175;ES61;POP;361425.0;A
2011;M;55176;ES611;POP;7075.0;A
2011;M;55176;ES612;POP;13175.0;A
2011;M;55176;ES613;POP;6125.0;A
2011;M;55176;ES614;POP;7750.0;A
2011;M;55176;ES615;POP;6200.0;A
2011;M;55176;ES616;POP;6275.0;A
2011;M;55176;ES617;POP;14625.0;A
2011;M;55176;ES618;POP;15675.0;A
2011;M;55176;ES61;POP;76900.0;A
2011;M;55173;ES611;POP;224925.0;A
2011;M;55173;ES612;POP;390025.0;A
2011;M;55173;ES613;POP;272975.0;A
2011;M;55173;ES614;POP;302225.0;A
2011;M;55173;ES615;POP;182150.0;A
2011;M;55173;ES616;POP;238625.0;A
2011;M;55173;ES617;POP;490225.0;A
2011;M;55173;ES618;POP;636450.0;A
2011;M;55173;ES61;POP;2737600.0;A
2011;F;55174;ES611;POP;19500.0;A
2011;F;55174;ES612;POP;29675.0;A
2011;F;55174;ES613;POP;15450.0;A
2011;F;55174;ES614;POP;20175.0;A
2011;F;55174;ES615;POP;12200.0;A
2011;F;55174;ES616;POP;12225.0;A
2011;F;55174;ES617;POP;41175.0;A
2011;F;55174;ES618;POP;43550.0;A
2011;F;55174;ES61;POP;193950.0;A
2011;F;55175;ES611;POP;28975.0;A
2011;F;55175;ES612;POP;60425.0;A
2011;F;55175;ES613;POP;48725.0;A
2011;F;55175;ES614;POP;44950.0;A
2011;F;55175;ES615;POP;38475.0;A
2011;F;55175;ES616;POP;38050.0;A
2011;F;55175;ES617;POP;58425.0;A
2011;F;55175;ES618;POP;101900.0;A
2011;F;55175;ES61;POP;419925.0;A
2011;F;55176;ES611;POP;4325.0;A
2011;F;55176;ES612;POP;6850.0;A
2011;F;55176;ES613;POP;3525.0;A
2011;F;55176;ES614;POP;4275.0;A
2011;F;55176;ES615;POP;2800.0;A
2011;F;55176;ES616;POP;2600.0;A
2011;F;55176;ES617;POP;9350.0;A
2011;F;55176;ES618;POP;7975.0;A
2011;F;55176;ES61;POP;41700.0;A
2011;F;55173;ES611;POP;183625.0;A
2011;F;55173;ES612;POP;314650.0;A
2011;F;55173;ES613;POP;240250.0;A
2011;F;55173;ES614;POP;267100.0;A
2011;F;55173;ES615;POP;174625.0;A
2011;F;55173;ES616;POP;191625.0;A
2011;F;55173;ES617;POP;433400.0;A
2011;F;55173;ES618;POP;561175.0;A
2011;F;55173;ES61;POP;2366450.0;A
2011;_T;55174;ES611;POP;44875.0;A
