TEMPORAL;SEXO;DIASCOTIZANO;TERRITORIO;COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2009;F;53686;ES611;53591;POP;7025.0;A
2009;F;53686;ES612;53591;POP;13425.0;A
2009;F;53686;ES613;53591;POP;6900.0;A
2009;F;53686;ES614;53591;POP;8900.0;A
2009;F;53686;ES615;53591;POP;9300.0;A
2009;F;53686;ES616;53591;POP;7275.0;A
2009;F;53686;ES617;53591;POP;16125.0;A
2009;F;53686;ES618;53591;POP;18475.0;A
2009;F;53686;ES61;53591;POP;87425.0;A
2009;F;53687;ES611;53591;POP;37975.0;A
2009;F;53687;ES612;53591;POP;70650.0;A
2009;F;53687;ES613;53591;POP;36275.0;A
2009;F;53687;ES614;53591;POP;45900.0;A
2009;F;53687;ES615;53591;POP;46325.0;A
2009;F;53687;ES616;53591;POP;31300.0;A
2009;F;53687;ES617;53591;POP;84975.0;A
2009;F;53687;ES618;53591;POP;94650.0;A
2009;F;53687;ES61;53591;POP;448050.0;A
2009;F;53688;ES611;53591;POP;98325.0;A
2009;F;53688;ES612;53591;POP;146625.0;A
2009;F;53688;ES613;53591;POP;121550.0;A
2009;F;53688;ES614;53591;POP;133300.0;A
2009;F;53688;ES615;53591;POP;79550.0;A
2009;F;53688;ES616;53591;POP;96600.0;A
2009;F;53688;ES617;53591;POP;214925.0;A
2009;F;53688;ES618;53591;POP;285375.0;A
2009;F;53688;ES61;53591;POP;1176250.0;A
2009;F;53689;ES611;53591;POP;146725.0;A
2009;F;53689;ES612;53591;POP;240125.0;A
2009;F;53689;ES613;53591;POP;169100.0;A
2009;F;53689;ES614;53591;POP;192675.0;A
2009;F;53689;ES615;53591;POP;138875.0;A
2009;F;53689;ES616;53591;POP;139075.0;A
2009;F;53689;ES617;53591;POP;325225.0;A
2009;F;53689;ES618;53591;POP;410875.0;A
2009;F;53689;ES61;53591;POP;1762675.0;A
2009;_T;53685;ES611;53591;POP;6375.0;A
2009;_T;53685;ES612;53591;POP;16650.0;A
2009;_T;53685;ES613;53591;POP;8300.0;A
2009;_T;53685;ES614;53591;POP;8825.0;A
2009;_T;53685;ES615;53591;POP;6475.0;A
2009;_T;53685;ES616;53591;POP;7475.0;A
2009;_T;53685;ES617;53591;POP;16850.0;A
2009;_T;53685;ES618;53591;POP;22900.0;A
2009;_T;53685;ES61;53591;POP;93850.0;A
2009;_T;53686;ES611;53591;POP;14275.0;A
2009;_T;53686;ES612;53591;POP;24950.0;A
2009;_T;53686;ES613;53591;POP;14525.0;A
2009;_T;53686;ES614;53591;POP;17750.0;A
2009;_T;53686;ES615;53591;POP;14950.0;A
2009;_T;53686;ES616;53591;POP;14900.0;A
2009;_T;53686;ES617;53591;POP;32150.0;A
2009;_T;53686;ES618;53591;POP;35125.0;A
2009;_T;53686;ES61;53591;POP;168625.0;A
2009;_T;53687;ES611;53591;POP;80025.0;A
2009;_T;53687;ES612;53591;POP;149400.0;A
2009;_T;53687;ES613;53591;POP;79725.0;A
2009;_T;53687;ES614;53591;POP;98325.0;A
2009;_T;53687;ES615;53591;POP;83300.0;A
2009;_T;53687;ES616;53591;POP;66850.0;A
2009;_T;53687;ES617;53591;POP;180850.0;A
2009;_T;53687;ES618;53591;POP;210725.0;A
2009;_T;53687;ES61;53591;POP;949200.0;A
2009;_T;53688;ES611;53591;POP;233050.0;A
2009;_T;53688;ES612;53591;POP;356075.0;A
2009;_T;53688;ES613;53591;POP;277875.0;A
2009;_T;53688;ES614;53591;POP;297350.0;A
2009;_T;53688;ES615;53591;POP;178425.0;A
2009;_T;53688;ES616;53591;POP;224025.0;A
2009;_T;53688;ES617;53591;POP;489750.0;A
2009;_T;53688;ES618;53591;POP;646425.0;A
2009;_T;53688;ES61;53591;POP;2702975.0;A
2009;_T;53689;ES611;53591;POP;333725.0;A
2009;_T;53689;ES612;53591;POP;547075.0;A
2009;_T;53689;ES613;53591;POP;380425.0;A
2009;_T;53689;ES614;53591;POP;422250.0;A
2009;_T;53689;ES615;53591;POP;283150.0;A
2009;_T;53689;ES616;53591;POP;313250.0;A
2009;_T;53689;ES617;53591;POP;719600.0;A
2009;_T;53689;ES618;53591;POP;915175.0;A
