TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2007;F;55190;ES618;55179;POP;17075.0;A
2007;F;55190;ES61;55179;POP;76425.0;A
2007;F;55191;ES613;55179;POP;525.0;A
2007;F;55191;ES614;55179;POP;975.0;A
2007;F;55191;ES617;55179;POP;925.0;A
2007;F;55191;ES618;55179;POP;2950.0;A
2007;F;55191;ES61;55179;POP;6825.0;A
2007;F;55193;ES611;55179;POP;39625.0;A
2007;F;55193;ES612;55179;POP;74775.0;A
2007;F;55193;ES613;55179;POP;73075.0;A
2007;F;55193;ES614;55179;POP;75750.0;A
2007;F;55193;ES615;55179;POP;38200.0;A
2007;F;55193;ES616;55179;POP;54475.0;A
2007;F;55193;ES617;55179;POP;98325.0;A
2007;F;55193;ES618;55179;POP;150825.0;A
2007;F;55193;ES61;55179;POP;605050.0;A
2007;_T;55189;ES611;55179;POP;73975.0;A
2007;_T;55189;ES612;55179;POP;163250.0;A
2007;_T;55189;ES613;55179;POP;128100.0;A
2007;_T;55189;ES614;55179;POP;141950.0;A
2007;_T;55189;ES615;55179;POP;78050.0;A
2007;_T;55189;ES616;55179;POP;116400.0;A
2007;_T;55189;ES617;55179;POP;196150.0;A
2007;_T;55189;ES618;55179;POP;281550.0;A
2007;_T;55189;ES61;55179;POP;1179425.0;A
2007;_T;55185;ES611;55179;POP;7925.0;A
2007;_T;55185;ES612;55179;POP;28925.0;A
2007;_T;55185;ES613;55179;POP;14525.0;A
2007;_T;55185;ES614;55179;POP;24775.0;A
2007;_T;55185;ES615;55179;POP;12725.0;A
2007;_T;55185;ES616;55179;POP;16825.0;A
2007;_T;55185;ES617;55179;POP;35575.0;A
2007;_T;55185;ES618;55179;POP;57700.0;A
2007;_T;55185;ES61;55179;POP;198975.0;A
2007;_T;55186;ES611;55179;POP;44625.0;A
2007;_T;55186;ES612;55179;POP;81500.0;A
2007;_T;55186;ES613;55179;POP;78200.0;A
2007;_T;55186;ES614;55179;POP;80775.0;A
2007;_T;55186;ES615;55179;POP;40075.0;A
2007;_T;55186;ES616;55179;POP;65625.0;A
2007;_T;55186;ES617;55179;POP;104950.0;A
2007;_T;55186;ES618;55179;POP;143875.0;A
2007;_T;55186;ES61;55179;POP;639625.0;A
2007;_T;55187;ES611;55179;POP;17375.0;A
2007;_T;55187;ES612;55179;POP;42475.0;A
2007;_T;55187;ES613;55179;POP;28300.0;A
2007;_T;55187;ES614;55179;POP;29400.0;A
2007;_T;55187;ES615;55179;POP;20775.0;A
2007;_T;55187;ES616;55179;POP;28575.0;A
2007;_T;55187;ES617;55179;POP;45600.0;A
2007;_T;55187;ES618;55179;POP;63550.0;A
2007;_T;55187;ES61;55179;POP;276050.0;A
2007;_T;55188;ES611;55179;POP;4050.0;A
2007;_T;55188;ES612;55179;POP;10350.0;A
2007;_T;55188;ES613;55179;POP;7075.0;A
2007;_T;55188;ES614;55179;POP;7000.0;A
2007;_T;55188;ES615;55179;POP;4475.0;A
2007;_T;55188;ES616;55179;POP;5375.0;A
2007;_T;55188;ES617;55179;POP;10025.0;A
2007;_T;55188;ES618;55179;POP;16425.0;A
2007;_T;55188;ES61;55179;POP;64775.0;A
2007;_T;55192;ES611;55179;POP;9225.0;A
2007;_T;55192;ES612;55179;POP;8775.0;A
2007;_T;55192;ES613;55179;POP;16225.0;A
2007;_T;55192;ES614;55179;POP;15300.0;A
2007;_T;55192;ES615;55179;POP;4775.0;A
2007;_T;55192;ES616;55179;POP;7575.0;A
2007;_T;55192;ES617;55179;POP;14025.0;A
2007;_T;55192;ES618;55179;POP;23275.0;A
2007;_T;55192;ES61;55179;POP;99175.0;A
2007;_T;55190;ES611;55179;POP;8950.0;A
2007;_T;55190;ES612;55179;POP;7925.0;A
2007;_T;55190;ES613;55179;POP;15500.0;A
2007;_T;55190;ES614;55179;POP;14100.0;A
2007;_T;55190;ES615;55179;POP;4250.0;A
2007;_T;55190;ES616;55179;POP;7150.0;A
2007;_T;55190;ES617;55179;POP;12975.0;A
2007;_T;55190;ES618;55179;POP;19975.0;A
2007;_T;55190;ES61;55179;POP;90825.0;A
2007;_T;55191;ES612;55179;POP;850.0;A
2007;_T;55191;ES613;55179;POP;725.0;A
2007;_T;55191;ES614;55179;POP;1200.0;A
2007;_T;55191;ES615;55179;POP;525.0;A
2007;_T;55191;ES617;55179;POP;1050.0;A
2007;_T;55191;ES618;55179;POP;3300.0;A
2007;_T;55191;ES61;55179;POP;8350.0;A
2007;_T;55193;ES611;55179;POP;83200.0;A
2007;_T;55193;ES612;55179;POP;172025.0;A
2007;_T;55193;ES613;55179;POP;144325.0;A
2007;_T;55193;ES614;55179;POP;157250.0;A
2007;_T;55193;ES615;55179;POP;82825.0;A
2007;_T;55193;ES616;55179;POP;123975.0;A
2007;_T;55193;ES617;55179;POP;210175.0;A
2007;_T;55193;ES618;55179;POP;304825.0;A
2007;_T;55193;ES61;55179;POP;1278600.0;A
2008;M;55189;ES611;55179;POP;42850.0;A
2008;M;55189;ES612;55179;POP;97025.0;A
2008;M;55189;ES613;55179;POP;69075.0;A
2008;M;55189;ES614;55179;POP;78550.0;A
2008;M;55189;ES615;55179;POP;44375.0;A
2008;M;55189;ES616;55179;POP;68025.0;A
2008;M;55189;ES617;55179;POP;111300.0;A
2008;M;55189;ES618;55179;POP;153275.0;A
2008;M;55189;ES61;55179;POP;664475.0;A
2008;M;55185;ES611;55179;POP;6750.0;A
2008;M;55185;ES612;55179;POP;24075.0;A
2008;M;55185;ES613;55179;POP;10625.0;A
2008;M;55185;ES614;55179;POP;17500.0;A
2008;M;55185;ES615;55179;POP;9425.0;A
2008;M;55185;ES616;55179;POP;13125.0;A
2008;M;55185;ES617;55179;POP;25925.0;A
2008;M;55185;ES618;55179;POP;39075.0;A
2008;M;55185;ES61;55179;POP;146500.0;A
2008;M;55186;ES611;55179;POP;33375.0;A
2008;M;55186;ES612;55179;POP;67375.0;A
2008;M;55186;ES613;55179;POP;54250.0;A
2008;M;55186;ES614;55179;POP;56550.0;A
