TEMPORAL;SEXO;MCVL_TIPOHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;M;273755;ES616;POP;30300.0;A
2007;M;273755;ES617;POP;40150.0;A
2007;M;273755;ES618;POP;54050.0;A
2007;M;273755;ES61;POP;251325.0;A
2007;M;273756;ES611;POP;15900.0;A
2007;M;273756;ES612;POP;33150.0;A
2007;M;273756;ES613;POP;23825.0;A
2007;M;273756;ES614;POP;18550.0;A
2007;M;273756;ES615;POP;12900.0;A
2007;M;273756;ES616;POP;16800.0;A
2007;M;273756;ES617;POP;36200.0;A
2007;M;273756;ES618;POP;61525.0;A
2007;M;273756;ES61;POP;218850.0;A
2007;M;273757;ES611;POP;14775.0;A
2007;M;273757;ES612;POP;32450.0;A
2007;M;273757;ES613;POP;23225.0;A
2007;M;273757;ES614;POP;22375.0;A
2007;M;273757;ES615;POP;13225.0;A
2007;M;273757;ES616;POP;17850.0;A
2007;M;273757;ES617;POP;34675.0;A
2007;M;273757;ES618;POP;54250.0;A
2007;M;273757;ES61;POP;212825.0;A
2007;M;273750;ES611;POP;112825.0;A
2007;M;273750;ES612;POP;193050.0;A
2007;M;273750;ES613;POP;133950.0;A
2007;M;273750;ES614;POP;130225.0;A
2007;M;273750;ES615;POP;88450.0;A
2007;M;273750;ES616;POP;98800.0;A
2007;M;273750;ES617;POP;230525.0;A
2007;M;273750;ES618;POP;317625.0;A
2007;M;273750;ES61;POP;1305450.0;A
2007;M;273758;ES611;POP;74050.0;A
2007;M;273758;ES612;POP;133675.0;A
2007;M;273758;ES613;POP;91550.0;A
2007;M;273758;ES614;POP;94000.0;A
2007;M;273758;ES615;POP;62350.0;A
2007;M;273758;ES616;POP;72175.0;A
2007;M;273758;ES617;POP;156575.0;A
2007;M;273758;ES618;POP;226225.0;A
2007;M;273758;ES61;POP;910600.0;A
2007;M;273759;ES611;POP;38775.0;A
2007;M;273759;ES612;POP;59375.0;A
2007;M;273759;ES613;POP;42400.0;A
2007;M;273759;ES614;POP;36225.0;A
2007;M;273759;ES615;POP;26100.0;A
2007;M;273759;ES616;POP;26625.0;A
2007;M;273759;ES617;POP;73950.0;A
2007;M;273759;ES618;POP;91400.0;A
2007;M;273759;ES61;POP;394850.0;A
2007;M;273861;ES611;POP;18125.0;A
2007;M;273861;ES612;POP;13300.0;A
2007;M;273861;ES613;POP;13350.0;A
2007;M;273861;ES614;POP;18725.0;A
2007;M;273861;ES615;POP;11675.0;A
2007;M;273861;ES616;POP;8575.0;A
2007;M;273861;ES617;POP;32650.0;A
2007;M;273861;ES618;POP;19200.0;A
2007;M;273861;ES61;POP;135600.0;A
2007;M;273747;ES611;POP;230650.0;A
2007;M;273747;ES612;POP;408300.0;A
2007;M;273747;ES613;POP;282150.0;A
2007;M;273747;ES614;POP;313925.0;A
2007;M;273747;ES615;POP;185150.0;A
2007;M;273747;ES616;POP;240475.0;A
2007;M;273747;ES617;POP;511850.0;A
2007;M;273747;ES618;POP;650575.0;A
2007;M;273747;ES61;POP;2823075.0;A
2007;F;273748;ES611;POP;30375.0;A
2007;F;273748;ES612;POP;54950.0;A
2007;F;273748;ES613;POP;38525.0;A
2007;F;273748;ES614;POP;56900.0;A
2007;F;273748;ES615;POP;27100.0;A
2007;F;273748;ES616;POP;40600.0;A
2007;F;273748;ES617;POP;79775.0;A
2007;F;273748;ES618;POP;87825.0;A
2007;F;273748;ES61;POP;416050.0;A
2007;F;273751;ES611;POP;13025.0;A
2007;F;273751;ES612;POP;24550.0;A
2007;F;273751;ES613;POP;13250.0;A
2007;F;273751;ES614;POP;24150.0;A
2007;F;273751;ES615;POP;10725.0;A
2007;F;273751;ES616;POP;14650.0;A
2007;F;273751;ES617;POP;36700.0;A
2007;F;273751;ES618;POP;34850.0;A
2007;F;273751;ES61;POP;171900.0;A
2007;F;273752;ES611;POP;11825.0;A
2007;F;273752;ES612;POP;20850.0;A
2007;F;273752;ES613;POP;21075.0;A
2007;F;273752;ES614;POP;24375.0;A
2007;F;273752;ES615;POP;12375.0;A
2007;F;273752;ES616;POP;21250.0;A
2007;F;273752;ES617;POP;30125.0;A
2007;F;273752;ES618;POP;40625.0;A
2007;F;273752;ES61;POP;182500.0;A
2007;F;273753;ES611;POP;5525.0;A
2007;F;273753;ES612;POP;9550.0;A
2007;F;273753;ES613;POP;4200.0;A
2007;F;273753;ES614;POP;8375.0;A
2007;F;273753;ES615;POP;4000.0;A
2007;F;273753;ES616;POP;4700.0;A
2007;F;273753;ES617;POP;12950.0;A
2007;F;273753;ES618;POP;12350.0;A
2007;F;273753;ES61;POP;61650.0;A
2007;F;273749;ES611;POP;55700.0;A
2007;F;273749;ES612;POP;106750.0;A
2007;F;273749;ES613;POP;87900.0;A
2007;F;273749;ES614;POP;90100.0;A
2007;F;273749;ES615;POP;48300.0;A
2007;F;273749;ES616;POP;70550.0;A
2007;F;273749;ES617;POP;137850.0;A
2007;F;273749;ES618;POP;198425.0;A
2007;F;273749;ES61;POP;795575.0;A
2007;F;273754;ES611;POP;18825.0;A
2007;F;273754;ES612;POP;41900.0;A
2007;F;273754;ES613;POP;26475.0;A
2007;F;273754;ES614;POP;34825.0;A
2007;F;273754;ES615;POP;16750.0;A
2007;F;273754;ES616;POP;26300.0;A
2007;F;273754;ES617;POP;54775.0;A
2007;F;273754;ES618;POP;66475.0;A
2007;F;273754;ES61;POP;286325.0;A
2007;F;273755;ES611;POP;12275.0;A
2007;F;273755;ES612;POP;18875.0;A
2007;F;273755;ES613;POP;24125.0;A
2007;F;273755;ES614;POP;22725.0;A
2007;F;273755;ES615;POP;9950.0;A
2007;F;273755;ES616;POP;15350.0;A
2007;F;273755;ES617;POP;26825.0;A
2007;F;273755;ES618;POP;40575.0;A
2007;F;273755;ES61;POP;170700.0;A
2007;F;273756;ES611;POP;11975.0;A
2007;F;273756;ES612;POP;23975.0;A
2007;F;273756;ES613;POP;18250.0;A
2007;F;273756;ES614;POP;14725.0;A
2007;F;273756;ES615;POP;10325.0;A
2007;F;273756;ES616;POP;14100.0;A
2007;F;273756;ES617;POP;28025.0;A
2007;F;273756;ES618;POP;48600.0;A
2007;F;273756;ES61;POP;169975.0;A
2007;F;273757;ES611;POP;12625.0;A
2007;F;273757;ES612;POP;22000.0;A
2007;F;273757;ES613;POP;19050.0;A
2007;F;273757;ES614;POP;17825.0;A
2007;F;273757;ES615;POP;11275.0;A
2007;F;273757;ES616;POP;14800.0;A
2007;F;273757;ES617;POP;28225.0;A
2007;F;273757;ES618;POP;42775.0;A
2007;F;273757;ES61;POP;168575.0;A
2007;F;273750;ES611;POP;77950.0;A
2007;F;273750;ES612;POP;122075.0;A
2007;F;273750;ES613;POP;97075.0;A
2007;F;273750;ES614;POP;97050.0;A
2007;F;273750;ES615;POP;59625.0;A
2007;F;273750;ES616;POP;64450.0;A
2007;F;273750;ES617;POP;165525.0;A
2007;F;273750;ES618;POP;234475.0;A
2007;F;273750;ES61;POP;918225.0;A
2007;F;273758;ES611;POP;49050.0;A
2007;F;273758;ES612;POP;80925.0;A
2007;F;273758;ES613;POP;66025.0;A
2007;F;273758;ES614;POP;69800.0;A
2007;F;273758;ES615;POP;40825.0;A
2007;F;273758;ES616;POP;45950.0;A
2007;F;273758;ES617;POP;111075.0;A
2007;F;273758;ES618;POP;160500.0;A
2007;F;273758;ES61;POP;624150.0;A
2007;F;273759;ES611;POP;28900.0;A
2007;F;273759;ES612;POP;41150.0;A
2007;F;273759;ES613;POP;31050.0;A
2007;F;273759;ES614;POP;27250.0;A
2007;F;273759;ES615;POP;18800.0;A
2007;F;273759;ES616;POP;18500.0;A
2007;F;273759;ES617;POP;54450.0;A
2007;F;273759;ES618;POP;73975.0;A
2007;F;273759;ES61;POP;294075.0;A
2007;F;273861;ES611;POP;9450.0;A
2007;F;273861;ES612;POP;8875.0;A
2007;F;273861;ES613;POP;6900.0;A
2007;F;273861;ES614;POP;15075.0;A
2007;F;273861;ES615;POP;28775.0;A
