TEMPORAL;SEXO;TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2010;M;273747;ES617;POP;497100.0;A
2010;M;273747;ES618;POP;642650.0;A
2010;M;273747;ES61;POP;2767150.0;A
2010;F;273748;ES611;POP;33850.0;A
2010;F;273748;ES612;POP;67975.0;A
2010;F;273748;ES613;POP;40825.0;A
2010;F;273748;ES614;POP;64550.0;A
2010;F;273748;ES615;POP;36125.0;A
2010;F;273748;ES616;POP;50550.0;A
2010;F;273748;ES617;POP;106900.0;A
2010;F;273748;ES618;POP;100475.0;A
2010;F;273748;ES61;POP;501250.0;A
2010;F;273749;ES611;POP;61600.0;A
2010;F;273749;ES612;POP;118350.0;A
2010;F;273749;ES613;POP;90375.0;A
2010;F;273749;ES614;POP;99175.0;A
2010;F;273749;ES615;POP;53825.0;A
2010;F;273749;ES616;POP;76450.0;A
2010;F;273749;ES617;POP;157950.0;A
2010;F;273749;ES618;POP;215575.0;A
2010;F;273749;ES61;POP;873300.0;A
2010;F;273750;ES611;POP;79100.0;A
2010;F;273750;ES612;POP;121975.0;A
2010;F;273750;ES613;POP;101625.0;A
2010;F;273750;ES614;POP;90400.0;A
2010;F;273750;ES615;POP;54850.0;A
2010;F;273750;ES616;POP;60125.0;A
2010;F;273750;ES617;POP;146950.0;A
2010;F;273750;ES618;POP;229825.0;A
2010;F;273750;ES61;POP;884850.0;A
2010;F;273861;ES611;POP;9975.0;A
2010;F;273861;ES612;POP;7275.0;A
