TEMPORAL;SEXO;MCVL_INTERVINGRESOS;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2008;_T;;ES612;55179;POP;2950.0;A
2008;_T;;ES613;55179;POP;2850.0;A
2008;_T;;ES614;55179;POP;2800.0;A
2008;_T;;ES615;55179;POP;1275.0;A
2008;_T;;ES616;55179;POP;1650.0;A
2008;_T;;ES617;55179;POP;5125.0;A
2008;_T;;ES618;55179;POP;4850.0;A
2008;_T;;ES61;55179;POP;23325.0;A
2008;_T;55207;ES611;55179;POP;84150.0;A
2008;_T;55207;ES612;55179;POP;174700.0;A
2008;_T;55207;ES613;55179;POP;145200.0;A
2008;_T;55207;ES614;55179;POP;157550.0;A
2008;_T;55207;ES615;55179;POP;83950.0;A
2008;_T;55207;ES616;55179;POP;123825.0;A
2008;_T;55207;ES617;55179;POP;213950.0;A
2008;_T;55207;ES618;55179;POP;311550.0;A
2008;_T;55207;ES61;55179;POP;1294875.0;A
2009;M;55203;ES611;55179;POP;26925.0;A
2009;M;55203;ES612;55179;POP;44450.0;A
2009;M;55203;ES613;55179;POP;37225.0;A
2009;M;55203;ES614;55179;POP;43175.0;A
2009;M;55203;ES615;55179;POP;21125.0;A
2009;M;55203;ES616;55179;POP;31875.0;A
2009;M;55203;ES617;55179;POP;56875.0;A
2009;M;55203;ES618;55179;POP;72975.0;A
2009;M;55203;ES61;55179;POP;334625.0;A
2009;M;55204;ES611;55179;POP;11000.0;A
2009;M;55204;ES612;55179;POP;29450.0;A
2009;M;55204;ES613;55179;POP;21975.0;A
2009;M;55204;ES614;55179;POP;25325.0;A
2009;M;55204;ES615;55179;POP;14250.0;A
2009;M;55204;ES616;55179;POP;26925.0;A
2009;M;55204;ES617;55179;POP;35275.0;A
2009;M;55204;ES618;55179;POP;48425.0;A
2009;M;55204;ES61;55179;POP;212625.0;A
2009;M;55205;ES611;55179;POP;3675.0;A
2009;M;55205;ES612;55179;POP;17050.0;A
2009;M;55205;ES613;55179;POP;7150.0;A
2009;M;55205;ES614;55179;POP;8375.0;A
2009;M;55205;ES615;55179;POP;5550.0;A
2009;M;55205;ES616;55179;POP;6625.0;A
2009;M;55205;ES617;55179;POP;12775.0;A
2009;M;55205;ES618;55179;POP;21925.0;A
2009;M;55205;ES61;55179;POP;83125.0;A
2009;M;55206;ES611;55179;POP;2475.0;A
2009;M;55206;ES612;55179;POP;8425.0;A
2009;M;55206;ES613;55179;POP;4600.0;A
2009;M;55206;ES614;55179;POP;5250.0;A
2009;M;55206;ES615;55179;POP;3875.0;A
2009;M;55206;ES616;55179;POP;4250.0;A
2009;M;55206;ES617;55179;POP;8925.0;A
2009;M;55206;ES618;55179;POP;14225.0;A
2009;M;55206;ES61;55179;POP;52025.0;A
2009;M;;ES611;55179;POP;1050.0;A
2009;M;;ES612;55179;POP;1725.0;A
2009;M;;ES613;55179;POP;1450.0;A
2009;M;;ES614;55179;POP;1200.0;A
2009;M;;ES615;55179;POP;600.0;A
2009;M;;ES616;55179;POP;750.0;A
2009;M;;ES617;55179;POP;2500.0;A
2009;M;;ES618;55179;POP;2250.0;A
2009;M;;ES61;55179;POP;11525.0;A
2009;M;55207;ES611;55179;POP;45125.0;A
2009;M;55207;ES612;55179;POP;101100.0;A
2009;M;55207;ES613;55179;POP;72400.0;A
2009;M;55207;ES614;55179;POP;83325.0;A
2009;M;55207;ES615;55179;POP;45400.0;A
2009;M;55207;ES616;55179;POP;70425.0;A
2009;M;55207;ES617;55179;POP;116350.0;A
2009;M;55207;ES618;55179;POP;159800.0;A
2009;M;55207;ES61;55179;POP;693925.0;A
2009;F;55203;ES611;55179;POP;29850.0;A
2009;F;55203;ES612;55179;POP;51800.0;A
2009;F;55203;ES613;55179;POP;52475.0;A
