TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;M;55181;ES616;POP;237825.0;A
2009;M;55181;ES617;POP;499475.0;A
2009;M;55181;ES618;POP;644375.0;A
2009;M;55181;ES61;POP;2772275.0;A
2009;M;55182;ES611;POP;182750.0;A
2009;M;55182;ES612;POP;295400.0;A
2009;M;55182;ES613;POP;204100.0;A
2009;M;55182;ES614;POP;222200.0;A
2009;M;55182;ES615;POP;138800.0;A
2009;M;55182;ES616;POP;167400.0;A
2009;M;55182;ES617;POP;383125.0;A
2009;M;55182;ES618;POP;484575.0;A
2009;M;55182;ES61;POP;2078350.0;A
2009;M;55183;ES611;POP;40875.0;A
2009;M;55183;ES612;POP;89550.0;A
2009;M;55183;ES613;POP;65175.0;A
2009;M;55183;ES614;POP;75950.0;A
2009;M;55183;ES615;POP;39925.0;A
2009;M;55183;ES616;POP;63650.0;A
2009;M;55183;ES617;POP;105100.0;A
2009;M;55183;ES618;POP;140075.0;A
2009;M;55183;ES61;POP;620300.0;A
2009;M;55184;ES611;POP;4250.0;A
2009;M;55184;ES612;POP;11550.0;A
2009;M;55184;ES613;POP;7225.0;A
2009;M;55184;ES614;POP;7375.0;A
2009;M;55184;ES615;POP;5475.0;A
2009;M;55184;ES616;POP;6775.0;A
2009;M;55184;ES617;POP;11250.0;A
2009;M;55184;ES618;POP;19725.0;A
2009;M;55184;ES61;POP;73625.0;A
2009;F;55181;ES611;POP;183225.0;A
2009;F;55181;ES612;POP;310725.0;A
2009;F;55181;ES613;POP;236175.0;A
2009;F;55181;ES614;POP;263775.0;A
2009;F;55181;ES615;POP;174350.0;A
2009;F;55181;ES616;POP;189675.0;A
2009;F;55181;ES617;POP;419675.0;A
2009;F;55181;ES618;POP;553750.0;A
2009;F;55181;ES61;POP;2331350.0;A
2009;F;55182;ES611;POP;142975.0;A
2009;F;55182;ES612;POP;232800.0;A
2009;F;55182;ES613;POP;162525.0;A
2009;F;55182;ES614;POP;186075.0;A
2009;F;55182;ES615;POP;134650.0;A
2009;F;55182;ES616;POP;134275.0;A
2009;F;55182;ES617;POP;317525.0;A
2009;F;55182;ES618;POP;397575.0;A
2009;F;55182;ES61;POP;1708400.0;A
2009;F;55183;ES611;POP;36500.0;A
2009;F;55183;ES612;POP;70600.0;A
2009;F;55183;ES613;POP;67075.0;A
2009;F;55183;ES614;POP;71100.0;A
2009;F;55183;ES615;POP;35475.0;A
2009;F;55183;ES616;POP;50600.0;A
2009;F;55183;ES617;POP;94450.0;A
2009;F;55183;ES618;POP;142875.0;A
2009;F;55183;ES61;POP;568675.0;A
2009;F;55184;ES611;POP;3750.0;A
2009;F;55184;ES612;POP;7325.0;A
2009;F;55184;ES613;POP;6575.0;A
2009;F;55184;ES614;POP;6600.0;A
2009;F;55184;ES615;POP;4225.0;A
2009;F;55184;ES616;POP;4800.0;A
2009;F;55184;ES617;POP;7700.0;A
2009;F;55184;ES618;POP;13300.0;A
2009;F;55184;ES61;POP;54275.0;A
2009;_T;55181;ES611;POP;411100.0;A
2009;_T;55181;ES612;POP;707225.0;A
2009;_T;55181;ES613;POP;512675.0;A
2009;_T;55181;ES614;POP;569300.0;A
2009;_T;55181;ES615;POP;358550.0;A
2009;_T;55181;ES616;POP;427500.0;A
2009;_T;55181;ES617;POP;919150.0;A
2009;_T;55181;ES618;POP;1198125.0;A
2009;_T;55181;ES61;POP;5103625.0;A
2009;_T;55182;ES611;POP;325725.0;A
2009;_T;55182;ES612;POP;528200.0;A
2009;_T;55182;ES613;POP;366625.0;A
2009;_T;55182;ES614;POP;408275.0;A
2009;_T;55182;ES615;POP;273450.0;A
2009;_T;55182;ES616;POP;301675.0;A
2009;_T;55182;ES617;POP;700650.0;A
2009;_T;55182;ES618;POP;882150.0;A
2009;_T;55182;ES61;POP;3786750.0;A
2009;_T;55183;ES611;POP;77375.0;A
2009;_T;55183;ES612;POP;160150.0;A
2009;_T;55183;ES613;POP;132250.0;A
2009;_T;55183;ES614;POP;147050.0;A
2009;_T;55183;ES615;POP;75400.0;A
2009;_T;55183;ES616;POP;114250.0;A
2009;_T;55183;ES617;POP;199550.0;A
2009;_T;55183;ES618;POP;282950.0;A
2009;_T;55183;ES61;POP;1188975.0;A
2009;_T;55184;ES611;POP;8000.0;A
2009;_T;55184;ES612;POP;18875.0;A
2009;_T;55184;ES613;POP;13800.0;A
2009;_T;55184;ES614;POP;13975.0;A
2009;_T;55184;ES615;POP;9700.0;A
2009;_T;55184;ES616;POP;11575.0;A
2009;_T;55184;ES617;POP;18950.0;A
2009;_T;55184;ES618;POP;33025.0;A
2009;_T;55184;ES61;POP;127900.0;A
2010;M;55181;ES611;POP;227925.0;A
2010;M;55181;ES612;POP;395675.0;A
2010;M;55181;ES613;POP;276250.0;A
2010;M;55181;ES614;POP;304775.0;A
2010;M;55181;ES615;POP;183725.0;A
2010;M;55181;ES616;POP;239050.0;A
2010;M;55181;ES617;POP;497100.0;A
2010;M;55181;ES618;POP;642650.0;A
2010;M;55181;ES61;POP;2767150.0;A
2010;M;55182;ES611;POP;182000.0;A
2010;M;55182;ES612;POP;291450.0;A
2010;M;55182;ES613;POP;203275.0;A
2010;M;55182;ES614;POP;220525.0;A
2010;M;55182;ES615;POP;137525.0;A
2010;M;55182;ES616;POP;167750.0;A
2010;M;55182;ES617;POP;379375.0;A
2010;M;55182;ES618;POP;479175.0;A
2010;M;55182;ES61;POP;2061075.0;A
2010;M;55183;ES611;POP;41550.0;A
2010;M;55183;ES612;POP;91250.0;A
2010;M;55183;ES613;POP;65800.0;A
2010;M;55183;ES614;POP;76550.0;A
2010;M;55183;ES615;POP;40700.0;A
2010;M;55183;ES616;POP;64350.0;A
2010;M;55183;ES617;POP;106000.0;A
2010;M;55183;ES618;POP;143325.0;A
2010;M;55183;ES61;POP;629525.0;A
2010;M;55184;ES611;POP;4375.0;A
2010;M;55184;ES612;POP;12975.0;A
2010;M;55184;ES613;POP;7175.0;A
2010;M;55184;ES614;POP;7700.0;A
2010;M;55184;ES615;POP;5500.0;A
2010;M;55184;ES616;POP;6950.0;A
2010;M;55184;ES617;POP;11725.0;A
2010;M;55184;ES618;POP;20150.0;A
2010;M;55184;ES61;POP;76550.0;A
2010;F;55181;ES611;POP;184525.0;A
2010;F;55181;ES612;POP;315575.0;A
2010;F;55181;ES613;POP;238675.0;A
2010;F;55181;ES614;POP;265400.0;A
2010;F;55181;ES615;POP;173300.0;A
2010;F;55181;ES616;POP;192050.0;A
2010;F;55181;ES617;POP;431500.0;A
2010;F;55181;ES618;POP;559025.0;A
2010;F;55181;ES61;POP;2360050.0;A
2010;F;55182;ES611;POP;143775.0;A
2010;F;55182;ES612;POP;235950.0;A
2010;F;55182;ES613;POP;164325.0;A
2010;F;55182;ES614;POP;186725.0;A
2010;F;55182;ES615;POP;132800.0;A
2010;F;55182;ES616;POP;134650.0;A
2010;F;55182;ES617;POP;326375.0;A
2010;F;55182;ES618;POP;401700.0;A
2010;F;55182;ES61;POP;1726300.0;A
2010;F;55183;ES611;POP;36875.0;A
2010;F;55183;ES612;POP;72550.0;A
2010;F;55183;ES613;POP;67625.0;A
2010;F;55183;ES614;POP;71675.0;A
2010;F;55183;ES615;POP;36650.0;A
2010;F;55183;ES616;POP;51775.0;A
2010;F;55183;ES617;POP;97025.0;A
2010;F;55183;ES618;POP;143475.0;A
2010;F;55183;ES61;POP;577650.0;A
2010;F;55184;ES611;POP;3875.0;A
2010;F;55184;ES612;POP;7075.0;A
2010;F;55184;ES613;POP;6725.0;A
2010;F;55184;ES614;POP;7000.0;A
2010;F;55184;ES615;POP;3850.0;A
2010;F;55184;ES616;POP;5625.0;A
2010;F;55184;ES617;POP;8100.0;A
2010;F;55184;ES618;POP;13850.0;A
2010;F;55184;ES61;POP;56100.0;A
2010;_T;55181;ES611;POP;412450.0;A
2010;_T;55181;ES612;POP;711250.0;A
2010;_T;55181;ES613;POP;514925.0;A
2010;_T;55181;ES614;POP;570175.0;A
2010;_T;55181;ES615;POP;357025.0;A
2010;_T;55181;ES616;POP;431100.0;A
2010;_T;55181;ES617;POP;928600.0;A
2010;_T;55181;ES618;POP;1201675.0;A
2010;_T;55181;ES61;POP;5127200.0;A
2010;_T;55182;ES611;POP;325775.0;A
2010;_T;55182;ES612;POP;527400.0;A
2010;_T;55182;ES613;POP;367600.0;A
2010;_T;55182;ES614;POP;407250.0;A
2010;_T;55182;ES615;POP;270325.0;A
2010;_T;55182;ES616;POP;302400.0;A
2010;_T;55182;ES617;POP;705750.0;A
2010;_T;55182;ES618;POP;880875.0;A
2010;_T;55182;ES61;POP;3787375.0;A
2010;_T;55183;ES611;POP;78425.0;A
2010;_T;55183;ES612;POP;163800.0;A
2010;_T;55183;ES613;POP;133425.0;A
2010;_T;55183;ES614;POP;148225.0;A
2010;_T;55183;ES615;POP;77350.0;A
2010;_T;55183;ES616;POP;116125.0;A
2010;_T;55183;ES617;POP;203025.0;A
2010;_T;55183;ES618;POP;286800.0;A
2010;_T;55183;ES61;POP;1207175.0;A
2010;_T;55184;ES611;POP;8250.0;A
2010;_T;55184;ES612;POP;20050.0;A
2010;_T;55184;ES613;POP;13900.0;A
2010;_T;55184;ES614;POP;14700.0;A
2010;_T;55184;ES615;POP;9350.0;A
2010;_T;55184;ES616;POP;12575.0;A
2010;_T;55184;ES617;POP;19825.0;A
2010;_T;55184;ES618;POP;34000.0;A
2010;_T;55184;ES61;POP;132650.0;A
2011;M;55181;ES611;POP;224925.0;A
2011;M;55181;ES612;POP;390025.0;A
2011;M;55181;ES613;POP;272975.0;A
2011;M;55181;ES614;POP;302225.0;A
2011;M;55181;ES615;POP;182150.0;A
2011;M;55181;ES616;POP;238625.0;A
2011;M;55181;ES617;POP;490225.0;A
2011;M;55181;ES618;POP;636450.0;A
2011;M;55181;ES61;POP;2737600.0;A
2011;M;55182;ES611;POP;178800.0;A
2011;M;55182;ES612;POP;284450.0;A
2011;M;55182;ES613;POP;200225.0;A
2011;M;55182;ES614;POP;217950.0;A
2011;M;55182;ES615;POP;135400.0;A
2011;M;55182;ES616;POP;167600.0;A
2011;M;55182;ES617;POP;371550.0;A
2011;M;55182;ES618;POP;472850.0;A
2011;M;55182;ES61;POP;2028825.0;A
2011;M;55183;ES611;POP;42450.0;A
2011;M;55183;ES612;POP;93400.0;A
2011;M;55183;ES613;POP;65900.0;A
2011;M;55183;ES614;POP;77175.0;A
2011;M;55183;ES615;POP;41850.0;A
2011;M;55183;ES616;POP;64700.0;A
2011;M;55183;ES617;POP;107175.0;A
