TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ;CLASEDEPENSION;EDAD
2019;2329;_T;212544;NUM_PEN_PERS;379.0;A;_Z;_Z
2019;2329;M;212544;NUM_PEN_PERS;242.0;A;_Z;_Z
2019;2329;F;212544;NUM_PEN_PERS;137.0;A;_Z;_Z
2019;2330;_T;212544;NUM_PEN_PERS;134.0;A;_Z;_Z
2019;2330;M;212544;NUM_PEN_PERS;94.0;A;_Z;_Z
2019;2330;F;212544;NUM_PEN_PERS;40.0;A;_Z;_Z
2019;2331;_T;212544;NUM_PEN_PERS;69.0;A;_Z;_Z
2019;2331;M;212544;NUM_PEN_PERS;46.0;A;_Z;_Z
2019;2331;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2019;2332;_T;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2019;2332;M;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2019;2332;F;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2019;2333;_T;212544;NUM_PEN_PERS;372.0;A;_Z;_Z
2019;2333;M;212544;NUM_PEN_PERS;262.0;A;_Z;_Z
2019;2333;F;212544;NUM_PEN_PERS;110.0;A;_Z;_Z
2019;2346;_T;212544;NUM_PEN_PERS;102.0;A;_Z;_Z
2019;2346;M;212544;NUM_PEN_PERS;65.0;A;_Z;_Z
2019;2346;F;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2019;2334;_T;212544;NUM_PEN_PERS;298.0;A;_Z;_Z
2019;2334;M;212544;NUM_PEN_PERS;204.0;A;_Z;_Z
2019;2334;F;212544;NUM_PEN_PERS;94.0;A;_Z;_Z
2019;2335;_T;212544;NUM_PEN_PERS;40.0;A;_Z;_Z
2019;2335;M;212544;NUM_PEN_PERS;28.0;A;_Z;_Z
2019;2335;F;212544;NUM_PEN_PERS;12.0;A;_Z;_Z
2019;2336;_T;212544;NUM_PEN_PERS;128.0;A;_Z;_Z
2019;2336;M;212544;NUM_PEN_PERS;87.0;A;_Z;_Z
2019;2336;F;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2019;2337;_T;212544;NUM_PEN_PERS;48.0;A;_Z;_Z
2019;2337;M;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2019;2337;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2019;2338;_T;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2019;2338;M;212544;NUM_PEN_PERS;38.0;A;_Z;_Z
2019;2338;F;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2019;2339;_T;212544;NUM_PEN_PERS;260.0;A;_Z;_Z
2019;2339;M;212544;NUM_PEN_PERS;180.0;A;_Z;_Z
2019;2339;F;212544;NUM_PEN_PERS;80.0;A;_Z;_Z
2019;2340;_T;212544;NUM_PEN_PERS;803.0;A;_Z;_Z
2019;2340;M;212544;NUM_PEN_PERS;550.0;A;_Z;_Z
2019;2340;F;212544;NUM_PEN_PERS;253.0;A;_Z;_Z
2019;2341;_T;212544;NUM_PEN_PERS;845.0;A;_Z;_Z
2019;2341;M;212544;NUM_PEN_PERS;583.0;A;_Z;_Z
2019;2341;F;212544;NUM_PEN_PERS;262.0;A;_Z;_Z
2019;2342;_T;212544;NUM_PEN_PERS;309.0;A;_Z;_Z
2019;2342;M;212544;NUM_PEN_PERS;246.0;A;_Z;_Z
2019;2342;F;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2019;2343;_T;212544;NUM_PEN_PERS;1340.0;A;_Z;_Z
2019;2343;M;212544;NUM_PEN_PERS;938.0;A;_Z;_Z
2019;2343;F;212544;NUM_PEN_PERS;402.0;A;_Z;_Z
2019;2344;_T;212544;NUM_PEN_PERS;247.0;A;_Z;_Z
2019;2344;M;212544;NUM_PEN_PERS;162.0;A;_Z;_Z
2019;2344;F;212544;NUM_PEN_PERS;85.0;A;_Z;_Z
2019;2349;_T;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;2349;M;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;2349;F;212544;NUM_PEN_PERS;se;A;_Z;_Z
2019;ES612;_T;212544;NUM_PEN_PERS;103710.0;A;_Z;_Z
2019;ES612;M;212544;NUM_PEN_PERS;81265.0;A;_Z;_Z
2019;ES612;F;212544;NUM_PEN_PERS;22445.0;A;_Z;_Z
2019;2353;_T;212544;NUM_PEN_PERS;431.0;A;_Z;_Z
2019;2353;M;212544;NUM_PEN_PERS;368.0;A;_Z;_Z
2019;2353;F;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2019;2354;_T;212544;NUM_PEN_PERS;628.0;A;_Z;_Z
2019;2354;M;212544;NUM_PEN_PERS;371.0;A;_Z;_Z
2019;2354;F;212544;NUM_PEN_PERS;257.0;A;_Z;_Z
2019;2355;_T;212544;NUM_PEN_PERS;155.0;A;_Z;_Z
2019;2355;M;212544;NUM_PEN_PERS;128.0;A;_Z;_Z
2019;2355;F;212544;NUM_PEN_PERS;27.0;A;_Z;_Z
2019;2356;_T;212544;NUM_PEN_PERS;9291.0;A;_Z;_Z
2019;2356;M;212544;NUM_PEN_PERS;7550.0;A;_Z;_Z
2019;2356;F;212544;NUM_PEN_PERS;1741.0;A;_Z;_Z
2019;2357;_T;212544;NUM_PEN_PERS;646.0;A;_Z;_Z
2019;2357;M;212544;NUM_PEN_PERS;450.0;A;_Z;_Z
2019;2357;F;212544;NUM_PEN_PERS;196.0;A;_Z;_Z
2019;2358;_T;212544;NUM_PEN_PERS;2729.0;A;_Z;_Z
2019;2358;M;212544;NUM_PEN_PERS;2042.0;A;_Z;_Z
2019;2358;F;212544;NUM_PEN_PERS;687.0;A;_Z;_Z
2019;2359;_T;212544;NUM_PEN_PERS;1828.0;A;_Z;_Z
2019;2359;M;212544;NUM_PEN_PERS;1610.0;A;_Z;_Z
2019;2359;F;212544;NUM_PEN_PERS;218.0;A;_Z;_Z
2019;2361;_T;212544;NUM_PEN_PERS;1538.0;A;_Z;_Z
2019;2361;M;212544;NUM_PEN_PERS;1323.0;A;_Z;_Z
2019;2361;F;212544;NUM_PEN_PERS;215.0;A;_Z;_Z
2019;2397;_T;212544;NUM_PEN_PERS;565.0;A;_Z;_Z
2019;2397;M;212544;NUM_PEN_PERS;488.0;A;_Z;_Z
2019;2397;F;212544;NUM_PEN_PERS;77.0;A;_Z;_Z
2019;2362;_T;212544;NUM_PEN_PERS;66.0;A;_Z;_Z
2019;2362;M;212544;NUM_PEN_PERS;56.0;A;_Z;_Z
2019;2362;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2019;2363;_T;212544;NUM_PEN_PERS;867.0;A;_Z;_Z
2019;2363;M;212544;NUM_PEN_PERS;559.0;A;_Z;_Z
2019;2363;F;212544;NUM_PEN_PERS;308.0;A;_Z;_Z
2019;2364;_T;212544;NUM_PEN_PERS;185.0;A;_Z;_Z
2019;2364;M;212544;NUM_PEN_PERS;131.0;A;_Z;_Z
2019;2364;F;212544;NUM_PEN_PERS;54.0;A;_Z;_Z
2019;2365;_T;212544;NUM_PEN_PERS;13513.0;A;_Z;_Z
2019;2365;M;212544;NUM_PEN_PERS;9719.0;A;_Z;_Z
2019;2365;F;212544;NUM_PEN_PERS;3794.0;A;_Z;_Z
2019;2366;_T;212544;NUM_PEN_PERS;196.0;A;_Z;_Z
2019;2366;M;212544;NUM_PEN_PERS;169.0;A;_Z;_Z
2019;2366;F;212544;NUM_PEN_PERS;27.0;A;_Z;_Z
