SEXO;RELACTIVIDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;5883;2019;5732;ES61;PC;100.0;A
_T;5883;2019;5733;ES61;PC;100.0;A
_T;5883;2018;5732;ES61;PC;100.0;A
_T;5883;2018;5733;ES61;PC;100.0;A
_T;5883;2017;5732;ES61;PC;100.0;A
_T;5883;2017;5733;ES61;PC;100.0;A
_T;5883;2016;5732;ES61;PC;100.0;A
_T;5883;2016;5733;ES61;PC;100.0;A
_T;5883;2015;5732;ES61;PC;100.0;A
_T;5883;2015;5733;ES61;PC;100.0;A
_T;5883;2014;5732;ES61;PC;100.0;A
_T;5883;2014;5733;ES61;PC;100.0;A
