SEXO;EPD_GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;ESTADOCIVIL;EPD_NIVELESTUDIOSTER;EPD_RELACTIVIDAD;EPD_SITUACPROFES;EPD_PERCEPPRESINVAL;EPD_SITUACIONDEPEND;EPD_COMPHOGACTIVIDAD;EPD_PRESENCDISCAPAC;EPD_AMBITOESTUDHOG
_T;Y16-24;2020;5732;ES61;POP;793937.25001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2020;5733;ES61;POP;21209.25003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2019;5732;ES61;POP;782247.0001399999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2019;5733;ES61;POP;20555.25003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2018;5732;ES61;POP;775658.25006;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2018;5733;ES61;POP;20342.75001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2017;5732;ES61;POP;778917.4054500001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2017;5733;ES61;POP;18781.594670000002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2016;5732;ES61;POP;786238.00023;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2016;5733;ES61;POP;18392.499929999998;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2015;5732;ES61;POP;798426.83865;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2015;5733;ES61;POP;17358.66138;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2014;5732;ES61;POP;810598.7662600001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y16-24;2014;5733;ES61;POP;16181.48357;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2020;5732;ES61;POP;2188931.30561;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2020;5733;ES61;POP;87021.44421;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2019;5732;ES61;POP;2221784.61819;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2019;5733;ES61;POP;90622.13221000001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2018;5732;ES61;POP;2248952.34043;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2018;5733;ES61;POP;95676.15978;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2017;5732;ES61;POP;2291249.11594;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2017;5733;ES61;POP;92646.13442;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2016;5732;ES61;POP;2337075.28254;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2016;5733;ES61;POP;93779.71804;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2015;5732;ES61;POP;2392928.28521;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2015;5733;ES61;POP;91710.21503;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2014;5732;ES61;POP;2435590.13649;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y25-44;2014;5733;ES61;POP;91212.61666;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2020;5732;ES61;POP;2203463.82051;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2020;5733;ES61;POP;271873.67965;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2019;5732;ES61;POP;2154309.2031199997;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2019;5733;ES61;POP;272363.54687;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2018;5732;ES61;POP;2108610.83775;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2018;5733;ES61;POP;268194.16196;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2017;5732;ES61;POP;2073028.56462;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2017;5733;ES61;POP;261224.43574;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2016;5732;ES61;POP;2032247.41165;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2016;5733;ES61;POP;259112.33881;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2015;5732;ES61;POP;1997235.50799;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2015;5733;ES61;POP;243227.74178;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
_T;Y45-64;2014;5732;ES61;POP;1963432.1920699999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
