TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;2359;F;212544;NUM_PEN_PERS;218.0;A
2019;2361;_T;212544;NUM_PEN_PERS;1538.0;A
2019;2361;M;212544;NUM_PEN_PERS;1323.0;A
2019;2361;F;212544;NUM_PEN_PERS;215.0;A
2019;2397;_T;212544;NUM_PEN_PERS;565.0;A
2019;2397;M;212544;NUM_PEN_PERS;488.0;A
2019;2397;F;212544;NUM_PEN_PERS;77.0;A
2019;2362;_T;212544;NUM_PEN_PERS;66.0;A
2019;2362;M;212544;NUM_PEN_PERS;56.0;A
2019;2362;F;212544;NUM_PEN_PERS;10.0;A
2019;2363;_T;212544;NUM_PEN_PERS;867.0;A
2019;2363;M;212544;NUM_PEN_PERS;559.0;A
2019;2363;F;212544;NUM_PEN_PERS;308.0;A
2019;2364;_T;212544;NUM_PEN_PERS;185.0;A
2019;2364;M;212544;NUM_PEN_PERS;131.0;A
2019;2364;F;212544;NUM_PEN_PERS;54.0;A
2019;2365;_T;212544;NUM_PEN_PERS;13513.0;A
2019;2365;M;212544;NUM_PEN_PERS;9719.0;A
2019;2365;F;212544;NUM_PEN_PERS;3794.0;A
2019;2366;_T;212544;NUM_PEN_PERS;196.0;A
2019;2366;M;212544;NUM_PEN_PERS;169.0;A
2019;2366;F;212544;NUM_PEN_PERS;27.0;A
2019;2368;_T;212544;NUM_PEN_PERS;5483.0;A
2019;2368;M;212544;NUM_PEN_PERS;4724.0;A
2019;2368;F;212544;NUM_PEN_PERS;759.0;A
2019;2369;_T;212544;NUM_PEN_PERS;1526.0;A
2019;2369;M;212544;NUM_PEN_PERS;1239.0;A
2019;2369;F;212544;NUM_PEN_PERS;287.0;A
2019;2367;_T;212544;NUM_PEN_PERS;1652.0;A
2019;2367;M;212544;NUM_PEN_PERS;1448.0;A
2019;2367;F;212544;NUM_PEN_PERS;204.0;A
2019;2370;_T;212544;NUM_PEN_PERS;469.0;A
2019;2370;M;212544;NUM_PEN_PERS;281.0;A
2019;2370;F;212544;NUM_PEN_PERS;188.0;A
2019;2371;_T;212544;NUM_PEN_PERS;239.0;A
2019;2371;M;212544;NUM_PEN_PERS;149.0;A
2019;2371;F;212544;NUM_PEN_PERS;90.0;A
2019;2372;_T;212544;NUM_PEN_PERS;235.0;A
2019;2372;M;212544;NUM_PEN_PERS;188.0;A
2019;2372;F;212544;NUM_PEN_PERS;47.0;A
2019;2373;_T;212544;NUM_PEN_PERS;18074.0;A
