TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ;TERRITORIO;TIPO_ALOJAM_ECTA
2021;_T;6775;TURISTAS;44.5861909452564;A;_Z;_Z
2021;_T;6776;TURISTAS;35.408376116836955;A;_Z;_Z
2021;_T;6778;TURISTAS;15.756857806598601;A;_Z;_Z
2021;_T;6779;TURISTAS;4.248575131308054;A;_Z;_Z
2021;M;6782;TURISTAS;48.94637456566204;A;_Z;_Z
2021;M;6775;TURISTAS;22.477221426987402;A;_Z;_Z
2021;M;6776;TURISTAS;16.67887496927418;A;_Z;_Z
2021;M;6778;TURISTAS;7.836778991173434;A;_Z;_Z
2021;M;6779;TURISTAS;1.9534991782270281;A;_Z;_Z
2021;F;6782;TURISTAS;51.053625434337945;A;_Z;_Z
2021;F;6775;TURISTAS;22.10896951826899;A;_Z;_Z
2021;F;6776;TURISTAS;18.729501147562768;A;_Z;_Z
2021;F;6778;TURISTAS;7.920078815425165;A;_Z;_Z
2021;F;6779;TURISTAS;2.295075953081025;A;_Z;_Z
