ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES61;264449;2015;55565;VIAJEROS;502412.972724064;A;
A;ES61;264449;2015;55697;VIAJEROS;409379.099733269;A;
A;ES61;264449;2014;55698;VIAJEROS;791059.853295145;A;
A;ES61;264449;2014;55565;VIAJEROS;453273.067274647;A;
A;ES61;264449;2014;55697;VIAJEROS;337786.786020498;A;
A;ES61;264449;2013;55698;VIAJEROS;776594.46;A;
A;ES61;264449;2013;55565;VIAJEROS;450904.7;A;
A;ES61;264449;2013;55697;VIAJEROS;325689.76;A;
A;ES61;264449;2012;55698;VIAJEROS;774972.05;A;
A;ES61;264449;2012;55565;VIAJEROS;455628.21;A;
A;ES61;264449;2012;55697;VIAJEROS;319343.84;A;
A;ES61;264449;2011;55698;VIAJEROS;754698.87;A;
A;ES61;264449;2011;55565;VIAJEROS;503348.79;A;
A;ES61;264449;2011;55697;VIAJEROS;251350.08;A;
A;ES61;264449;2010;55698;VIAJEROS;752198.35;A;
A;ES61;264449;2010;55565;VIAJEROS;516862.61;A;
A;ES61;264449;2010;55697;VIAJEROS;235335.74;A;
A;ES61;264449;2009;55698;VIAJEROS;805063.45;A;
A;ES61;264449;2009;55565;VIAJEROS;529520.76;A;
A;ES61;264449;2009;55697;VIAJEROS;275542.69;A;
A;ES61;264449;2008;55698;VIAJEROS;884340.88;A;
A;ES61;264449;2008;55565;VIAJEROS;566185.95;A;
A;ES61;264449;2008;55697;VIAJEROS;318154.93;A;
A;ES61;62150;2020;55698;VIAJEROS;14468.0;A;
A;ES61;62150;2020;55565;VIAJEROS;13535.0;A;
A;ES61;62150;2020;55697;VIAJEROS;933.0;A;
A;ES61;62149;2020;55698;VIAJEROS;6887309.249203237;A;
A;ES61;62149;2020;55565;VIAJEROS;4976693.850933777;A;
A;ES61;62149;2020;55697;VIAJEROS;1910615.39826946;A;
A;ES61;62149;2019;55698;VIAJEROS;19869537;A;
A;ES61;62149;2019;55565;VIAJEROS;10532030;A;
A;ES61;62149;2019;55697;VIAJEROS;9337506.951457309;A;
A;ES61;62149;2018;55698;VIAJEROS;18838407;A;
A;ES61;62149;2018;55565;VIAJEROS;9906605.723574396;A;
A;ES61;62149;2018;55697;VIAJEROS;8931801.600811439;A;
A;ES61;62149;2017;55698;VIAJEROS;18429691;A;
A;ES61;62149;2017;55565;VIAJEROS;9544266.558855793;A;
A;ES61;62149;2017;55697;VIAJEROS;8885424.064938772;A;
A;ES61;62149;2016;55698;VIAJEROS;17868616;A;
A;ES61;62149;2016;55565;VIAJEROS;9644718.607098484;A;
A;ES61;62149;2016;55697;VIAJEROS;8223897.105138504;A;
A;ES61;62149;2015;55698;VIAJEROS;16685270;A;
A;ES61;62149;2015;55565;VIAJEROS;9332378.309795275;A;
A;ES61;62149;2015;55697;VIAJEROS;7352892.041855174;A;
A;ES61;62149;2014;55698;VIAJEROS;15589123;A;
A;ES61;62149;2014;55565;VIAJEROS;8950324.301776266;A;
A;ES61;62149;2014;55697;VIAJEROS;6638798.553146919;A;
A;ES61;62149;2013;55698;VIAJEROS;14944110;A;
A;ES61;62149;2013;55565;VIAJEROS;8611659.218582;A;
A;ES61;62149;2013;55697;VIAJEROS;6332451.02;A;
A;ES61;62149;2012;55698;VIAJEROS;14451588;A;
A;ES61;62149;2012;55565;VIAJEROS;8354777.53;A;
A;ES61;62149;2012;55697;VIAJEROS;6096810.53;A;
A;ES61;62149;2011;55698;VIAJEROS;14894507;A;
A;ES61;62149;2011;55565;VIAJEROS;8992305.38;A;
A;ES61;62149;2011;55697;VIAJEROS;5902201.91;A;
A;ES61;62149;2010;55698;VIAJEROS;14343891;A;
A;ES61;62149;2010;55565;VIAJEROS;9039541.01;A;
A;ES61;62149;2010;55697;VIAJEROS;5304350.03;A;
A;ES61;62149;2009;55698;VIAJEROS;14205606;A;
A;ES61;62149;2009;55565;VIAJEROS;9174851.66;A;
A;ES61;62149;2009;55697;VIAJEROS;5030753.96;A;
A;ES61;62149;2008;55698;VIAJEROS;15769340;A;
A;ES61;62149;2008;55565;VIAJEROS;9835622.77;A;
A;ES61;62149;2008;55697;VIAJEROS;5933716.92;A;
A;ES611;264447;2020;55698;VIAJEROS;365247.140326641;A;
