TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;56873;ES61;_T;DEATHS;756.0;A
2020;56873;ES61;M;DEATHS;254.0;A
2020;56873;ES61;F;DEATHS;502.0;A
2020;56873;ES611;_T;DEATHS;61.0;A
2020;56873;ES611;M;DEATHS;21.0;A
2020;56873;ES611;F;DEATHS;40.0;A
2020;56873;ES612;_T;DEATHS;101.0;A
2020;56873;ES612;M;DEATHS;32.0;A
2020;56873;ES612;F;DEATHS;69.0;A
2020;56873;ES613;_T;DEATHS;89.0;A
2020;56873;ES613;M;DEATHS;26.0;A
2020;56873;ES613;F;DEATHS;63.0;A
2020;56873;ES614;_T;DEATHS;103.0;A
2020;56873;ES614;M;DEATHS;36.0;A
2020;56873;ES614;F;DEATHS;67.0;A
2020;56873;ES615;_T;DEATHS;59.0;A
2020;56873;ES615;M;DEATHS;19.0;A
2020;56873;ES615;F;DEATHS;40.0;A
2020;56873;ES616;_T;DEATHS;97.0;A
2020;56873;ES616;M;DEATHS;30.0;A
2020;56873;ES616;F;DEATHS;67.0;A
2020;56873;ES617;_T;DEATHS;83.0;A
2020;56873;ES617;M;DEATHS;26.0;A
2020;56873;ES617;F;DEATHS;57.0;A
2020;56873;ES618;_T;DEATHS;163.0;A
2020;56873;ES618;M;DEATHS;64.0;A
2020;56873;ES618;F;DEATHS;99.0;A
2020;56947;ES61;_T;DEATHS;2619.0;A
2020;56947;ES61;M;DEATHS;1130.0;A
2020;56947;ES61;F;DEATHS;1489.0;A
2020;56947;ES611;_T;DEATHS;184.0;A
2020;56947;ES611;M;DEATHS;73.0;A
2020;56947;ES611;F;DEATHS;111.0;A
2020;56947;ES612;_T;DEATHS;433.0;A
2020;56947;ES612;M;DEATHS;207.0;A
2020;56947;ES612;F;DEATHS;226.0;A
2020;56947;ES613;_T;DEATHS;272.0;A
2020;56947;ES613;M;DEATHS;118.0;A
2020;56947;ES613;F;DEATHS;154.0;A
2020;56947;ES614;_T;DEATHS;333.0;A
2020;56947;ES614;M;DEATHS;144.0;A
2020;56947;ES614;F;DEATHS;189.0;A
2020;56947;ES615;_T;DEATHS;159.0;A
2020;56947;ES615;M;DEATHS;71.0;A
2020;56947;ES615;F;DEATHS;88.0;A
2020;56947;ES616;_T;DEATHS;261.0;A
2020;56947;ES616;M;DEATHS;110.0;A
2020;56947;ES616;F;DEATHS;151.0;A
2020;56947;ES617;_T;DEATHS;426.0;A
2020;56947;ES617;M;DEATHS;173.0;A
2020;56947;ES617;F;DEATHS;253.0;A
2020;56947;ES618;_T;DEATHS;551.0;A
2020;56947;ES618;M;DEATHS;234.0;A
2020;56947;ES618;F;DEATHS;317.0;A
2020;57018;ES61;_T;DEATHS;2.0;A
2020;57018;ES61;F;DEATHS;2.0;A
