D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2016;ES616;5;00;;56.3076;A
2016;ES616;5;1;;41.3596;A
2016;ES616;5;3;;2.9896;A
2016;ES616;5;5;;11.9584;A
2016;ES617;00;00;;3657.8326;A
2016;ES617;00;1;;3414.2444;A
2016;ES617;00;3;;18.0072;A
2016;ES617;00;5;;225.581;A
2016;ES617;1;00;;3354.721;A
2016;ES617;1;1;;3230.1772;A
2016;ES617;1;3;;13.5054;A
2016;ES617;1;5;;111.0384;A
2016;ES617;3;00;;26.5102;A
2016;ES617;3;1;;19.0072;A
2016;ES617;3;3;;1.5006;A
2016;ES617;3;5;;6.0024;A
2016;ES617;5;00;;276.6014;A
2016;ES617;5;1;;165.06;A
2016;ES617;5;3;;3.0012;A
2016;ES617;5;5;;108.5402;A
2016;ES618;00;00;;4023.9932;A
2016;ES618;00;1;;3801.6867;A
2016;ES618;00;3;;12.6307;A
2016;ES618;00;5;;209.6758;A
2016;ES618;1;00;;3785.7176;A
2016;ES618;1;1;;3643.3645;A
2016;ES618;1;3;;7.4615;A
2016;ES618;1;5;;134.8916;A
2016;ES618;3;00;;26.846;A
2016;ES618;3;1;;16.5076;A
2016;ES618;3;3;;5.1692;A
2016;ES618;3;5;;5.1692;A
2016;ES618;5;00;;211.4296;A
2016;ES618;5;1;;141.8146;A
2016;ES618;5;5;;69.615;A
2015;ES61;00;00;;17029.5907;A
2015;ES61;00;1;;16040.2678;A
2015;ES61;00;3;;65.4318;A
2015;ES61;00;5;;923.8911;A
2015;ES61;1;00;;16010.4743;A
2015;ES61;1;1;;15431.0439;A
2015;ES61;1;3;;47.5739;A
2015;ES61;1;5;;531.8565;A
2015;ES61;3;00;;80.6277;A
2015;ES61;3;1;;43.4607;A
2015;ES61;3;3;;7.6167;A
2015;ES61;3;5;;29.5503;A
2015;ES61;5;00;;938.4887;A
2015;ES61;5;1;;565.7632;A
