D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2014;ES615;000;DIV;1140.17566;A
2014;ES615;0;DIV;421.55378;A
2014;ES615;1;DIV;383.35931;A
2014;ES615;2;DIV;289.99505;A
2014;ES615;3;DIV;41.02369;A
2014;ES615;4;DIV;4.24383;A
2014;ES616;000;DIV;1180.1112;A
2014;ES616;0;DIV;478.5028;A
2014;ES616;1;DIV;364.0144;A
2014;ES616;2;DIV;306.7702;A
2014;ES616;3;DIV;29.356;A
2014;ES616;4;DIV;1.4678;A
2014;ES617;000;DIV;3567.8708;A
2014;ES617;0;DIV;1696.9927;A
2014;ES617;1;DIV;920.9486;A
2014;ES617;2;DIV;827.5657;A
2014;ES617;3;DIV;107.87335;A
2014;ES617;4;DIV;11.27035;A
2014;ES617;05mas;DIV;3.2201;A
2014;ES618;000;DIV;4126.85938;A
2014;ES618;0;DIV;1753.20726;A
2014;ES618;1;DIV;1202.27282;A
2014;ES618;2;DIV;1029.784;A
2014;ES618;3;DIV;126.14854;A
2014;ES618;4;DIV;14.15953;A
2014;ES618;05mas;DIV;1.28723;A
2013;ES61;000;DIV;16473.17478;A
2013;ES61;0;DIV;7220.07376;A
2013;ES61;1;DIV;4952.98014;A
2013;ES61;2;DIV;3768.42882;A
2013;ES61;3;DIV;496.23918;A
2013;ES61;4;DIV;27.20316;A
2013;ES61;05mas;DIV;8.24972;A
2013;ES611;000;DIV;1267.4696;A
2013;ES611;0;DIV;607.466;A
2013;ES611;1;DIV;338.2108;A
2013;ES611;2;DIV;284.0314;A
2013;ES611;3;DIV;32.836;A
2013;ES611;4;DIV;4.9254;A
2013;ES612;000;DIV;2358.7305;A
2013;ES612;0;DIV;1009.41945;A
2013;ES612;1;DIV;707.61915;A
2013;ES612;2;DIV;565.5093;A
2013;ES612;3;DIV;71.78745;A
2013;ES612;4;DIV;4.39515;A
2013;ES613;000;DIV;1452.76866;A
2013;ES613;0;DIV;609.05054;A
2013;ES613;1;DIV;486.96914;A
2013;ES613;2;DIV;322.83748;A
2013;ES613;3;DIV;31.19858;A
2013;ES613;4;DIV;1.35646;A
2013;ES613;05mas;DIV;1.35646;A
2013;ES614;000;DIV;1822.15704;A
2013;ES614;0;DIV;800.60343;A
2013;ES614;1;DIV;542.82822;A
2013;ES614;2;DIV;413.25867;A
2013;ES614;3;DIV;61.37505;A
2013;ES614;4;DIV;2.72778;A
2013;ES614;05mas;DIV;1.36389;A
2013;ES615;000;DIV;995.33511;A
2013;ES615;0;DIV;432.31727;A
2013;ES615;1;DIV;294.43535;A
2013;ES615;2;DIV;241.29336;A
2013;ES615;3;DIV;22.98032;A
2013;ES615;4;DIV;2.87254;A
2013;ES615;05mas;DIV;1.43627;A
2013;ES616;000;DIV;1155.71547;A
2013;ES616;0;DIV;506.59567;A
2013;ES616;1;DIV;347.13798;A
2013;ES616;2;DIV;249.77001;A
2013;ES616;3;DIV;50.80068;A
2013;ES616;4;DIV;1.41113;A
2013;ES617;000;DIV;3581.6334;A
2013;ES617;0;DIV;1628.5374;A
2013;ES617;1;DIV;1062.714;A
2013;ES617;2;DIV;769.7496;A
2013;ES617;3;DIV;116.3241;A
2013;ES617;4;DIV;2.8722;A
2013;ES617;05mas;DIV;1.4361;A
2013;ES618;000;DIV;3839.365;A
2013;ES618;0;DIV;1626.084;A
2013;ES618;1;DIV;1173.0655;A
2013;ES618;2;DIV;921.979;A
2013;ES618;3;DIV;108.937;A
2013;ES618;4;DIV;6.6425;A
2013;ES618;05mas;DIV;2.657;A
2012;ES61;000;DIV;19100.05171;A
2012;ES61;0;DIV;8277.67408;A
2012;ES61;1;DIV;5744.25856;A
2012;ES61;2;DIV;4438.21973;A
2012;ES61;3;DIV;588.12709;A
2012;ES61;4;DIV;39.34058;A
2012;ES61;05mas;DIV;12.43167;A
2012;ES611;000;DIV;1673.28115;A
2012;ES611;0;DIV;794.03702;A
2012;ES611;1;DIV;480.34575;A
2012;ES611;2;DIV;365.83438;A
2012;ES611;3;DIV;27.03896;A
2012;ES611;4;DIV;6.02504;A
2012;ES612;000;DIV;2751.43454;A
2012;ES612;0;DIV;1192.61732;A
2012;ES612;1;DIV;845.30394;A
2012;ES612;2;DIV;623.70872;A
2012;ES612;3;DIV;79.38752;A
2012;ES612;4;DIV;5.20852;A
2012;ES612;05mas;DIV;5.20852;A
2012;ES613;000;DIV;1519.27045;A
2012;ES613;0;DIV;677.43838;A
2012;ES613;1;DIV;443.3598;A
2012;ES613;2;DIV;363.37422;A
