OBS_STATUS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55562;2014;PCT_VIAJEROS;0.18554490791621484;A
A;55562;2013;PCT_VIAJEROS;0.07345622343792864;A
P;55564;2021;PCT_VIAJEROS;100.0;A
P;55543;2021;PCT_VIAJEROS;76.4996944905732;A
P;55563;2021;PCT_VIAJEROS;23.500305509426788;A
P;55545;2021;PCT_VIAJEROS;0.24489198174421972;A
P;55546;2021;PCT_VIAJEROS;0.08649602873334913;A
P;55547;2021;PCT_VIAJEROS;0.31773246078702055;A
P;55548;2021;PCT_VIAJEROS;0.2541297031054342;A
P;55549;2021;PCT_VIAJEROS;0.8338199796136925;A
P;55550;2021;PCT_VIAJEROS;1.0412873230071984;A
P;55551;2021;PCT_VIAJEROS;2.921664520943895;A
P;55552;2021;PCT_VIAJEROS;2.156630896732348;A
P;55553;2021;PCT_VIAJEROS;1.242041591399813;A
P;55554;2021;PCT_VIAJEROS;0.3869333908149575;A
P;55555;2021;PCT_VIAJEROS;9.76874105814276;A
P;55556;2021;PCT_VIAJEROS;2.104054373132921;A
P;55557;2021;PCT_VIAJEROS;0.14651356050597936;A
P;55558;2021;PCT_VIAJEROS;1.0405967784739134;A
P;55559;2021;PCT_VIAJEROS;0.18025778757127062;A
P;55544;2021;PCT_VIAJEROS;0.34811897651794227;A
P;55561;2021;PCT_VIAJEROS;0.2819329973284245;A
P;55562;2021;PCT_VIAJEROS;0.14446210087164923;A
A;55564;2020;PERNOCTACIONES;555700.568704012;A
A;55564;2019;PERNOCTACIONES;636784.048595064;A
A;55564;2018;PERNOCTACIONES;569795.288967056;A
A;55564;2017;PERNOCTACIONES;536979.802064328;A
A;55564;2016;PERNOCTACIONES;455784.441061271;A
A;55564;2015;PERNOCTACIONES;442097.948244033;A
A;55564;2014;PERNOCTACIONES;398737.946525426;A
A;55564;2013;PERNOCTACIONES;352393.180852517;A
A;55543;2020;PERNOCTACIONES;416168.133159548;A
A;55543;2019;PERNOCTACIONES;434447.51519149;A
A;55543;2018;PERNOCTACIONES;396903.642868;A
A;55543;2017;PERNOCTACIONES;370939.650351;A
A;55543;2016;PERNOCTACIONES;314574.715502;A
A;55543;2015;PERNOCTACIONES;312765.753281;A
A;55543;2014;PERNOCTACIONES;283233.009113;A
A;55543;2013;PERNOCTACIONES;234557.228124;A
A;55563;2020;PERNOCTACIONES;139532.435544464;A
A;55563;2019;PERNOCTACIONES;202336.533403574;A
A;55563;2018;PERNOCTACIONES;172891.646099056;A
A;55563;2017;PERNOCTACIONES;166040.151713328;A
A;55563;2016;PERNOCTACIONES;141209.725559271;A
A;55563;2015;PERNOCTACIONES;129332.194963033;A
A;55563;2014;PERNOCTACIONES;115504.937412426;A
A;55563;2013;PERNOCTACIONES;117835.952728517;A
A;55545;2020;PERNOCTACIONES;970.813921952;A
A;55545;2019;PERNOCTACIONES;3315.506570911;A
A;55545;2018;PERNOCTACIONES;2978.31796865;A
A;55545;2017;PERNOCTACIONES;2502.461529775;A
A;55545;2016;PERNOCTACIONES;1527.687603361;A
A;55545;2015;PERNOCTACIONES;2208.186507089;A
A;55545;2014;PERNOCTACIONES;935.922964652;A
A;55545;2013;PERNOCTACIONES;1176.491552835;A
A;55546;2020;PERNOCTACIONES;648.793623527;A
A;55546;2019;PERNOCTACIONES;1541.844560853;A
A;55546;2018;PERNOCTACIONES;1136.989816076;A
A;55546;2017;PERNOCTACIONES;1464.699062557;A
A;55546;2016;PERNOCTACIONES;726.773436187;A
A;55546;2015;PERNOCTACIONES;1311.824436767;A
A;55546;2014;PERNOCTACIONES;1139.652495884;A
A;55546;2013;PERNOCTACIONES;1298.011182627;A
A;55547;2020;PERNOCTACIONES;878.376992502;A
A;55547;2019;PERNOCTACIONES;4624.620039091;A
A;55547;2018;PERNOCTACIONES;1155.216919445;A
A;55547;2017;PERNOCTACIONES;1098.308679625;A
A;55547;2016;PERNOCTACIONES;1930.810891803;A
A;55547;2015;PERNOCTACIONES;1518.684816747;A
A;55547;2014;PERNOCTACIONES;3615.619382345;A
A;55547;2013;PERNOCTACIONES;4074.28200016;A
A;55548;2020;PERNOCTACIONES;723.296371632;A
A;55548;2019;PERNOCTACIONES;927.130978929;A
A;55548;2018;PERNOCTACIONES;1254.656640291;A
A;55548;2017;PERNOCTACIONES;875.421588261;A
A;55548;2016;PERNOCTACIONES;861.372325839;A
A;55548;2015;PERNOCTACIONES;772.561015439;A
A;55548;2014;PERNOCTACIONES;382.289782571;A
A;55548;2013;PERNOCTACIONES;438.687501198;A
A;55549;2020;PERNOCTACIONES;3497.796895844;A
A;55549;2019;PERNOCTACIONES;5426.650640873;A
A;55549;2018;PERNOCTACIONES;4864.56575307;A
A;55549;2017;PERNOCTACIONES;7110.6122858;A
A;55549;2016;PERNOCTACIONES;2820.25769196;A
A;55549;2015;PERNOCTACIONES;4870.31780282;A
A;55549;2014;PERNOCTACIONES;3382.23350348;A
A;55549;2013;PERNOCTACIONES;2617.00391885;A
A;55550;2020;PERNOCTACIONES;5581.940360524;A
A;55550;2019;PERNOCTACIONES;12196.227603629;A
A;55550;2018;PERNOCTACIONES;8347.46551863;A
A;55550;2017;PERNOCTACIONES;10414.01698379;A
A;55550;2016;PERNOCTACIONES;7059.88105174;A
A;55550;2015;PERNOCTACIONES;7313.89244884;A
A;55550;2014;PERNOCTACIONES;5693.96461255;A
A;55550;2013;PERNOCTACIONES;5389.72399901;A
A;55551;2020;PERNOCTACIONES;14769.204578664;A
A;55551;2019;PERNOCTACIONES;27503.477460818;A
A;55551;2018;PERNOCTACIONES;24185.4305356;A
A;55551;2017;PERNOCTACIONES;26719.7038968;A
A;55551;2016;PERNOCTACIONES;19307.3618143;A
A;55551;2015;PERNOCTACIONES;16731.8780105;A
A;55551;2014;PERNOCTACIONES;18871.561492;A
A;55551;2013;PERNOCTACIONES;16242.15364085;A
A;55552;2020;PERNOCTACIONES;12279.357747597;A
A;55552;2019;PERNOCTACIONES;22948.965498666;A
A;55552;2018;PERNOCTACIONES;25535.70089532;A
A;55552;2017;PERNOCTACIONES;18337.32824332;A
A;55552;2016;PERNOCTACIONES;19101.96572288;A
A;55552;2015;PERNOCTACIONES;17241.02291776;A
A;55552;2014;PERNOCTACIONES;13629.54841669;A
A;55552;2013;PERNOCTACIONES;15494.49961536;A
A;55553;2020;PERNOCTACIONES;4319.394326508;A
A;55553;2019;PERNOCTACIONES;7579.793416473;A
A;55553;2018;PERNOCTACIONES;5637.292132123;A
A;55553;2017;PERNOCTACIONES;4132.715491814;A
A;55553;2016;PERNOCTACIONES;7121.745990553;A
A;55553;2015;PERNOCTACIONES;5676.8753364;A
A;55553;2014;PERNOCTACIONES;3607.02902252;A
A;55553;2013;PERNOCTACIONES;5329.488305985;A
A;55554;2020;PERNOCTACIONES;6523.140018195;A
A;55554;2019;PERNOCTACIONES;7312.683991675;A
A;55554;2018;PERNOCTACIONES;4344.573217442;A
A;55554;2017;PERNOCTACIONES;2240.505694245;A
A;55554;2016;PERNOCTACIONES;1390.080351215;A
A;55554;2015;PERNOCTACIONES;3285.039931432;A
A;55554;2014;PERNOCTACIONES;1867.755369285;A
A;55554;2013;PERNOCTACIONES;842.187599321;A
A;55555;2020;PERNOCTACIONES;64961.565020732;A
A;55555;2019;PERNOCTACIONES;77241.63100791;A
A;55555;2018;PERNOCTACIONES;66136.9472797;A
A;55555;2017;PERNOCTACIONES;65007.8236087;A
A;55555;2016;PERNOCTACIONES;52155.6359967;A
A;55555;2015;PERNOCTACIONES;46753.0564217;A
A;55555;2014;PERNOCTACIONES;42427.8698716;A
A;55555;2013;PERNOCTACIONES;48063.0106727;A
A;55556;2020;PERNOCTACIONES;9053.020391456;A
A;55556;2019;PERNOCTACIONES;15764.664709637;A
A;55556;2018;PERNOCTACIONES;15938.7693543;A
A;55556;2017;PERNOCTACIONES;14133.55733028;A
A;55556;2016;PERNOCTACIONES;13844.64099045;A
A;55556;2015;PERNOCTACIONES;12165.51450727;A
A;55556;2014;PERNOCTACIONES;10455.73527648;A
A;55556;2013;PERNOCTACIONES;7828.27367221;A
A;55557;2020;PERNOCTACIONES;834.178760045;A
