OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES612;2017;ESTA_MEDI_ESTI;82.040208174;A
A;ES612;2016;ESTA_MEDI_ESTI;75.43974524;A
A;ES612;2015;ESTA_MEDI_ESTI;83.1987371;A
A;ES612;2014;ESTA_MEDI_ESTI;83.166991137;A
A;ES612;2013;ESTA_MEDI_ESTI;84.963737792;A
A;ES613;2020;ESTA_MEDI_ESTI;199.430487353;A
A;ES613;2019;ESTA_MEDI_ESTI;242.990661632;A
A;ES613;2018;ESTA_MEDI_ESTI;235.44965223;A
A;ES613;2017;ESTA_MEDI_ESTI;232.21637835;A
A;ES613;2016;ESTA_MEDI_ESTI;213.15034874;A
A;ES613;2015;ESTA_MEDI_ESTI;218.98799598;A
A;ES613;2014;ESTA_MEDI_ESTI;225.22762169;A
A;ES613;2013;ESTA_MEDI_ESTI;207.10502006;A
A;ES614;2020;ESTA_MEDI_ESTI;102.526923666;A
A;ES614;2019;ESTA_MEDI_ESTI;143.865554953;A
A;ES614;2018;ESTA_MEDI_ESTI;129.1306858;A
A;ES614;2017;ESTA_MEDI_ESTI;136.86060499;A
A;ES614;2016;ESTA_MEDI_ESTI;131.07092649;A
A;ES614;2015;ESTA_MEDI_ESTI;130.3551259;A
A;ES614;2014;ESTA_MEDI_ESTI;123.28425767;A
A;ES614;2013;ESTA_MEDI_ESTI;106.96973946;A
A;ES615;2020;ESTA_MEDI_ESTI;94.894243833;A
A;ES615;2019;ESTA_MEDI_ESTI;142.616888314;A
A;ES615;2018;ESTA_MEDI_ESTI;144.4351743;A
A;ES615;2017;ESTA_MEDI_ESTI;144.22461211;A
A;ES615;2016;ESTA_MEDI_ESTI;142.95044696;A
A;ES615;2015;ESTA_MEDI_ESTI;153.31512618;A
A;ES615;2014;ESTA_MEDI_ESTI;146.38969326;A
A;ES615;2013;ESTA_MEDI_ESTI;137.04047178;A
A;ES616;2020;ESTA_MEDI_ESTI;159.24946914;A
A;ES616;2019;ESTA_MEDI_ESTI;192.639167889;A
