TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;15.377014687676185;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;18.179010676756665;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;21.765077330946177;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;15.634570673312476;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;22.50503994374068;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB_B;18.136809668943023;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;9.59451475714888;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;11.911512653244476;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;9.476694648257498;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;8.257436249570835;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;11.430025874022151;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;13.779525310106719;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SERV_WEB;9.898159058555246;A
