D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2007;3689;273750;2352;Población;112825.0;A
2007;3689;273750;2402;Población;193050.0;A
2007;3689;273750;2482;Población;133950.0;A
2007;3689;273750;2713;Población;130225.0;A
2007;3689;273750;2797;Población;88450.0;A
2007;3689;273750;2911;Población;98800.0;A
2007;3689;273750;3023;Población;230525.0;A
2007;3689;273750;3142;Población;317625.0;A
2007;3689;273750;3143;Población;1305450.0;A
2007;3689;273758;2352;Población;74050.0;A
2007;3689;273758;2402;Población;133675.0;A
2007;3689;273758;2482;Población;91550.0;A
2007;3689;273758;2713;Población;94000.0;A
2007;3689;273758;2797;Población;62350.0;A
2007;3689;273758;2911;Población;72175.0;A
2007;3689;273758;3023;Población;156575.0;A
2007;3689;273758;3142;Población;226225.0;A
2007;3689;273758;3143;Población;910600.0;A
2007;3689;273759;2352;Población;38775.0;A
2007;3689;273759;2402;Población;59375.0;A
2007;3689;273759;2482;Población;42400.0;A
2007;3689;273759;2713;Población;36225.0;A
2007;3689;273759;2797;Población;26100.0;A
2007;3689;273759;2911;Población;26625.0;A
2007;3689;273759;3023;Población;73950.0;A
2007;3689;273759;3142;Población;91400.0;A
2007;3689;273759;3143;Población;394850.0;A
2007;3689;273861;2352;Población;18125.0;A
2007;3689;273861;2402;Población;13300.0;A
2007;3689;273861;2482;Población;13350.0;A
2007;3689;273861;2713;Población;18725.0;A
2007;3689;273861;2797;Población;11675.0;A
2007;3689;273861;2911;Población;8575.0;A
2007;3689;273861;3023;Población;32650.0;A
2007;3689;273861;3142;Población;19200.0;A
2007;3689;273861;3143;Población;135600.0;A
2007;3689;273747;2352;Población;230650.0;A
2007;3689;273747;2402;Población;408300.0;A
2007;3689;273747;2482;Población;282150.0;A
2007;3689;273747;2713;Población;313925.0;A
2007;3689;273747;2797;Población;185150.0;A
2007;3689;273747;2911;Población;240475.0;A
2007;3689;273747;3023;Población;511850.0;A
2007;3689;273747;3142;Población;650575.0;A
2007;3689;273747;3143;Población;2823075.0;A
2007;3690;273748;2352;Población;30375.0;A
2007;3690;273748;2402;Población;54950.0;A
2007;3690;273748;2482;Población;38525.0;A
2007;3690;273748;2713;Población;56900.0;A
2007;3690;273748;2797;Población;27100.0;A
2007;3690;273748;2911;Población;40600.0;A
2007;3690;273748;3023;Población;79775.0;A
2007;3690;273748;3142;Población;87825.0;A
2007;3690;273748;3143;Población;416050.0;A
2007;3690;273751;2352;Población;13025.0;A
2007;3690;273751;2402;Población;24550.0;A
2007;3690;273751;2482;Población;13250.0;A
2007;3690;273751;2713;Población;24150.0;A
2007;3690;273751;2797;Población;10725.0;A
2007;3690;273751;2911;Población;14650.0;A
2007;3690;273751;3023;Población;36700.0;A
2007;3690;273751;3142;Población;34850.0;A
2007;3690;273751;3143;Población;171900.0;A
2007;3690;273752;2352;Población;11825.0;A
2007;3690;273752;2402;Población;20850.0;A
2007;3690;273752;2482;Población;21075.0;A
2007;3690;273752;2713;Población;24375.0;A
2007;3690;273752;2797;Población;12375.0;A
2007;3690;273752;2911;Población;21250.0;A
2007;3690;273752;3023;Población;30125.0;A
2007;3690;273752;3142;Población;40625.0;A
2007;3690;273752;3143;Población;182500.0;A
2007;3690;273753;2352;Población;5525.0;A
2007;3690;273753;2402;Población;9550.0;A
2007;3690;273753;2482;Población;4200.0;A
2007;3690;273753;2713;Población;8375.0;A
2007;3690;273753;2797;Población;4000.0;A
2007;3690;273753;2911;Población;4700.0;A
2007;3690;273753;3023;Población;12950.0;A
2007;3690;273753;3142;Población;12350.0;A
2007;3690;273753;3143;Población;61650.0;A
2007;3690;273749;2352;Población;55700.0;A
2007;3690;273749;2402;Población;106750.0;A
2007;3690;273749;2482;Población;87900.0;A
