D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54682;2392;3689;Población municipal;162.0;A
2021;54682;2392;3690;Población municipal;198.0;A
2021;54682;2393;3691;Población municipal;5.0;A
2021;54682;2393;3689;Población municipal;2.0;A
2021;54682;2393;3690;Población municipal;3.0;A
2021;54682;2394;3691;Población municipal;137.0;A
2021;54682;2394;3689;Población municipal;59.0;A
2021;54682;2394;3690;Población municipal;78.0;A
2021;54682;2395;3691;Población municipal;33.0;A
2021;54682;2395;3689;Población municipal;17.0;A
2021;54682;2395;3690;Población municipal;16.0;A
2021;54682;2482;3691;Población municipal;11741.0;A
2021;54682;2482;3689;Población municipal;5546.0;A
2021;54682;2482;3690;Población municipal;6195.0;A
2021;54682;2403;3691;Población municipal;51.0;A
2021;54682;2403;3689;Población municipal;23.0;A
2021;54682;2403;3690;Población municipal;28.0;A
2021;54682;2404;3691;Población municipal;68.0;A
2021;54682;2404;3689;Población municipal;32.0;A
2021;54682;2404;3690;Población municipal;36.0;A
2021;54682;2405;3691;Población municipal;19.0;A
2021;54682;2405;3689;Población municipal;11.0;A
2021;54682;2405;3690;Población municipal;8.0;A
2021;54682;2406;3691;Población municipal;46.0;A
2021;54682;2406;3689;Población municipal;26.0;A
2021;54682;2406;3690;Población municipal;20.0;A
2021;54682;2407;3691;Población municipal;119.0;A
2021;54682;2407;3689;Población municipal;59.0;A
2021;54682;2407;3690;Población municipal;60.0;A
2021;54682;2408;3691;Población municipal;7.0;A
2021;54682;2408;3689;Población municipal;4.0;A
2021;54682;2408;3690;Población municipal;3.0;A
2021;54682;2409;3691;Población municipal;315.0;A
2021;54682;2409;3689;Población municipal;167.0;A
2021;54682;2409;3690;Población municipal;148.0;A
2021;54682;2410;3691;Población municipal;30.0;A
2021;54682;2410;3689;Población municipal;14.0;A
2021;54682;2410;3690;Población municipal;16.0;A
2021;54682;2411;3691;Población municipal;37.0;A
2021;54682;2411;3689;Población municipal;16.0;A
2021;54682;2411;3690;Población municipal;21.0;A
2021;54682;2412;3691;Población municipal;38.0;A
2021;54682;2412;3689;Población municipal;22.0;A
2021;54682;2412;3690;Población municipal;16.0;A
2021;54682;2413;3691;Población municipal;11.0;A
2021;54682;2413;3689;Población municipal;6.0;A
2021;54682;2413;3690;Población municipal;5.0;A
2021;54682;2414;3691;Población municipal;60.0;A
2021;54682;2414;3689;Población municipal;30.0;A
2021;54682;2414;3690;Población municipal;30.0;A
2021;54682;2415;3691;Población municipal;279.0;A
2021;54682;2415;3689;Población municipal;137.0;A
2021;54682;2415;3690;Población municipal;142.0;A
2021;54682;2416;3691;Población municipal;44.0;A
2021;54682;2416;3689;Población municipal;22.0;A
2021;54682;2416;3690;Población municipal;22.0;A
2021;54682;2417;3691;Población municipal;42.0;A
2021;54682;2417;3689;Población municipal;28.0;A
2021;54682;2417;3690;Población municipal;14.0;A
2021;54682;2418;3691;Población municipal;21.0;A
2021;54682;2418;3689;Población municipal;10.0;A
2021;54682;2418;3690;Población municipal;11.0;A
2021;54682;2419;3691;Población municipal;222.0;A
2021;54682;2419;3689;Población municipal;111.0;A
2021;54682;2419;3690;Población municipal;111.0;A
2021;54682;2420;3691;Población municipal;20.0;A
2021;54682;2420;3689;Población municipal;9.0;A
2021;54682;2420;3690;Población municipal;11.0;A
