OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55538;55551;2012;VIAJEROS;36328.77;A
A;55538;55551;2011;VIAJEROS;46549.57;A
A;55538;55551;2010;VIAJEROS;50878.99;A
A;55538;55551;2009;VIAJEROS;54638.06;A
A;55538;55551;2008;VIAJEROS;55303.55;A
A;55538;55552;2020;VIAJEROS;14851.924561481;A
A;55538;55552;2019;VIAJEROS;31974.398835322;A
A;55538;55552;2018;VIAJEROS;30203.54033743;A
A;55538;55552;2017;VIAJEROS;25989.1915496;A
A;55538;55552;2016;VIAJEROS;25973.80201101;A
A;55538;55552;2015;VIAJEROS;26199.97803562;A
A;55538;55552;2014;VIAJEROS;23266.61409017;A
A;55538;55552;2013;VIAJEROS;22680.16;A
A;55538;55552;2012;VIAJEROS;20923.27;A
A;55538;55552;2011;VIAJEROS;27398.51;A
A;55538;55552;2010;VIAJEROS;30406.09;A
A;55538;55552;2009;VIAJEROS;32614.17;A
A;55538;55552;2008;VIAJEROS;35035.22;A
A;55538;55553;2020;VIAJEROS;28350.320217787;A
A;55538;55553;2019;VIAJEROS;56437.188770886;A
A;55538;55553;2018;VIAJEROS;48957.88957113;A
A;55538;55553;2017;VIAJEROS;48106.9631563;A
A;55538;55553;2016;VIAJEROS;43207.24482645;A
A;55538;55553;2015;VIAJEROS;46730.67919803;A
A;55538;55553;2014;VIAJEROS;40122.87212276;A
A;55538;55553;2013;VIAJEROS;41516.62;A
A;55538;55553;2012;VIAJEROS;36709.32;A
A;55538;55553;2011;VIAJEROS;43381.09;A
A;55538;55553;2010;VIAJEROS;44687.47;A
A;55538;55553;2009;VIAJEROS;47850.22;A
A;55538;55553;2008;VIAJEROS;49907.43;A
A;55538;55554;2020;VIAJEROS;10625.017950446;A
A;55538;55554;2019;VIAJEROS;20803.3013435;A
A;55538;55554;2018;VIAJEROS;18979.67693653;A
A;55538;55554;2017;VIAJEROS;17839.95640821;A
A;55538;55554;2016;VIAJEROS;19124.42441702;A
A;55538;55554;2015;VIAJEROS;18845.67013106;A
A;55538;55554;2014;VIAJEROS;15784.37258427;A
A;55538;55554;2013;VIAJEROS;17521.42;A
A;55538;55554;2012;VIAJEROS;13350.26;A
A;55538;55554;2011;VIAJEROS;17357.65;A
A;55538;55554;2010;VIAJEROS;17328.81;A
A;55538;55554;2009;VIAJEROS;19527.44;A
A;55538;55554;2008;VIAJEROS;25199.5;A
A;55538;55555;2020;VIAJEROS;114573.483002165;A
A;55538;55555;2019;VIAJEROS;218931.581771856;A
A;55538;55555;2018;VIAJEROS;198811.1974557;A
A;55538;55555;2017;VIAJEROS;192836.9970401;A
A;55538;55555;2016;VIAJEROS;184096.5730247;A
A;55538;55555;2015;VIAJEROS;189715.2624821;A
A;55538;55555;2014;VIAJEROS;174651.6683293;A
A;55538;55555;2013;VIAJEROS;182960.81;A
A;55538;55555;2012;VIAJEROS;177921.18;A
A;55538;55555;2011;VIAJEROS;189699.94;A
A;55538;55555;2010;VIAJEROS;206328.95;A
A;55538;55555;2009;VIAJEROS;230898.57;A
A;55538;55555;2008;VIAJEROS;259011.85;A
A;55538;55556;2020;VIAJEROS;6025.685541559;A
A;55538;55556;2019;VIAJEROS;13063.246709949;A
