TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;F;515774;515892;NUME_AUTO;125325.0;A
2020;F;515775;ES611;NUME_AUTO;2075.0;A
2020;F;515775;ES612;NUME_AUTO;1600.0;A
2020;F;515775;ES613;NUME_AUTO;1500.0;A
2020;F;515775;ES614;NUME_AUTO;2000.0;A
2020;F;515775;ES615;NUME_AUTO;950.0;A
2020;F;515775;ES616;NUME_AUTO;1300.0;A
2020;F;515775;ES617;NUME_AUTO;3150.0;A
2020;F;515775;ES618;NUME_AUTO;3550.0;A
2020;F;515775;515892;NUME_AUTO;16275.0;A
2020;F;515776;ES611;NUME_AUTO;7675.0;A
2020;F;515776;ES612;NUME_AUTO;11500.0;A
2020;F;515776;ES613;NUME_AUTO;8500.0;A
2020;F;515776;ES614;NUME_AUTO;10925.0;A
2020;F;515776;ES615;NUME_AUTO;4525.0;A
2020;F;515776;ES616;NUME_AUTO;6825.0;A
2020;F;515776;ES617;NUME_AUTO;23150.0;A
2020;F;515776;ES618;NUME_AUTO;19550.0;A
2020;F;515776;515892;NUME_AUTO;93325.0;A
2020;F;515777;ES611;NUME_AUTO;1500.0;A
2020;F;515777;ES612;NUME_AUTO;1650.0;A
2020;F;515777;ES613;NUME_AUTO;1625.0;A
2020;F;515777;ES614;NUME_AUTO;2100.0;A
2020;F;515777;ES615;NUME_AUTO;700.0;A
2020;F;515777;ES616;NUME_AUTO;1100.0;A
2020;F;515777;ES617;NUME_AUTO;3600.0;A
2020;F;515777;ES618;NUME_AUTO;3350.0;A
2020;F;515777;515892;NUME_AUTO;15725.0;A
2020;_T;515771;ES611;NUME_AUTO;66975.0;A
2020;_T;515771;ES612;NUME_AUTO;70000.0;A
2020;_T;515771;ES613;NUME_AUTO;56650.0;A
2020;_T;515771;ES614;NUME_AUTO;72450.0;A
2020;_T;515771;ES615;NUME_AUTO;33275.0;A
2020;_T;515771;ES616;NUME_AUTO;45800.0;A
2020;_T;515771;ES617;NUME_AUTO;135075.0;A
2020;_T;515771;ES618;NUME_AUTO;125275.0;A
2020;_T;515771;515892;NUME_AUTO;609750.0;A
2020;_T;515772;ES611;NUME_AUTO;40400.0;A
2020;_T;515772;ES612;NUME_AUTO;28725.0;A
2020;_T;515772;ES613;NUME_AUTO;24850.0;A
2020;_T;515772;ES614;NUME_AUTO;31300.0;A
2020;_T;515772;ES615;NUME_AUTO;15925.0;A
2020;_T;515772;ES616;NUME_AUTO;17350.0;A
2020;_T;515772;ES617;NUME_AUTO;56950.0;A
2020;_T;515772;ES618;NUME_AUTO;54425.0;A
2020;_T;515772;515892;NUME_AUTO;271825.0;A
2020;_T;515774;ES611;NUME_AUTO;26575.0;A
2020;_T;515774;ES612;NUME_AUTO;41275.0;A
2020;_T;515774;ES613;NUME_AUTO;31800.0;A
2020;_T;515774;ES614;NUME_AUTO;41150.0;A
2020;_T;515774;ES615;NUME_AUTO;17350.0;A
2020;_T;515774;ES616;NUME_AUTO;28450.0;A
2020;_T;515774;ES617;NUME_AUTO;78125.0;A
2020;_T;515774;ES618;NUME_AUTO;70850.0;A
