TEMPORAL;TERRITORIO;DURACEMPREND;ANOCELEBRMATRIM;MULTIVARIABL;INDICATOR;OBS_VALUE;FREQ
2020;ES613;516611;5091;516632;SUPERVIVIENTES;2725.0;A
2020;ES613;516612;5083;516632;SUPERVIVIENTES;2100.0;A
2020;ES613;516612;5084;516632;SUPERVIVIENTES;1775.0;A
2020;ES613;516612;5085;516632;SUPERVIVIENTES;1275.0;A
2020;ES613;516612;5086;516632;SUPERVIVIENTES;1275.0;A
2020;ES613;516612;5087;516632;SUPERVIVIENTES;1575.0;A
2020;ES613;516612;5088;516632;SUPERVIVIENTES;2100.0;A
2020;ES613;516612;5089;516632;SUPERVIVIENTES;2000.0;A
2020;ES613;516612;5090;516632;SUPERVIVIENTES;1650.0;A
2020;ES613;516613;5083;516632;SUPERVIVIENTES;1850.0;A
2020;ES613;516613;5084;516632;SUPERVIVIENTES;1650.0;A
2020;ES613;516613;5085;516632;SUPERVIVIENTES;1200.0;A
2020;ES613;516613;5086;516632;SUPERVIVIENTES;1250.0;A
2020;ES613;516613;5087;516632;SUPERVIVIENTES;1475.0;A
2020;ES613;516613;5088;516632;SUPERVIVIENTES;1975.0;A
2020;ES613;516613;5089;516632;SUPERVIVIENTES;1950.0;A
2020;ES613;516614;5083;516632;SUPERVIVIENTES;1675.0;A
2020;ES613;516614;5084;516632;SUPERVIVIENTES;1600.0;A
2020;ES613;516614;5085;516632;SUPERVIVIENTES;1175.0;A
2020;ES613;516614;5086;516632;SUPERVIVIENTES;1200.0;A
2020;ES613;516614;5087;516632;SUPERVIVIENTES;1250.0;A
2020;ES613;516614;5088;516632;SUPERVIVIENTES;1800.0;A
2020;ES613;516615;5083;516632;SUPERVIVIENTES;1600.0;A
2020;ES613;516615;5084;516632;SUPERVIVIENTES;1450.0;A
2020;ES613;516615;5085;516632;SUPERVIVIENTES;1100.0;A
2020;ES613;516615;5086;516632;SUPERVIVIENTES;1050.0;A
2020;ES613;516615;5087;516632;SUPERVIVIENTES;1150.0;A
2020;ES614;516633;5083;516632;SUPERVIVIENTES;11075.0;A
2020;ES614;516633;5084;516632;SUPERVIVIENTES;12050.0;A
2020;ES614;516633;5085;516632;SUPERVIVIENTES;9625.0;A
2020;ES614;516633;5086;516632;SUPERVIVIENTES;10425.0;A
2020;ES614;516633;5087;516632;SUPERVIVIENTES;10600.0;A
2020;ES614;516633;5088;516632;SUPERVIVIENTES;11850.0;A
2020;ES614;516633;5089;516632;SUPERVIVIENTES;13100.0;A
2020;ES614;516633;5090;516632;SUPERVIVIENTES;15400.0;A
2020;ES614;516633;5091;516632;SUPERVIVIENTES;16675.0;A
2020;ES614;516633;5092;516632;SUPERVIVIENTES;15025.0;A
2020;ES614;516633;5093;516632;SUPERVIVIENTES;13575.0;A
2020;ES614;516633;5094;516632;SUPERVIVIENTES;13675.0;A
2020;ES614;516633;5095;516632;SUPERVIVIENTES;16550.0;A
2020;ES614;516633;5096;516632;SUPERVIVIENTES;13800.0;A
2020;ES614;516633;5097;516632;SUPERVIVIENTES;12125.0;A
2020;ES614;516606;5083;516632;SUPERVIVIENTES;7150.0;A
2020;ES614;516606;5084;516632;SUPERVIVIENTES;7550.0;A
2020;ES614;516606;5085;516632;SUPERVIVIENTES;5750.0;A
2020;ES614;516606;5086;516632;SUPERVIVIENTES;5775.0;A
2020;ES614;516606;5087;516632;SUPERVIVIENTES;5850.0;A
2020;ES614;516606;5088;516632;SUPERVIVIENTES;5950.0;A
2020;ES614;516606;5089;516632;SUPERVIVIENTES;6225.0;A
2020;ES614;516606;5090;516632;SUPERVIVIENTES;7225.0;A
2020;ES614;516606;5091;516632;SUPERVIVIENTES;8375.0;A
2020;ES614;516606;5092;516632;SUPERVIVIENTES;7275.0;A
2020;ES614;516606;5093;516632;SUPERVIVIENTES;6775.0;A
2020;ES614;516606;5094;516632;SUPERVIVIENTES;6975.0;A
2020;ES614;516606;5095;516632;SUPERVIVIENTES;8700.0;A
2020;ES614;516606;5096;516632;SUPERVIVIENTES;7475.0;A
2020;ES614;516607;5083;516632;SUPERVIVIENTES;5450.0;A
2020;ES614;516607;5084;516632;SUPERVIVIENTES;5050.0;A
2020;ES614;516607;5085;516632;SUPERVIVIENTES;4400.0;A
2020;ES614;516607;5086;516632;SUPERVIVIENTES;4275.0;A
2020;ES614;516607;5087;516632;SUPERVIVIENTES;4325.0;A
2020;ES614;516607;5088;516632;SUPERVIVIENTES;4475.0;A
2020;ES614;516607;5089;516632;SUPERVIVIENTES;4850.0;A
2020;ES614;516607;5090;516632;SUPERVIVIENTES;5625.0;A
2020;ES614;516607;5091;516632;SUPERVIVIENTES;6350.0;A
2020;ES614;516607;5092;516632;SUPERVIVIENTES;5275.0;A
