TEMPORAL;SEXO;AA_TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;_T;515756;ES612;NUME_AUTO;12750.0;A
2020;_T;515756;ES613;NUME_AUTO;6850.0;A
2020;_T;515756;ES614;NUME_AUTO;15625.0;A
2020;_T;515756;ES615;NUME_AUTO;6650.0;A
2020;_T;515756;ES616;NUME_AUTO;6875.0;A
2020;_T;515756;ES617;NUME_AUTO;23425.0;A
2020;_T;515756;ES618;NUME_AUTO;16200.0;A
2020;_T;515756;515892;NUME_AUTO;100350.0;A
2020;_T;515757;ES611;NUME_AUTO;9425.0;A
2020;_T;515757;ES612;NUME_AUTO;11050.0;A
2020;_T;515757;ES613;NUME_AUTO;6000.0;A
2020;_T;515757;ES614;NUME_AUTO;13625.0;A
2020;_T;515757;ES615;NUME_AUTO;5925.0;A
2020;_T;515757;ES616;NUME_AUTO;5975.0;A
2020;_T;515757;ES617;NUME_AUTO;20625.0;A
2020;_T;515757;ES618;NUME_AUTO;13550.0;A
