TIME_PERIOD;REF_AREA;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ;D_SEXO_0;D_EDAD_0;D_PCSSA_JUBVIUDEDAD_0
2011;2315;5693;NUM_PEN;127.0;A;_Z;_Z;_Z
2011;2315;275092;NUM_PEN;23.0;A;_Z;_Z;_Z
2011;2316;5691;NUM_PEN;111.0;A;_Z;_Z;_Z
2011;2316;5692;NUM_PEN;491.0;A;_Z;_Z;_Z
2011;2316;5693;NUM_PEN;250.0;A;_Z;_Z;_Z
2011;2316;275092;NUM_PEN;43.0;A;_Z;_Z;_Z
2011;2317;5691;NUM_PEN;25.0;A;_Z;_Z;_Z
2011;2317;5692;NUM_PEN;207.0;A;_Z;_Z;_Z
2011;2317;5693;NUM_PEN;111.0;A;_Z;_Z;_Z
2011;2317;275092;NUM_PEN;19.0;A;_Z;_Z;_Z
2011;2318;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2318;5692;NUM_PEN;76.0;A;_Z;_Z;_Z
2011;2318;5693;NUM_PEN;24.0;A;_Z;_Z;_Z
2011;2319;5691;NUM_PEN;25.0;A;_Z;_Z;_Z
2011;2319;5692;NUM_PEN;134.0;A;_Z;_Z;_Z
2011;2319;5693;NUM_PEN;78.0;A;_Z;_Z;_Z
2011;2319;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2320;5691;NUM_PEN;892.0;A;_Z;_Z;_Z
2011;2320;5692;NUM_PEN;3578.0;A;_Z;_Z;_Z
2011;2320;5693;NUM_PEN;1885.0;A;_Z;_Z;_Z
2011;2320;275092;NUM_PEN;397.0;A;_Z;_Z;_Z
2011;2321;5692;NUM_PEN;53.0;A;_Z;_Z;_Z
2011;2321;5693;NUM_PEN;17.0;A;_Z;_Z;_Z
2011;2322;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2322;5692;NUM_PEN;79.0;A;_Z;_Z;_Z
2011;2322;5693;NUM_PEN;34.0;A;_Z;_Z;_Z
2011;2323;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2323;5692;NUM_PEN;80.0;A;_Z;_Z;_Z
2011;2323;5693;NUM_PEN;33.0;A;_Z;_Z;_Z
2011;2324;5691;NUM_PEN;39.0;A;_Z;_Z;_Z
2011;2324;5692;NUM_PEN;371.0;A;_Z;_Z;_Z
2011;2324;5693;NUM_PEN;195.0;A;_Z;_Z;_Z
2011;2324;275092;NUM_PEN;37.0;A;_Z;_Z;_Z
2011;2325;5691;NUM_PEN;7.0;A;_Z;_Z;_Z
2011;2325;5692;NUM_PEN;62.0;A;_Z;_Z;_Z
2011;2325;5693;NUM_PEN;37.0;A;_Z;_Z;_Z
2011;2326;5691;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2326;5692;NUM_PEN;74.0;A;_Z;_Z;_Z
2011;2326;5693;NUM_PEN;45.0;A;_Z;_Z;_Z
2011;2326;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2327;5691;NUM_PEN;49.0;A;_Z;_Z;_Z
2011;2327;5692;NUM_PEN;469.0;A;_Z;_Z;_Z
2011;2327;5693;NUM_PEN;183.0;A;_Z;_Z;_Z
2011;2327;275092;NUM_PEN;24.0;A;_Z;_Z;_Z
2011;2328;5692;NUM_PEN;31.0;A;_Z;_Z;_Z
2011;2328;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2329;5691;NUM_PEN;69.0;A;_Z;_Z;_Z
2011;2329;5692;NUM_PEN;521.0;A;_Z;_Z;_Z
2011;2329;5693;NUM_PEN;218.0;A;_Z;_Z;_Z
2011;2329;275092;NUM_PEN;28.0;A;_Z;_Z;_Z
2011;2330;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2330;5692;NUM_PEN;173.0;A;_Z;_Z;_Z
2011;2330;5693;NUM_PEN;86.0;A;_Z;_Z;_Z
2011;2330;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2331;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2331;5692;NUM_PEN;84.0;A;_Z;_Z;_Z
2011;2331;5693;NUM_PEN;32.0;A;_Z;_Z;_Z
2011;2332;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2332;5692;NUM_PEN;82.0;A;_Z;_Z;_Z
2011;2332;5693;NUM_PEN;33.0;A;_Z;_Z;_Z
2011;2332;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2333;5691;NUM_PEN;73.0;A;_Z;_Z;_Z
2011;2333;5692;NUM_PEN;463.0;A;_Z;_Z;_Z
2011;2333;5693;NUM_PEN;218.0;A;_Z;_Z;_Z
2011;2333;275092;NUM_PEN;29.0;A;_Z;_Z;_Z
2011;2346;5691;NUM_PEN;22.0;A;_Z;_Z;_Z
2011;2346;5692;NUM_PEN;135.0;A;_Z;_Z;_Z
2011;2346;5693;NUM_PEN;53.0;A;_Z;_Z;_Z
2011;2346;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2011;2334;5691;NUM_PEN;46.0;A;_Z;_Z;_Z
2011;2334;5692;NUM_PEN;320.0;A;_Z;_Z;_Z
2011;2334;5693;NUM_PEN;146.0;A;_Z;_Z;_Z
2011;2334;275092;NUM_PEN;31.0;A;_Z;_Z;_Z
2011;2335;5691;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2335;5692;NUM_PEN;43.0;A;_Z;_Z;_Z
2011;2335;5693;NUM_PEN;24.0;A;_Z;_Z;_Z
2011;2336;5691;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2336;5692;NUM_PEN;159.0;A;_Z;_Z;_Z
