ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
P;ES615;2021;PERS_MEDI_REMU;79.27359210899999;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_REMU;27.735154814999998;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_REMU;336.98556860099995;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_REMU;44.518423914;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_REMU;733.095908938;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_NO_REMU;112.511857074;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_NO_REMU;127.699045315;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_NO_REMU;108.43555616;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_NO_REMU;94.637576477;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_NO_REMU;77.017396854;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_NO_REMU;77.44870631;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_NO_REMU;83.868062175;A;_Z;_Z;_Z
A;ES611;2013;PERS_MEDI_NO_REMU;86.343771011;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_NO_REMU;61.25521531;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_NO_REMU;88.936073093;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_NO_REMU;101.81238655;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_NO_REMU;81.582983062;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_NO_REMU;61.441787626;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_NO_REMU;55.979675857;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_NO_REMU;52.285978342;A;_Z;_Z;_Z
A;ES612;2013;PERS_MEDI_NO_REMU;67.264714194;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_NO_REMU;236.440312319;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_NO_REMU;254.205666542;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_NO_REMU;239.52731444;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_NO_REMU;248.94970359;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_NO_REMU;216.46602478;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_NO_REMU;213.9301636;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_NO_REMU;232.72461156;A;_Z;_Z;_Z
A;ES613;2013;PERS_MEDI_NO_REMU;229.55892871;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_NO_REMU;107.468130392;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_NO_REMU;146.790042807;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_NO_REMU;129.45588817;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_NO_REMU;129.95809738;A;_Z;_Z;_Z
A;ES614;2016;PERS_MEDI_NO_REMU;131.49678411;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_NO_REMU;146.62871904;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_NO_REMU;143.95258583;A;_Z;_Z;_Z
A;ES614;2013;PERS_MEDI_NO_REMU;119.84748372;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_NO_REMU;61.010499017;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_NO_REMU;105.899761175;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_NO_REMU;141.77597847;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_NO_REMU;146.4016805;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_NO_REMU;119.80117964;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_NO_REMU;117.13728536;A;_Z;_Z;_Z
A;ES615;2014;PERS_MEDI_NO_REMU;100.9342822;A;_Z;_Z;_Z
A;ES615;2013;PERS_MEDI_NO_REMU;80.541845582;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_NO_REMU;183.542314895;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_NO_REMU;230.461385095;A;_Z;_Z;_Z
