TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2018;ES613;281603;281485;_T;TOTAL;ASAL_PER;338450.0;A
2018;ES613;281603;281485;M;TOTAL;ASAL_PER;94425.0;A
2018;ES613;281603;281485;F;TOTAL;ASAL_PER;74800.0;A
2018;ES613;281603;281486;_T;TOTAL;ASAL_PER;338450.0;A
2018;ES613;281603;281486;M;TOTAL;ASAL_PER;94425.0;A
2018;ES613;281603;281486;F;TOTAL;ASAL_PER;74800.0;A
2018;ES613;281604;281485;_T;TOTAL;ASAL_PER;34000.0;A
2018;ES613;281604;281485;M;TOTAL;ASAL_PER;9450.0;A
2018;ES613;281604;281485;F;TOTAL;ASAL_PER;7550.0;A
2018;ES613;281604;281486;_T;TOTAL;ASAL_PER;34000.0;A
2018;ES613;281604;281486;M;TOTAL;ASAL_PER;9450.0;A
2018;ES613;281604;281486;F;TOTAL;ASAL_PER;7550.0;A
2018;ES613;281605;281485;_T;TOTAL;ASAL_PER;455000.0;A
2018;ES613;281605;281485;M;TOTAL;ASAL_PER;116450.0;A
2018;ES613;281605;281485;F;TOTAL;ASAL_PER;111050.0;A
2018;ES613;281605;281486;_T;TOTAL;ASAL_PER;455000.0;A
2018;ES613;281605;281486;M;TOTAL;ASAL_PER;116450.0;A
2018;ES613;281605;281486;F;TOTAL;ASAL_PER;111050.0;A
2018;ES613;281602;281485;_T;TOTAL;ASAL_PER;827450.0;A
2018;ES613;281602;281485;M;TOTAL;ASAL_PER;220325.0;A
2018;ES613;281602;281485;F;TOTAL;ASAL_PER;193400.0;A
2018;ES613;281602;281486;_T;TOTAL;ASAL_PER;827450.0;A
2018;ES613;281602;281486;M;TOTAL;ASAL_PER;220325.0;A
2018;ES613;281602;281486;F;TOTAL;ASAL_PER;193400.0;A
2018;ES614;281603;281485;_T;TOTAL;ASAL_PER;471350.0;A
2018;ES614;281603;281485;M;TOTAL;ASAL_PER;128400.0;A
2018;ES614;281603;281485;F;TOTAL;ASAL_PER;107275.0;A
2018;ES614;281603;281486;_T;TOTAL;ASAL_PER;471350.0;A
2018;ES614;281603;281486;M;TOTAL;ASAL_PER;128400.0;A
2018;ES614;281603;281486;F;TOTAL;ASAL_PER;107275.0;A
2018;ES614;281604;281485;_T;TOTAL;ASAL_PER;43150.0;A
2018;ES614;281604;281485;M;TOTAL;ASAL_PER;11450.0;A
2018;ES614;281604;281485;F;TOTAL;ASAL_PER;10125.0;A
2018;ES614;281604;281486;_T;TOTAL;ASAL_PER;43150.0;A
2018;ES614;281604;281486;M;TOTAL;ASAL_PER;11450.0;A
2018;ES614;281604;281486;F;TOTAL;ASAL_PER;10125.0;A
2018;ES614;281605;281485;_T;TOTAL;ASAL_PER;308200.0;A
2018;ES614;281605;281485;M;TOTAL;ASAL_PER;76850.0;A
2018;ES614;281605;281485;F;TOTAL;ASAL_PER;77250.0;A
