TEMPORAL;TERRITORIO;DURACMATRIM;INDICATOR;OBS_VALUE;FREQ
2019;ES611;5203;DIV;60.36;A
2019;ES611;5214;DIV;41.77728;A
2019;ES611;5116;DIV;80.6637;A
2019;ES611;5117;DIV;88.78518;A
2019;ES611;5118;DIV;50.4837;A
2019;ES611;5119;DIV;54.81999;A
2019;ES611;5120;DIV;49.89876;A
2019;ES611;5121;DIV;81.52419;A
2019;ES611;5122;DIV;50.4837;A
2019;ES611;5123;DIV;60.63555;A
2019;ES611;5124;DIV;44.39259;A
2019;ES611;5125;DIV;39.16197;A
2019;ES611;5127;DIV;24.94938;A
2019;ES611;5128;DIV;47.86839;A
2019;ES611;5129;DIV;40.91679;A
2019;ES611;5130;DIV;24.67383;A
2019;ES611;5131;DIV;40.33185;A
2019;ES611;5132;DIV;34.55013;A
2019;ES611;5133;DIV;22.05852;A
2019;ES611;5134;DIV;22.64346;A
2019;ES611;5135;DIV;28.73457;A
2019;ES611;5136;DIV;25.84371;A
2019;ES611;5138;DIV;26.42865;A
2019;ES611;5139;DIV;19.16766;A
2019;ES611;5140;DIV;23.81334;A
2019;ES611;5141;DIV;17.13729;A
2019;ES611;5142;DIV;8.70642;A
2019;ES611;5143;DIV;6.67605;A
2019;ES611;5144;DIV;18.58272;A
2019;ES611;5145;DIV;13.3521;A
2019;ES611;5146;DIV;13.3521;A
2019;ES611;5147;DIV;17.13729;A
2019;ES611;5149;DIV;12.49161;A
2019;ES611;5150;DIV;4.64568;A
2019;ES611;5151;DIV;4.64568;A
2019;ES611;5152;DIV;11.90667;A
2019;ES611;5153;DIV;9.29136;A
2019;ES611;5154;DIV;6.09111;A
2019;ES611;5156;DIV;6.67605;A
2019;ES611;5166;DIV;2.03037;A
2019;ES611;5167;DIV;4.06074;A
2019;ES612;5215;DIV;2350.11045;A
2019;ES612;5114;DIV;12.66128;A
2019;ES612;5126;DIV;66.36683;A
2019;ES612;5137;DIV;94.74982;A
2019;ES612;5148;DIV;109.17168;A
2019;ES612;5159;DIV;91.22866;A
2019;ES612;5170;DIV;80.70635;A
2019;ES612;5181;DIV;105.14862;A
2019;ES612;5192;DIV;86.40765;A
2019;ES612;5203;DIV;94.24792;A
2019;ES612;5214;DIV;78.98694;A
2019;ES612;5116;DIV;118.69019;A
2019;ES612;5117;DIV;82.88649;A
2019;ES612;5118;DIV;95.08704;A
2019;ES612;5119;DIV;105.56818;A
2019;ES612;5120;DIV;69.34492;A
2019;ES612;5121;DIV;80.24562;A
2019;ES612;5122;DIV;72.82491;A
2019;ES612;5123;DIV;80.24562;A
2019;ES612;5124;DIV;61.08509;A
2019;ES612;5125;DIV;51.48424;A
2019;ES612;5127;DIV;39.70325;A
2019;ES612;5128;DIV;47.54352;A
2019;ES612;5129;DIV;35.34297;A
2019;ES612;5130;DIV;58.48539;A
2019;ES612;5131;DIV;39.28369;A
2019;ES612;5132;DIV;39.28369;A
2019;ES612;5133;DIV;21.38184;A
2019;ES612;5134;DIV;29.68284;A
2019;ES612;5135;DIV;52.86643;A
2019;ES612;5136;DIV;31.44342;A
2019;ES612;5138;DIV;41.92456;A
2019;ES612;5139;DIV;21.84257;A
2019;ES612;5140;DIV;19.66243;A
2019;ES612;5141;DIV;28.38299;A
2019;ES612;5142;DIV;25.32256;A
2019;ES612;5143;DIV;24.02271;A
2019;ES612;5144;DIV;21.84257;A
2019;ES612;5145;DIV;9.60085;A
2019;ES612;5146;DIV;11.36143;A
2019;ES612;5147;DIV;16.602;A
2019;ES612;5149;DIV;16.602;A
2019;ES612;5150;DIV;7.42071;A
2019;ES612;5151;DIV;8.301;A
2019;ES612;5152;DIV;19.66243;A
2019;ES612;5153;DIV;14.84142;A
2019;ES612;5154;DIV;7.42071;A
2019;ES612;5155;DIV;6.12086;A
2019;ES612;5156;DIV;2.18014;A
2019;ES612;5157;DIV;5.24057;A
