OBS_STATUS;TERRITORIO;FORMA_JUR_SOCMER;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
P;3114;46367;2021;CAP_SUSCRITO;102178.0;A
P;3114;46364;2021;CAP_SUSCRITO;102178.0;A
P;3115;46367;2021;CAP_SUSCRITO;317436.0;A
P;3115;46364;2021;CAP_SUSCRITO;317436.0;A
P;3116;46367;2021;CAP_SUSCRITO;152250.0;A
P;3116;46364;2021;CAP_SUSCRITO;152250.0;A
P;3118;46367;2021;CAP_SUSCRITO;24300.0;A
P;3118;46364;2021;CAP_SUSCRITO;24300.0;A
P;3119;46367;2021;CAP_SUSCRITO;21010.0;A
P;3119;46364;2021;CAP_SUSCRITO;21010.0;A
P;3120;46367;2021;CAP_SUSCRITO;48598218;A
P;3120;46361;2021;CAP_SUSCRITO;700000.0;A
P;3120;46364;2021;CAP_SUSCRITO;47842272;A
P;3120;46366;2021;CAP_SUSCRITO;55945.46;A
P;3121;46367;2021;CAP_SUSCRITO;94369.0;A
P;3121;46364;2021;CAP_SUSCRITO;94369.0;A
P;3122;46367;2021;CAP_SUSCRITO;2255149.0;A
P;3122;46364;2021;CAP_SUSCRITO;2255149.0;A
P;3123;46367;2021;CAP_SUSCRITO;239815.0;A
P;3123;46364;2021;CAP_SUSCRITO;239815.0;A
P;3124;46367;2021;CAP_SUSCRITO;12709099;A
P;3124;46364;2021;CAP_SUSCRITO;12709099;A
P;3126;46367;2021;CAP_SUSCRITO;3953147.0;A
P;3126;46364;2021;CAP_SUSCRITO;3953147.0;A
P;3127;46367;2021;CAP_SUSCRITO;1827346.0;A
P;3127;46364;2021;CAP_SUSCRITO;1827346.0;A
P;3128;46367;2021;CAP_SUSCRITO;408760.0;A
P;3128;46364;2021;CAP_SUSCRITO;408760.0;A
P;3129;46367;2021;CAP_SUSCRITO;12000.0;A
P;3129;46364;2021;CAP_SUSCRITO;12000.0;A
P;3131;46367;2021;CAP_SUSCRITO;170020.0;A
P;3131;46364;2021;CAP_SUSCRITO;170020.0;A
P;3132;46367;2021;CAP_SUSCRITO;737470.0;A
P;3132;46364;2021;CAP_SUSCRITO;737470.0;A
