TIME_PERIOD,REF_AREA,D_DISTRIBUCION_MNP_0,INDICATOR,OBS_VALUE,FREQ,SEXO,D_MULTIPLICIDAD_SEXO_0,EDAD,D_REL_RESIDENANT_0
2010,ES615,70391,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2010,ES616,70395,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2010,ES616,70391,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2010,ES616,70394,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2010,ES617,70395,LATE_FETAL_DEATH,104.0,A,_Z,_Z,_Z,_Z
2010,ES617,70391,LATE_FETAL_DEATH,49.0,A,_Z,_Z,_Z,_Z
2010,ES617,70394,LATE_FETAL_DEATH,55.0,A,_Z,_Z,_Z,_Z
2010,ES618,70395,LATE_FETAL_DEATH,156.0,A,_Z,_Z,_Z,_Z
2010,ES618,70391,LATE_FETAL_DEATH,79.0,A,_Z,_Z,_Z,_Z
2010,ES618,70394,LATE_FETAL_DEATH,77.0,A,_Z,_Z,_Z,_Z
2010,ES61,70395,LATE_FETAL_DEATH,596.0,A,_Z,_Z,_Z,_Z
2010,ES61,70391,LATE_FETAL_DEATH,296.0,A,_Z,_Z,_Z,_Z
2010,ES61,70394,LATE_FETAL_DEATH,300.0,A,_Z,_Z,_Z,_Z
2009,ES611,70395,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2009,ES611,70391,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2009,ES611,70394,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2009,ES612,70395,LATE_FETAL_DEATH,96.0,A,_Z,_Z,_Z,_Z
2009,ES612,70391,LATE_FETAL_DEATH,48.0,A,_Z,_Z,_Z,_Z
2009,ES612,70394,LATE_FETAL_DEATH,48.0,A,_Z,_Z,_Z,_Z
