TEMPORAL;CNAE09;PUB_PRIV;TERRITORIO;TIPO_EMPRESA;TIPO_ESTAB;INDICATOR;OBS_VALUE;FREQ
2019;8031;215136;ES61;215124;213227;UNIDADES;98.754408308;A
2019;8080;215134;ES61;215124;213227;UNIDADES;1.142857143;A
2019;8080;215136;ES61;215124;213227;UNIDADES;1.142857143;A
2019;8165;215134;ES61;215124;213227;UNIDADES;265.255001989;A
2019;8165;215135;ES61;215124;213227;UNIDADES;2.175925926;A
2019;8165;215136;ES61;215124;213227;UNIDADES;263.079076063;A
2019;8255;215134;ES61;215124;213227;UNIDADES;17.042984624;A
2019;8255;215135;ES61;215124;213227;UNIDADES;1.333333333;A
2019;8255;215136;ES61;215124;213227;UNIDADES;15.709651291;A
2019;8345;215134;ES61;215124;213227;UNIDADES;23.359816409;A
2019;8345;215135;ES61;215124;213227;UNIDADES;1.072289157;A
2019;8345;215136;ES61;215124;213227;UNIDADES;22.287527252;A
2019;8385;215134;ES61;215124;213227;UNIDADES;2.144578314;A
2019;8385;215135;ES61;215124;213227;UNIDADES;2.144578314;A
2019;8426;215134;ES61;215124;213227;UNIDADES;13.153374344;A
2019;8426;215136;ES61;215124;213227;UNIDADES;13.153374344;A
2020;7859;215134;ES61;215124;213227;UNIDADES;80.740434562;A
2020;7859;215136;ES61;215124;213227;UNIDADES;80.740434562;A
2020;7958;215134;ES61;215124;213227;UNIDADES;2.08;A
2020;7958;215136;ES61;215124;213227;UNIDADES;2.08;A
2020;7888;215134;ES61;215124;213227;UNIDADES;4.157894737;A
2020;7888;215136;ES61;215124;213227;UNIDADES;4.157894737;A
2020;8031;215134;ES61;215124;213227;UNIDADES;125.049023738;A
2020;8031;215136;ES61;215124;213227;UNIDADES;125.049023738;A
2020;8080;215134;ES61;215124;213227;UNIDADES;3.0;A
2020;8080;215136;ES61;215124;213227;UNIDADES;3.0;A
2020;8165;215134;ES61;215124;213227;UNIDADES;263.48239509;A
2020;8165;215135;ES61;215124;213227;UNIDADES;3.0;A
2020;8165;215136;ES61;215124;213227;UNIDADES;260.48239509;A
2020;8255;215134;ES61;215124;213227;UNIDADES;15.757432619;A
2020;8255;215136;ES61;215124;213227;UNIDADES;15.757432619;A
2020;8345;215134;ES61;215124;213227;UNIDADES;16.938651283;A
2020;8345;215135;ES61;215124;213227;UNIDADES;1.011235955;A
2020;8345;215136;ES61;215124;213227;UNIDADES;15.927415328;A
2020;8385;215134;ES61;215124;213227;UNIDADES;3.389939049;A
2020;8385;215135;ES61;215124;213227;UNIDADES;1.011235955;A
2020;8385;215136;ES61;215124;213227;UNIDADES;2.378703094;A
2020;8426;215134;ES61;215124;213227;UNIDADES;10.871218591;A
2020;8426;215135;ES61;215124;213227;UNIDADES;1.0;A
2020;8426;215136;ES61;215124;213227;UNIDADES;9.871218591;A
