TEMPORAL;TIPO_EMPRESA;TIPO_PERSONAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2011;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1811.441068452;A
2011;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5678.7;A
2011;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2690.9;A
2011;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2987.8;A
2011;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2727.3;A
2011;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1157.7;A
2011;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1569.6;A
2011;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2351.186927601;A
2011;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1213.564939869;A
2011;215117;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1137.621987732;A
2011;215117;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;600.213072399;A
2011;215117;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;319.635060131;A
2011;215117;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;280.578012268;A
2011;215120;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;12268.5;A
2011;215120;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5471.5;A
2011;215120;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6797.0;A
2011;215120;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8509.2;A
2011;215120;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3462.7;A
2011;215120;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5046.5;A
2011;215120;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2147.004303279;A
2011;215120;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1110.0125;A
2011;215120;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1036.991803279;A
2011;215120;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1612.295696721;A
2011;215120;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;898.7875;A
2011;215120;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;713.508196721;A
2011;215122;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;25.3;A
2011;215122;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;15.2;A
2011;215122;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;10.1;A
2011;215122;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;12.5;A
2011;215122;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6.7;A
2011;215122;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5.8;A
2011;215122;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9.0;A
2011;215122;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5.7;A
2011;215122;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3.3;A
2011;215122;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3.8;A
2011;215122;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2.8;A
2011;215122;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1.0;A
2011;215124;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7461.299084905;A
2011;215124;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2110.316511994;A
2011;215124;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5350.982572911;A
2011;215124;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3360.346896293;A
2011;215124;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;973.532634922;A
2011;215124;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2386.814261371;A
2011;215124;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2899.324427876;A
2011;215124;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;751.510975799;A
2011;215124;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2147.813452077;A
2011;215124;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1201.627760736;A
2011;215124;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;385.272901273;A
2011;215124;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;816.354859463;A
2012;215125;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;24647.100295184;A
2012;215125;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;9928.077069106;A
2012;215125;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;14719.023226078;A
2012;215125;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;14280.205067258;A
2012;215125;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5534.012579927;A
2012;215125;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8746.192487331;A
2012;215125;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;7012.960308739;A
2012;215125;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2810.887254906;A
2012;215125;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4202.073053833;A
2012;215125;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3353.934919187;A
2012;215125;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1583.177234273;A
2012;215125;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1770.757684914;A
2012;215117;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5407.9;A
2012;215117;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2481.2;A
2012;215117;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2926.7;A
2012;215117;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2658.9;A
2012;215117;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1090.7;A
2012;215117;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1568.2;A
2012;215117;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2123.688391054;A
2012;215117;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1065.275793944;A
2012;215117;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1058.41259711;A
2012;215117;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;625.311608946;A
2012;215117;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;325.224206056;A
2012;215117;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;300.08740289;A
2012;215120;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;11945.9;A
2012;215120;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;5318.9;A
2012;215120;215154;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;6627.0;A
2012;215120;215155;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;8280.7;A
2012;215120;215155;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;3423.7;A
2012;215120;215155;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;4857.0;A
2012;215120;215156;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;2045.430163934;A
2012;215120;215156;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1012.24;A
2012;215120;215156;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1033.190163934;A
2012;215120;215157;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;1619.769836066;A
2012;215120;215157;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;882.96;A
2012;215120;215157;M;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;736.809836066;A
2012;215122;215154;_T;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;55.4;A
2012;215122;215154;F;ES61;PERS_GENE_IMASD_EQUI_JORN_COMP;27.8;A
